request_idx,time
1,7.317819
2,7.619075
3,7.218609
4,20.352656
5,26.366878
6,26.666203
7,27.065925
8,30.172877
9,31.875651
10,31.474859
11,31.283697
12,31.383479
13,31.985004
14,32.603608
15,33.60363
16,35.004216
17,34.201554
18,33.799693
19,33.005058
20,33.104296
21,33.403546
22,34.003008
23,34.903126
24,36.406155
25,35.804655
26,35.804747
27,35.795001
28,35.994779
29,36.294897
30,37.096739
31,0.902264
32,1.002154
33,2.821419
34,2.62065
35,21.052377
36,26.566743
37,26.667226
38,27.168317
39,30.576068
40,33.182147
41,32.881491
42,32.781746
43,32.781644
44,33.188102
45,33.888523
46,34.989664
47,36.591992
48,35.789385
49,35.387614
50,35.286302
51,35.485343
52,35.785799
53,35.684571
54,36.5863
55,37.98859
56,37.386425
57,37.286008
58,37.385031
59,37.684553
60,38.084034
61,3.207889
62,2.106166
63,0.501562
64,3.308277
65,2.205925
66,0.701962
67,0.501584
68,0.90202
69,0.802273
70,0.401515
71,0.501595
72,0.501436
73,0.602047
74,0.501465
75,0.50146
76,0.802108
77,0.501361
78,0.501676
79,0.601594
80,0.501731
81,0.601606
82,0.601452
83,0.701669
84,0.601616
85,0.401104
86,0.501422
87,0.501395
88,0.701843
89,0.501191
90,0.511426
