[2026-06-02 06:53:48.963597] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:53:48.963669] ID                                                                                                                                 
[2026-06-02 06:53:49.137253] GPU 0     0.000        0.000        0.000        300          2100         1                           607998871744352             
[2026-06-02 06:53:49.195742] GPU 0     0.000        0.000        0.000        825          2100         1                           607998922394880             
[2026-06-02 06:53:49.247861] GPU 0     0.000        0.000        0.000        825          2100         1                           607998972914528             
[2026-06-02 06:53:49.300002] GPU 0     0.000        0.000        0.000        825          2100         1                           607999023473728             
[2026-06-02 06:53:49.352355] GPU 0     0.000        0.000        0.000        825          2100         1                           607999074040960             
[2026-06-02 06:53:49.404763] GPU 0     0.000        0.000        0.000        825          2100         1                           607999124657984             
[2026-06-02 06:53:49.457012] GPU 0     0.000        0.000        0.000        825          2100         1                           607999175188544             
[2026-06-02 06:53:49.510436] GPU 0     0.000        0.000        0.000        825          2100         1                           607999225788192             
[2026-06-02 06:53:49.568011] GPU 0     0.000        0.000        0.000        825          2100         1                           607999276350400             
[2026-06-02 06:53:49.620157] GPU 0     0.000        0.000        0.000        825          2100         1                           607999327033440             
[2026-06-02 06:53:49.672648] GPU 0     0.000        0.000        0.000        825          2100         1                           607999378508544             
[2026-06-02 06:53:49.725195] GPU 0     0.000        0.000        0.000        825          2100         1                           607999429076928             
[2026-06-02 06:53:49.777634] GPU 0     0.000        0.000        0.000        825          2100         1                           607999479646112             
[2026-06-02 06:53:49.830460] GPU 0     0.000        0.000        0.000        825          2100         1                           607999530237056             
[2026-06-02 06:53:49.882988] GPU 0     0.000        0.000        0.000        825          2100         1                           607999580797600             
[2026-06-02 06:53:49.933175] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:53:49.933297] ID                                                                                                                                 
[2026-06-02 06:53:49.935261] GPU 0     0.000        0.000        0.000        825          2100         1                           607999631330368             
[2026-06-02 06:53:49.987978] GPU 0     0.000        0.000        0.000        825          2100         1                           607999681889408             
[2026-06-02 06:53:50.040920] GPU 0     0.000        0.000        0.000        825          2100         1                           607999732613152             
[2026-06-02 06:53:50.093565] GPU 0     0.000        0.000        0.000        825          2100         1                           607999783159776             
[2026-06-02 06:53:50.145899] GPU 0     0.000        0.000        0.000        825          2100         1                           607999833957600             
[2026-06-02 06:53:50.198197] GPU 0     0.000        0.000        0.000        825          2100         1                           607999884498048             
[2026-06-02 06:53:50.250985] GPU 0     0.000        0.000        0.000        825          2100         1                           607999985792832             
[2026-06-02 06:53:50.302952] GPU 0     0.000        0.000        0.000        825          2100         1                           607999985792832             
[2026-06-02 06:53:50.357577] GPU 0     0.000        0.000        0.000        825          2100         1                           608000091093024             
[2026-06-02 06:53:50.410447] GPU 0     0.000        0.000        0.000        825          2100         1                           608000141655648             
[2026-06-02 06:53:50.462314] GPU 0     0.000        0.000        0.000        825          2100         1                           608000193345408             
[2026-06-02 06:53:50.514770] GPU 0     0.000        0.000        0.000        825          2100         1                           608000243869952             
[2026-06-02 06:53:50.567656] GPU 0     0.000        0.000        0.000        825          2100         1                           608000294458976             
[2026-06-02 06:53:50.620245] GPU 0     0.000        0.000        0.000        825          2100         1                           608000345054016             
[2026-06-02 06:53:50.670463] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:53:50.670585] ID                                                                                                                                 
[2026-06-02 06:53:50.672854] GPU 0     0.000        0.000        0.000        825          2100         1                           608000397124032             
[2026-06-02 06:53:50.725303] GPU 0     0.000        0.000        0.000        825          2100         1                           608000447826272             
[2026-06-02 06:53:50.777796] GPU 0     0.000        0.000        0.000        825          2100         1                           608000498440992             
[2026-06-02 06:53:50.830520] GPU 0     0.000        0.000        0.000        825          2100         1                           608000549500384             
[2026-06-02 06:53:50.883324] GPU 0     0.000        0.000        0.000        825          2100         1                           608000600028992             
[2026-06-02 06:53:50.935936] GPU 0     0.000        0.000        0.000        825          2100         1                           608000650557760             
[2026-06-02 06:53:50.988683] GPU 0     0.000        0.000        0.000        825          2100         1                           608000701501664             
[2026-06-02 06:53:51.041205] GPU 0     0.000        0.000        0.000        825          2100         1                           608000758627680             
[2026-06-02 06:53:51.095904] GPU 0     0.000        0.000        0.000        825          2100         1                           608000809247168             
[2026-06-02 06:53:51.152511] GPU 0     0.000        0.000        0.000        825          2100         1                           608000859821504             
[2026-06-02 06:53:51.205232] GPU 0     0.000        0.000        0.000        825          2100         1                           608000911420896             
[2026-06-02 06:53:51.257780] GPU 0     0.000        0.000        0.000        825          2100         1                           608000961978752             
[2026-06-02 06:53:51.310348] GPU 0     0.000        0.000        0.000        825          2100         1                           608001012575904             
[2026-06-02 06:53:51.362832] GPU 0     0.000        0.000        0.000        825          2100         1                           608001063218592             
[2026-06-02 06:53:51.412954] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:53:51.413072] ID                                                                                                                                 
[2026-06-02 06:53:51.415523] GPU 0     0.000        0.000        0.000        825          2100         1                           608001115121472             
[2026-06-02 06:53:51.467980] GPU 0     0.000        0.000        0.000        915          2100         1                           608001165720480             
[2026-06-02 06:53:51.520627] GPU 0     0.000        0.000        0.000        915          2100         1                           608001216224480             
[2026-06-02 06:53:51.573012] GPU 0     0.000        0.000        0.000        915          2100         1                           608001267931744             
[2026-06-02 06:53:51.626508] GPU 0     0.000        0.000        0.000        915          2100         1                           608001318449248             
[2026-06-02 06:53:51.679034] GPU 0     0.000        0.000        0.000        915          2100         1                           608001369683840             
[2026-06-02 06:53:51.731059] GPU 0     0.000        0.000        0.000        915          2100         1                           608001420232448             
[2026-06-02 06:53:51.783308] GPU 0     0.000        0.000        0.000        915          2100         1                           608001470760320             
[2026-06-02 06:53:51.835336] GPU 0     0.000        0.000        0.000        915          2100         1                           608001521539584             
[2026-06-02 06:53:51.887409] GPU 0     0.000        0.000        0.000        915          2100         1                           608001572108064             
[2026-06-02 06:53:51.939523] GPU 0     0.000        0.000        0.000        915          2100         1                           608001639541472             
[2026-06-02 06:53:51.991669] GPU 0     0.000        0.000        0.000        915          2100         1                           608001690443616             
[2026-06-02 06:53:52.043881] GPU 0     0.000        0.000        0.000        915          2100         1                           608001741080224             
[2026-06-02 06:53:52.096025] GPU 0     0.000        0.000        0.000        915          2100         1                           608001792410368             
[2026-06-02 06:53:52.146161] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:53:52.146273] ID                                                                                                                                 
[2026-06-02 06:53:52.148122] GPU 0     0.000        0.000        0.000        915          2100         1                           608001842882880             
[2026-06-02 06:53:52.200378] GPU 0     0.000        0.000        0.000        915          2100         1                           608001893410720             
[2026-06-02 06:53:52.252573] GPU 0     0.000        0.000        0.000        915          2100         1                           608001943933664             
[2026-06-02 06:53:52.304675] GPU 0     0.000        0.000        0.000        915          2100         1                           608001994469280             
[2026-06-02 06:53:52.356741] GPU 0     0.000        0.000        0.000        915          2100         1                           608002045019328             
[2026-06-02 06:53:52.408705] GPU 0     0.000        0.000        0.000        915          2100         1                           608002095551232             
[2026-06-02 06:53:52.460820] GPU 0     0.000        0.000        0.000        915          2100         1                           608002162054176             
[2026-06-02 06:53:52.512948] GPU 0     0.000        0.000        0.000        915          2100         1                           608002212744288             
[2026-06-02 06:53:52.565067] GPU 0     0.000        0.000        0.000        915          2100         1                           608002263313152             
[2026-06-02 06:53:52.618319] GPU 0     0.000        0.000        0.000        915          2100         1                           608002314874496             
[2026-06-02 06:53:52.675889] GPU 0     0.000        0.000        0.000        915          2100         1                           608002365402144             
[2026-06-02 06:53:52.728100] GPU 0     0.000        0.000        0.000        915          2100         1                           608002416008992             
[2026-06-02 06:53:52.780226] GPU 0     0.000        0.000        0.000        915          2100         1                           608002466533952             
[2026-06-02 06:53:52.832241] GPU 0     0.000        0.000        0.000        915          2100         1                           608002567695616             
[2026-06-02 06:53:52.882384] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:53:52.882507] ID                                                                                                                                 
[2026-06-02 06:53:52.884401] GPU 0     0.000        0.000        0.000        1005         2100         1                           608002618377184             
[2026-06-02 06:53:52.936543] GPU 0     0.000        0.000        0.000        1005         2100         1                           608002669591232             
[2026-06-02 06:53:52.988556] GPU 0     0.000        0.000        0.000        1005         2100         1                           608002720307488             
[2026-06-02 06:53:53.040714] GPU 0     0.000        0.000        0.000        1005         2100         1                           608002770824000             
