,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-06-02,06:53:48.972,   23.38,   10.69,   23.27,   10.46,   23.46,   10.77,   22.61,   10.58,   21.76,   10.13,   22.46,   10.45,  136.95,   63.08,     19220,  200.03,   37.12,   44.73,   37.13,   44.79,   37.30,   44.75,   31.40,   43.00,   31.78,   43.37,   31.60,   43.09,  206.33,  263.72,     19220,  470.05,    343.28,    326.80,    670.08
2026-06-02,06:53:49.021,   40.58,   13.94,   41.09,   13.69,   41.06,   13.83,   38.15,   13.30,   38.31,   13.11,   38.90,   13.18,  238.08,   81.05,     18560,  319.13,    8.79,   11.67,    9.23,   11.99,    8.97,   11.82,    7.47,   11.11,    7.62,   11.30,    7.14,   10.84,   49.23,   68.74,     18600,  117.96,    287.31,    149.79,    437.10
2026-06-02,06:53:49.075,   23.81,    8.44,   23.40,    8.45,   23.75,    8.88,   22.32,    8.23,   21.80,    8.19,   21.99,    8.20,  137.07,   50.39,     18905,  187.45,    6.86,    7.12,    7.08,    7.15,    6.99,    7.19,    6.22,    6.87,    6.47,    7.04,    6.08,    6.55,   39.71,   41.91,     18740,   81.62,    176.78,     92.30,    269.07
2026-06-02,06:53:49.125,   17.88,    7.78,   18.09,    7.76,   18.01,    7.80,   17.14,    7.58,   17.13,    7.52,   17.17,    7.48,  105.42,   45.92,     18680,  151.34,    9.58,   10.93,    9.58,   10.93,    9.93,   11.22,    8.26,   10.26,    8.41,   10.29,    8.01,   10.20,   53.78,   63.83,     18680,  117.61,    159.20,    109.74,    268.94
2026-06-02,06:53:49.175,   10.16,   11.01,   10.26,   10.90,   10.37,   11.18,    9.81,   11.15,    9.81,   11.11,    9.87,   10.85,   60.28,   66.20,     18500,  126.48,   11.30,   22.30,   11.35,   22.28,   11.35,   22.36,    8.46,   21.46,    8.74,   21.97,    8.33,   21.37,   59.53,  131.74,     18680,  191.27,    119.81,    197.93,    317.75
2026-06-02,06:53:49.225,    9.09,    7.99,    9.11,    8.14,    9.43,    8.41,    9.01,    8.27,    8.91,    8.05,    9.02,    8.21,   54.58,   49.07,     18760,  103.66,    7.89,   13.41,    8.03,   14.02,    7.64,   13.76,    5.69,   12.94,    5.81,   13.18,    5.66,   12.66,   40.73,   79.98,     18740,  120.71,     95.31,    129.05,    224.36
2026-06-02,06:53:49.275,    3.53,    4.27,    3.76,    4.25,    3.71,    4.23,    3.43,    3.94,    3.32,    4.05,    3.47,    3.94,   21.23,   24.68,     18720,   45.91,    6.28,   10.11,    6.56,   10.46,    6.37,   10.15,    5.79,    9.69,    6.00,    9.94,    5.69,    9.38,   36.71,   59.73,     18740,   96.44,     57.94,     84.41,    142.35
2026-06-02,06:53:49.326,   54.01,   19.65,   54.61,   19.63,   54.59,   19.81,   50.56,   18.50,   50.46,   18.37,   50.97,   18.45,  315.19,  114.41,     18740,  429.60,    9.62,   15.09,   10.12,   15.40,   10.00,   15.20,    8.08,   13.79,    8.18,   14.04,    7.90,   13.93,   53.91,   87.45,     18820,  141.35,    369.10,    201.85,    570.96
2026-06-02,06:53:49.376,   28.84,   17.50,   28.83,   17.37,   29.01,   17.54,   27.92,   16.99,   27.67,   16.99,   27.55,   16.76,  169.82,  103.15,     18800,  272.97,    9.18,   14.71,    9.33,   14.80,    9.33,   14.92,    7.78,   13.69,    8.10,   14.10,    7.44,   13.54,   51.17,   85.77,     18760,  136.94,    220.99,    188.92,    409.91
