timestamp,elapsed_time,cpu_power,gpu_power,total_power,sm_clock_mhz,max_sm_clock_mhz,throttle_bitmask,throttle_reasons
2026-06-02 06:53:50.302625,4.145,57.11,24.97,82.08,825,2100,1,None
2026-06-02 06:53:50.482261,4.353,107.86,24.84,132.70,825,2100,1,None
2026-06-02 06:53:50.658954,4.533,53.12,24.87,78.00,825,2100,1,None
2026-06-02 06:53:50.840600,4.709,62.85,25.23,88.07,825,2100,1,None
2026-06-02 06:53:51.020867,4.891,50.19,25.28,75.47,825,2100,1,None
2026-06-02 06:53:51.202491,5.071,58.29,24.88,83.17,825,2100,1,None
2026-06-02 06:53:51.377379,5.253,58.64,25.16,83.80,825,2100,1,None
2026-06-02 06:53:51.554340,5.428,58.56,26.16,84.71,915,2100,1,None
2026-06-02 06:53:51.728237,5.605,55.45,26.91,82.37,915,2100,1,None
2026-06-02 06:53:51.901801,5.778,57.80,27.02,84.82,915,2100,1,None
2026-06-02 06:53:52.078237,5.952,58.31,26.76,85.06,915,2100,1,None
2026-06-02 06:53:52.251556,6.128,56.98,26.75,83.74,915,2100,1,None
2026-06-02 06:53:52.424312,6.302,57.52,26.92,84.44,915,2100,1,None
2026-06-02 06:53:52.602464,6.475,56.77,27.09,83.85,915,2100,1,None
2026-06-02 06:53:52.776516,6.653,58.83,27.00,85.83,915,2100,1,None
2026-06-02 06:53:52.951820,6.827,58.70,27.87,86.57,1005,2100,1,None
2026-06-02 06:53:53.141466,7.002,54.96,28.44,83.40,1005,2100,1,None
2026-06-02 06:53:53.318204,7.192,55.60,28.24,83.85,1005,2100,1,None
2026-06-02 06:53:53.491746,7.368,55.17,28.42,83.59,1005,2100,1,None
2026-06-02 06:53:53.663791,7.542,55.59,28.55,84.14,1005,2100,1,None
2026-06-02 06:53:53.852680,7.714,63.84,28.52,92.35,1005,2100,1,None
2026-06-02 06:53:54.026385,7.903,69.09,28.68,97.77,1005,2100,1,None
2026-06-02 06:53:54.201944,8.077,58.52,28.27,86.79,1005,2100,1,None
2026-06-02 06:53:54.374557,8.252,54.25,28.58,82.82,1005,2100,1,None
2026-06-02 06:53:54.547967,8.425,57.09,28.24,85.33,1005,2100,1,None
2026-06-02 06:53:54.723879,8.598,56.74,27.84,84.58,915,2100,1,None
2026-06-02 06:53:54.898641,8.774,58.63,27.09,85.73,915,2100,1,None
2026-06-02 06:53:55.073906,8.949,57.70,27.00,84.70,915,2100,1,None
2026-06-02 06:53:55.259559,9.124,56.74,27.13,83.87,885,2100,1,None
2026-06-02 06:53:55.433837,9.310,57.50,26.63,84.13,885,2100,1,None
2026-06-02 06:53:55.609958,9.484,58.36,27.03,85.39,945,2100,1,None
2026-06-02 06:53:55.804480,9.660,55.83,27.85,83.68,945,2100,1,None
2026-06-02 06:53:55.981862,9.855,57.82,27.36,85.18,945,2100,1,None
2026-06-02 06:53:56.153817,10.032,57.19,27.55,84.73,945,2100,1,None
2026-06-02 06:53:56.328583,10.204,56.19,27.59,83.77,945,2100,1,None
2026-06-02 06:53:56.518856,10.379,58.05,27.69,85.74,945,2100,1,None
2026-06-02 06:53:56.694483,10.569,57.99,27.84,85.83,945,2100,1,None
2026-06-02 06:53:56.874903,10.745,57.74,27.43,85.17,945,2100,1,None
2026-06-02 06:53:57.070146,10.925,58.33,27.74,86.06,945,2100,1,None
2026-06-02 06:53:57.244034,11.120,51.69,27.47,79.16,945,2100,1,None
2026-06-02 06:53:57.420965,11.294,36.04,26.98,63.02,885,2100,1,None
2026-06-02 06:53:57.596030,11.471,29.94,26.36,56.30,885,2100,1,None
2026-06-02 06:53:57.773385,11.646,33.33,26.11,59.45,885,2100,1,None
2026-06-02 06:53:57.968877,11.824,33.49,26.35,59.83,855,2100,1,None
2026-06-02 06:53:58.164839,12.019,34.41,25.87,60.28,855,2100,1,None
2026-06-02 06:53:58.339890,12.215,37.86,25.89,63.75,855,2100,1,None
2026-06-02 06:53:58.520157,12.390,32.79,25.79,58.57,825,2100,1,None
2026-06-02 06:53:58.695433,12.570,30.86,24.82,55.67,825,2100,1,None
2026-06-02 06:53:58.873960,12.746,31.67,24.81,56.48,825,2100,1,None
2026-06-02 06:53:59.049329,12.924,30.63,25.02,55.65,825,2100,1,None
2026-06-02 06:53:59.223399,13.100,29.63,26.00,55.62,915,2100,1,None
2026-06-02 06:53:59.415195,13.274,30.51,26.78,57.29,915,2100,1,None
2026-06-02 06:53:59.592504,13.465,64.50,27.16,91.66,915,2100,1,None
2026-06-02 06:53:59.766249,13.643,35.23,26.83,62.05,915,2100,1,None
