2026-06-02_07:35:38.534718358 | CPU: 1
2026-06-02_07:35:38.709253184 | CPU: 3
2026-06-02_07:35:38.882067237 | CPU: 3
2026-06-02_07:35:39.056036550 | CPU: 3
2026-06-02_07:35:39.229217785 | CPU: 2
2026-06-02_07:35:39.403319234 | CPU: 3
2026-06-02_07:35:39.580296134 | CPU: 4
2026-06-02_07:35:39.753323854 | CPU: 4
2026-06-02_07:35:39.924127239 | CPU: 4
2026-06-02_07:35:40.095066007 | CPU: 5
2026-06-02_07:35:40.265588181 | CPU: 4
2026-06-02_07:35:40.439521698 | CPU: 6
2026-06-02_07:35:40.614288427 | CPU: 6
2026-06-02_07:35:40.787981005 | CPU: 5
2026-06-02_07:35:40.963709279 | CPU: 4
2026-06-02_07:35:41.140817503 | CPU: 4
2026-06-02_07:35:41.315847252 | CPU: 3
2026-06-02_07:35:41.490842227 | CPU: 3
2026-06-02_07:35:41.669663269 | CPU: 5
2026-06-02_07:35:41.841132855 | CPU: 8
2026-06-02_07:35:42.019512342 | CPU: 6
2026-06-02_07:35:42.183967016 | CPU: 60
2026-06-02_07:35:42.355852900 | CPU: 5
2026-06-02_07:35:42.529632841 | CPU: 5
2026-06-02_07:35:42.701843535 | CPU: 5
2026-06-02_07:35:42.873308733 | CPU: 8
2026-06-02_07:35:43.044595166 | CPU: 6
2026-06-02_07:35:43.216338131 | CPU: 5
2026-06-02_07:35:43.388232765 | CPU: 6
2026-06-02_07:35:43.561185286 | CPU: 7
2026-06-02_07:35:43.733407445 | CPU: 6
2026-06-02_07:35:43.905156002 | CPU: 7
2026-06-02_07:35:44.079586901 | CPU: 6
2026-06-02_07:35:44.252378314 | CPU: 8
2026-06-02_07:35:44.425122123 | CPU: 6
2026-06-02_07:35:44.596140910 | CPU: 5
2026-06-02_07:35:44.768443747 | CPU: 6
2026-06-02_07:35:44.939951509 | CPU: 4
2026-06-02_07:35:45.111925804 | CPU: 5
2026-06-02_07:35:45.283426642 | CPU: 5
2026-06-02_07:35:45.421484914 | CPU: 22
2026-06-02_07:35:45.583257721 | CPU: 58
2026-06-02_07:35:45.755870723 | CPU: 6
2026-06-02_07:35:45.929539835 | CPU: 5
2026-06-02_07:35:46.101166079 | CPU: 6
2026-06-02_07:35:46.273424250 | CPU: 7
2026-06-02_07:35:46.445384056 | CPU: 7
2026-06-02_07:35:46.616988529 | CPU: 7
2026-06-02_07:35:46.789332473 | CPU: 10
2026-06-02_07:35:46.960633537 | CPU: 5
2026-06-02_07:35:47.132284482 | CPU: 6
2026-06-02_07:35:47.304189886 | CPU: 6
2026-06-02_07:35:47.475812606 | CPU: 5
2026-06-02_07:35:47.647373541 | CPU: 6
2026-06-02_07:35:47.819281908 | CPU: 5
