[2026-06-02 07:35:40.516906] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 07:35:40.516975] ID                                                                                                                                 
[2026-06-02 07:35:40.692196] GPU 0     0.000        0.000        0.000        300          2100         1                           609867495675040             
[2026-06-02 07:35:40.750893] GPU 0     0.000        0.000        0.000        825          2100         1                           609867597536768             
[2026-06-02 07:35:40.803347] GPU 0     0.000        0.000        0.000        825          2100         1                           609867648098496             
[2026-06-02 07:35:40.855943] GPU 0     0.000        0.000        0.000        825          2100         1                           609867698669856             
[2026-06-02 07:35:40.908454] GPU 0     0.000        0.000        0.000        825          2100         1                           609867749194784             
[2026-06-02 07:35:40.961088] GPU 0     0.000        0.000        0.000        825          2100         1                           609867799726592             
[2026-06-02 07:35:41.013486] GPU 0     0.000        0.000        0.000        825          2100         1                           609867850254112             
[2026-06-02 07:35:41.065882] GPU 0     0.000        0.000        0.000        825          2100         1                           609867900804928             
[2026-06-02 07:35:41.118600] GPU 0     0.000        0.000        0.000        825          2100         1                           609867951347552             
[2026-06-02 07:35:41.171034] GPU 0     0.000        0.000        0.000        825          2100         1                           609868001895968             
[2026-06-02 07:35:41.228352] GPU 0     0.000        0.000        0.000        825          2100         1                           609868052590112             
[2026-06-02 07:35:41.280826] GPU 0     0.000        0.000        0.000        825          2100         1                           609868103272928             
[2026-06-02 07:35:41.333196] GPU 0     0.000        0.000        0.000        825          2100         1                           609868153908960             
[2026-06-02 07:35:41.385787] GPU 0     0.000        0.000        0.000        825          2100         1                           609868204555232             
[2026-06-02 07:35:41.438221] GPU 0     0.000        0.000        0.000        825          2100         1                           609868255136832             
[2026-06-02 07:35:41.488364] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 07:35:41.488490] ID                                                                                                                                 
[2026-06-02 07:35:41.490813] GPU 0     0.000        0.000        0.000        825          2100         1                           609868305798144             
[2026-06-02 07:35:41.543797] GPU 0     0.000        0.000        0.000        825          2100         1                           609868356367648             
[2026-06-02 07:35:41.596866] GPU 0     0.000        0.000        0.000        825          2100         1                           609868406975328             
[2026-06-02 07:35:41.649552] GPU 0     0.000        0.000        0.000        825          2100         1                           609868457606976             
[2026-06-02 07:35:41.702009] GPU 0     0.000        0.000        0.000        825          2100         1                           609868508785440             
[2026-06-02 07:35:41.754545] GPU 0     0.000        0.000        0.000        825          2100         1                           609868559453952             
[2026-06-02 07:35:41.806635] GPU 0     0.000        0.000        0.000        825          2100         1                           609868660891392             
[2026-06-02 07:35:41.858843] GPU 0     0.000        0.000        0.000        825          2100         1                           609868711425760             
[2026-06-02 07:35:41.912610] GPU 0     0.000        0.000        0.000        825          2100         1                           609868762160352             
[2026-06-02 07:35:41.964876] GPU 0     0.000        0.000        0.000        825          2100         1                           609868812888320             
[2026-06-02 07:35:42.016441] GPU 0     0.000        0.000        0.000        825          2100         1                           609868864305504             
[2026-06-02 07:35:42.068910] GPU 0     0.000        0.000        0.000        825          2100         1                           609868914877728             
[2026-06-02 07:35:42.121199] GPU 0     0.000        0.000        0.000        825          2100         1                           609868965402048             
[2026-06-02 07:35:42.173349] GPU 0     0.000        0.000        0.000        825          2100         1                           609869015911712             
[2026-06-02 07:35:42.223492] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 07:35:42.223634] ID                                                                                                                                 
[2026-06-02 07:35:42.225339] GPU 0     0.000        0.000        0.000        825          2100         1                           609869066421568             
[2026-06-02 07:35:42.277374] GPU 0     0.000        0.000        0.000        825          2100         1                           609869117126176             
[2026-06-02 07:35:42.329519] GPU 0     0.000        0.000        0.000        825          2100         1                           609869167755424             
[2026-06-02 07:35:42.381884] GPU 0     0.000        0.000        0.000        825          2100         1                           609869219240512             
[2026-06-02 07:35:42.433958] GPU 0     0.000        0.000        0.000        825          2100         1                           609869269796288             
[2026-06-02 07:35:42.486471] GPU 0     0.000        0.000        0.000        825          2100         1                           609869320384960             
[2026-06-02 07:35:42.538865] GPU 0     0.000        0.000        0.000        825          2100         1                           609869370945728             
[2026-06-02 07:35:42.590922] GPU 0     0.000        0.000        0.000        855          2100         1                           609869421534464             
[2026-06-02 07:35:42.643080] GPU 0     0.000        0.000        0.000        855          2100         1                           609869472082112             
[2026-06-02 07:35:42.695328] GPU 0     0.000        0.000        0.000        855          2100         1                           609869522568960             
[2026-06-02 07:35:42.747648] GPU 0     0.000        0.000        0.000        855          2100         1                           609869573270592             
[2026-06-02 07:35:42.799911] GPU 0     0.000        0.000        0.000        855          2100         1                           609869623973344             
[2026-06-02 07:35:42.851944] GPU 0     0.000        0.000        0.000        855          2100         1                           609869674523200             
[2026-06-02 07:35:42.904000] GPU 0     0.000        0.000        0.000        855          2100         1                           609869725123520             
[2026-06-02 07:35:42.954155] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 07:35:42.954293] ID                                                                                                                                 
[2026-06-02 07:35:42.956084] GPU 0     0.000        0.000        0.000        855          2100         1                           609869775775488             
[2026-06-02 07:35:43.008217] GPU 0     0.000        0.000        0.000        855          2100         1                           609869826370496             
[2026-06-02 07:35:43.060272] GPU 0     0.000        0.000        0.000        855          2100         1                           609869876950912             
[2026-06-02 07:35:43.112257] GPU 0     0.000        0.000        0.000        855          2100         1                           609869928655008             
[2026-06-02 07:35:43.164379] GPU 0     0.000        0.000        0.000        855          2100         1                           609869979293760             
[2026-06-02 07:35:43.216463] GPU 0     0.000        0.000        0.000        855          2100         1                           609870029995040             
[2026-06-02 07:35:43.268469] GPU 0     0.000        0.000        0.000        855          2100         1                           609870080624544             
[2026-06-02 07:35:43.320786] GPU 0     0.000        0.000        0.000        855          2100         1                           609870141995904             
[2026-06-02 07:35:43.373048] GPU 0     0.000        0.000        0.000        855          2100         1                           609870192640288             
[2026-06-02 07:35:43.425107] GPU 0     0.000        0.000        0.000        855          2100         1                           609870243353696             
[2026-06-02 07:35:43.477602] GPU 0     0.000        0.000        0.000        855          2100         1                           609870295025792             
[2026-06-02 07:35:43.529981] GPU 0     0.000        0.000        0.000        855          2100         1                           609870345559616             
[2026-06-02 07:35:43.582327] GPU 0     0.000        0.000        0.000        855          2100         1                           609870396230464             
[2026-06-02 07:35:43.634445] GPU 0     0.000        0.000        0.000        855          2100         1                           609870446765120             
[2026-06-02 07:35:43.684601] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 07:35:43.684742] ID                                                                                                                                 
[2026-06-02 07:35:43.686902] GPU 0     0.000        0.000        0.000        855          2100         1                           609870515542272             
[2026-06-02 07:35:43.739303] GPU 0     0.000        0.000        0.000        855          2100         1                           609870566262944             
[2026-06-02 07:35:43.791458] GPU 0     0.000        0.000        0.000        855          2100         1                           609870617693280             
[2026-06-02 07:35:43.843781] GPU 0     0.000        0.000        0.000        855          2100         1                           609870669476512             
[2026-06-02 07:35:43.896087] GPU 0     0.000        0.000        0.000        855          2100         1                           609870720096032             
[2026-06-02 07:35:43.948350] GPU 0     0.000        0.000        0.000        855          2100         1                           609870770647392             
[2026-06-02 07:35:44.000584] GPU 0     0.000        0.000        0.000        855          2100         1                           609870821323936             
[2026-06-02 07:35:44.052907] GPU 0     0.000        0.000        0.000        855          2100         1                           609870871836256             
[2026-06-02 07:35:44.105220] GPU 0     0.000        0.000        0.000        855          2100         1                           609870922543680             
[2026-06-02 07:35:44.157408] GPU 0     0.000        0.000        0.000        855          2100         1                           609870973254688             
[2026-06-02 07:35:44.209692] GPU 0     0.000        0.000        0.000        855          2100         1                           609871024949472             
[2026-06-02 07:35:44.261959] GPU 0     0.000        0.000        0.000        855          2100         1                           609871075516320             
[2026-06-02 07:35:44.314050] GPU 0     0.000        0.000        0.000        855          2100         1                           609871126089408             
[2026-06-02 07:35:44.367325] GPU 0     0.000        0.000        0.000        855          2100         1                           609871176611584             
[2026-06-02 07:35:44.417388] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 07:35:44.417524] ID                                                                                                                                 
[2026-06-02 07:35:44.419595] GPU 0     0.000        0.000        0.000        825          2100         1                           609871248087232             
[2026-06-02 07:35:44.472565] GPU 0     0.000        0.000        0.000        825          2100         1                           609871298845216             
[2026-06-02 07:35:44.524935] GPU 0     0.000        0.000        0.000        825          2100         1                           609871349419424             
[2026-06-02 07:35:44.577728] GPU 0     0.000        0.000        0.000        825          2100         1                           609871401498752             
[2026-06-02 07:35:44.630157] GPU 0     0.000        0.000        0.000        825          2100         1                           609871452149696             
[2026-06-02 07:35:44.682929] GPU 0     0.000        0.000        0.000        825          2100         1                           609871502712256             
[2026-06-02 07:35:44.735320] GPU 0     0.000        0.000        0.000        825          2100         1                           609871553272864             
[2026-06-02 07:35:44.788072] GPU 0     0.000        0.000        0.000        825          2100         1                           609871603841248             
[2026-06-02 07:35:44.840466] GPU 0     0.000        0.000        0.000        915          2100         1                           609871654486816             
[2026-06-02 07:35:44.893300] GPU 0     0.000        0.000        0.000        915          2100         1                           609871705040160             
