timestamp,elapsed_time,cpu_power,gpu_power,total_power,sm_clock_mhz,max_sm_clock_mhz,throttle_bitmask,throttle_reasons
2026-06-02 07:35:41.853919,3.695,46.98,24.91,71.89,825,2100,1,None
2026-06-02 07:35:42.033262,3.904,102.11,24.49,126.60,825,2100,1,None
2026-06-02 07:35:42.208272,4.083,47.86,24.90,72.76,825,2100,1,None
2026-06-02 07:35:42.386307,4.258,47.19,24.68,71.87,825,2100,1,None
2026-06-02 07:35:42.561462,4.437,45.87,24.93,70.81,825,2100,1,None
2026-06-02 07:35:42.740265,4.612,56.12,25.81,81.93,855,2100,1,None
2026-06-02 07:35:42.914436,4.791,46.89,25.90,72.79,855,2100,1,None
2026-06-02 07:35:43.092224,4.965,46.47,25.92,72.39,855,2100,1,None
2026-06-02 07:35:43.285378,5.142,46.99,25.95,72.94,855,2100,1,None
2026-06-02 07:35:43.482612,5.336,46.32,25.78,72.10,855,2100,1,None
2026-06-02 07:35:43.658616,5.533,46.44,25.46,71.90,855,2100,1,None
2026-06-02 07:35:43.838193,5.709,52.60,25.60,78.19,855,2100,1,None
2026-06-02 07:35:44.012831,5.888,46.69,25.77,72.46,855,2100,1,None
2026-06-02 07:35:44.210704,6.063,50.54,25.48,76.02,855,2100,1,None
2026-06-02 07:35:44.390559,6.261,50.05,25.87,75.91,855,2100,1,None
2026-06-02 07:35:44.568665,6.441,46.72,25.00,71.72,825,2100,1,None
2026-06-02 07:35:44.744779,6.619,46.72,25.03,71.75,825,2100,1,None
2026-06-02 07:35:44.921606,6.795,46.48,25.83,72.31,915,2100,1,None
2026-06-02 07:35:45.095378,6.972,46.62,26.88,73.50,915,2100,1,None
2026-06-02 07:35:45.271015,7.146,46.38,27.00,73.38,915,2100,1,None
2026-06-02 07:35:45.448339,7.321,107.05,27.22,134.27,915,2100,1,None
2026-06-02 07:35:45.621179,7.499,49.84,27.26,77.11,915,2100,1,None
2026-06-02 07:35:45.795150,7.671,47.69,27.07,74.76,915,2100,1,None
2026-06-02 07:35:45.973656,7.845,46.94,27.19,74.13,915,2100,1,None
2026-06-02 07:35:46.146852,8.024,48.78,27.27,76.06,915,2100,1,None
2026-06-02 07:35:46.320241,8.197,48.81,27.23,76.04,915,2100,1,None
