[2026-06-02 06:18:50.477524] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:18:50.477594] ID                                                                                                                                 
[2026-06-02 06:18:50.643752] GPU 0     0.000        0.000        0.000        300          2100         1                           606530552817728             
[2026-06-02 06:18:50.702235] GPU 0     0.000        0.000        0.000        825          2100         1                           606530603388096             
[2026-06-02 06:18:50.754811] GPU 0     0.000        0.000        0.000        825          2100         1                           606530653941184             
[2026-06-02 06:18:50.807684] GPU 0     0.000        0.000        0.000        825          2100         1                           606530704526368             
[2026-06-02 06:18:50.860213] GPU 0     0.000        0.000        0.000        825          2100         1                           606530755107392             
[2026-06-02 06:18:50.913029] GPU 0     0.000        0.000        0.000        825          2100         1                           606530805668672             
[2026-06-02 06:18:50.965651] GPU 0     0.000        0.000        0.000        825          2100         1                           606530856237088             
[2026-06-02 06:18:51.017767] GPU 0     0.000        0.000        0.000        825          2100         1                           606530906919744             
[2026-06-02 06:18:51.070295] GPU 0     0.000        0.000        0.000        825          2100         1                           606530957622784             
[2026-06-02 06:18:51.122865] GPU 0     0.000        0.000        0.000        825          2100         1                           606531008451296             
[2026-06-02 06:18:51.175298] GPU 0     0.000        0.000        0.000        825          2100         1                           606531059119040             
[2026-06-02 06:18:51.227849] GPU 0     0.000        0.000        0.000        825          2100         1                           606531109805952             
[2026-06-02 06:18:51.280217] GPU 0     0.000        0.000        0.000        825          2100         1                           606531160455936             
[2026-06-02 06:18:51.332882] GPU 0     0.000        0.000        0.000        825          2100         1                           606531211236640             
[2026-06-02 06:18:51.385327] GPU 0     0.000        0.000        0.000        825          2100         1                           606531261776064             
[2026-06-02 06:18:51.435470] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:18:51.435586] ID                                                                                                                                 
[2026-06-02 06:18:51.438356] GPU 0     0.000        0.000        0.000        825          2100         1                           606531312357696             
[2026-06-02 06:18:51.491425] GPU 0     0.000        0.000        0.000        825          2100         1                           606531362910368             
[2026-06-02 06:18:51.544511] GPU 0     0.000        0.000        0.000        825          2100         1                           606531413517984             
[2026-06-02 06:18:51.597223] GPU 0     0.000        0.000        0.000        825          2100         1                           606531464089120             
[2026-06-02 06:18:51.649723] GPU 0     0.000        0.000        0.000        825          2100         1                           606531514678016             
[2026-06-02 06:18:51.701885] GPU 0     0.000        0.000        0.000        825          2100         1                           606531565247360             
[2026-06-02 06:18:51.754193] GPU 0     0.000        0.000        0.000        825          2100         1                           606531615809824             
[2026-06-02 06:18:51.806184] GPU 0     0.000        0.000        0.000        825          2100         1                           606531666997600             
