,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-06-02,06:18:50.510,  117.11,   61.70,  117.25,   60.76,  120.47,   64.91,  110.27,   57.85,  111.50,   58.07,  109.55,   56.15,  686.14,  359.45,     19320, 1045.59,   50.78,   47.43,   51.22,   47.04,   52.08,   47.84,   47.17,   45.16,   47.88,   46.46,   46.53,   45.11,  295.66,  279.04,     19280,  574.70,    981.80,    638.49,   1620.29
2026-06-02,06:18:50.561,  258.29,  118.75,  258.69,  120.16,  266.50,  129.55,  244.26,  113.85,  246.27,  117.08,  241.12,  111.20, 1515.12,  710.60,     18940, 2225.72,   50.64,   49.71,   52.00,   51.17,   50.77,   50.47,   47.44,   47.98,   49.66,   49.96,   47.48,   47.48,  297.98,  296.77,     18800,  594.75,   1813.10,   1007.37,   2820.47
2026-06-02,06:18:50.610,   94.77,   36.96,   96.08,   37.83,  101.52,   43.87,   93.73,   37.80,   92.52,   36.38,   92.04,   35.38,  570.66,  228.21,     18680,  798.87,   15.10,   16.31,   15.91,   17.04,   16.15,   17.43,   13.97,   16.61,   15.13,   17.81,   14.79,   17.10,   91.06,  102.30,     18660,  193.35,    661.72,    330.50,    992.22
2026-06-02,06:18:50.660,   10.25,   10.13,   10.30,    9.96,    9.98,   10.21,    9.40,    9.93,    9.20,    9.93,    9.33,   10.17,   58.46,   60.33,     18428,  118.78,   13.97,   18.41,   13.71,   18.49,   13.53,   18.17,   10.83,   17.00,   11.16,   17.37,   10.43,   16.58,   73.62,  106.01,     18468,  179.63,    132.08,    166.34,    298.42
2026-06-02,06:18:50.710,   54.14,   32.44,   56.03,   34.05,   57.26,   35.81,   51.15,   31.23,   52.70,   34.09,   51.85,   32.17,  323.13,  199.80,     18780,  522.92,   15.43,   24.15,   16.05,   24.95,   15.97,   24.66,   12.09,   22.98,   13.37,   24.12,   12.52,   23.47,   85.43,  144.32,     18760,  229.76,    408.56,    344.12,    752.68
2026-06-02,06:18:50.760,   43.64,   27.84,   46.79,   31.05,   46.68,   30.89,   42.06,   27.75,   42.90,   29.27,   40.68,   26.63,  262.74,  173.44,     18740,  436.18,   18.12,   28.35,   18.38,   28.65,   18.45,   28.64,   15.57,   27.03,   16.79,   28.26,   15.91,   27.53,  103.21,  168.46,     18720,  271.67,    365.95,    341.90,    707.85
2026-06-02,06:18:50.810,   26.92,   19.01,   29.34,   21.68,   30.16,   22.32,   25.21,   18.48,   27.49,   20.57,   26.60,   20.26,  165.72,  122.32,     18780,  288.04,   10.07,   13.91,   10.71,   14.50,   10.29,   14.29,    9.10,   13.14,   10.27,   14.22,    9.84,   13.69,   60.28,   83.75,     18780,  144.03,    226.00,    206.07,    432.07
2026-06-02,06:18:50.861,   32.13,   21.71,   32.22,   21.41,   33.51,   23.57,   30.14,   21.43,   30.78,   22.52,   31.34,   22.90,  190.12,  133.55,     18760,  323.67,   16.07,   21.27,   16.69,   21.96,   16.67,   22.07,   14.53,   20.58,   15.33,   21.22,   14.73,   20.28,   94.02,  127.38,     18760,  221.41,    284.15,    260.93,    545.08
2026-06-02,06:18:50.911,   49.29,   32.53,   49.81,   32.32,   52.14,   34.96,   43.48,   29.66,   44.01,   29.99,   45.32,   31.29,  284.06,  190.75,     18760,  474.81,   15.33,   21.12,   15.98,   22.03,   16.06,   22.13,   13.62,   20.38,   15.00,   21.86,   14.02,   21.12,   90.01,  128.63,     18760,  218.64,    374.06,    319.38,    693.45
2026-06-02,06:18:50.960,   18.06,   18.81,   17.89,   18.66,   17.91,   18.55,   17.16,   18.36,   17.15,   18.29,   17.08,   18.41,  105.26,  111.07,     18480,  216.33,   15.99,   19.49,   16.01,   19.38,   15.92,   19.28,   14.18,   18.42,   14.93,   18.76,   14.24,   17.92,   91.27,  113.25,     18460,  204.52,    196.53,    224.32,    420.85
2026-06-02,06:18:51.011,   10.54,    9.30,   10.67,    9.17,   10.66,    9.30,   10.30,    8.75,   10.32,    9.05,   10.26,    8.84,   62.76,   54.40,     18760,  117.16,    6.91,   10.16,    6.77,    9.98,    6.85,   10.03,    6.07,    9.54,    6.36,    9.95,    5.87,    9.44,   38.82,   59.10,     18760,   97.92,    101.58,    113.50,    215.08
2026-06-02,06:18:51.061,   48.61,   24.99,   50.46,   26.61,   52.99,   29.35,   46.60,   24.98,   46.68,   24.97,   47.23,   24.79,  292.57,  155.68,     18760,  448.25,   13.57,   19.46,   13.98,   20.13,   14.27,   20.20,   12.04,   18.78,   13.19,   19.78,   12.41,   18.78,   79.45,  117.14,     18740,  196.58,    372.01,    272.82,    644.83
2026-06-02,06:18:51.111,   36.68,   23.55,   39.29,   25.15,   40.60,   27.18,   33.84,   22.58,   35.89,   25.01,   34.33,   23.21,  220.62,  146.67,     18820,  367.28,   12.41,   20.40,   13.58,   21.54,   13.05,   21.22,   10.68,   19.51,   12.05,   20.79,   11.53,   19.88,   73.30,  123.34,     18800,  196.63,    293.91,    270.01,    563.92
