timestamp,elapsed_time,cpu_power,gpu_power,total_power,sm_clock_mhz,max_sm_clock_mhz,throttle_bitmask,throttle_reasons
2026-06-02 06:18:51.803167,3.644,46.43,24.89,71.32,825,2100,1,None
2026-06-02 06:18:52.000338,3.853,88.95,24.96,113.91,825,2100,1,None
2026-06-02 06:18:52.177813,4.051,47.70,24.95,72.66,825,2100,1,None
2026-06-02 06:18:52.358474,4.228,48.85,25.01,73.86,825,2100,1,None
2026-06-02 06:18:52.539783,4.409,49.44,24.95,74.39,795,2100,1,None
2026-06-02 06:18:52.722226,4.590,50.12,24.20,74.32,825,2100,1,None
2026-06-02 06:18:52.897117,4.772,53.40,24.70,78.10,825,2100,1,None
2026-06-02 06:18:53.075482,4.947,48.36,26.29,74.65,885,2100,1,None
2026-06-02 06:18:53.249417,5.126,48.57,26.08,74.66,885,2100,1,None
2026-06-02 06:18:53.424438,5.300,46.69,26.09,72.79,885,2100,1,None
2026-06-02 06:18:53.602413,5.475,49.16,26.23,75.40,885,2100,1,None
2026-06-02 06:18:53.776067,5.653,49.00,26.38,75.38,885,2100,1,None
2026-06-02 06:18:53.955220,5.826,52.32,26.36,78.68,885,2100,1,None
2026-06-02 06:18:54.147931,6.005,58.74,26.27,85.01,885,2100,1,None
2026-06-02 06:18:54.344489,6.198,59.56,26.06,85.62,885,2100,1,None
2026-06-02 06:18:54.520483,6.395,59.51,25.94,85.45,885,2100,1,None
2026-06-02 06:18:54.699978,6.571,60.85,26.02,86.87,885,2100,1,None
2026-06-02 06:18:54.873415,6.750,47.58,26.23,73.81,855,2100,1,None
2026-06-02 06:18:55.070310,6.924,103.38,26.49,129.87,885,2100,1,None
2026-06-02 06:18:55.246655,7.121,47.61,26.25,73.87,885,2100,1,None
2026-06-02 06:18:55.426975,7.297,46.86,26.54,73.40,885,2100,1,None
2026-06-02 06:18:55.600461,7.477,52.71,26.38,79.09,885,2100,1,None
2026-06-02 06:18:55.777935,7.651,47.71,26.41,74.12,885,2100,1,None
2026-06-02 06:18:55.954832,7.828,47.10,26.43,73.53,885,2100,1,None
2026-06-02 06:18:56.153119,8.005,47.21,26.52,73.73,885,2100,1,None
2026-06-02 06:18:56.328418,8.203,47.87,26.34,74.21,885,2100,1,None
2026-06-02 06:18:56.507048,8.379,47.96,26.59,74.55,885,2100,1,None
2026-06-02 06:18:56.682889,8.557,51.98,26.54,78.51,885,2100,1,None
2026-06-02 06:18:56.862195,8.733,46.65,26.09,72.75,855,2100,1,None
2026-06-02 06:18:57.036233,8.912,47.54,25.99,73.53,855,2100,1,None
2026-06-02 06:18:57.211900,9.086,47.27,25.81,73.08,855,2100,1,None
2026-06-02 06:18:57.409310,9.262,46.90,25.98,72.89,855,2100,1,None
2026-06-02 06:18:57.589338,9.460,54.53,25.73,80.26,855,2100,1,None
2026-06-02 06:18:57.763939,9.640,46.77,25.95,72.72,825,2100,1,None
2026-06-02 06:18:57.944813,9.814,48.30,25.09,73.39,825,2100,1,None
2026-06-02 06:18:58.119347,9.995,47.58,25.05,72.63,825,2100,1,None
2026-06-02 06:18:58.298492,10.170,35.76,25.97,61.73,945,2100,1,None
2026-06-02 06:18:58.471246,10.349,31.27,27.36,58.64,945,2100,1,None
2026-06-02 06:18:58.643905,10.521,33.51,27.09,60.60,945,2100,1,None
2026-06-02 06:18:58.822300,10.694,30.94,27.21,58.16,945,2100,1,None
2026-06-02 06:18:58.995081,10.873,30.21,27.08,57.29,945,2100,1,None
2026-06-02 06:18:59.176839,11.045,31.27,27.08,58.35,945,2100,1,None
2026-06-02 06:18:59.351211,11.227,31.55,27.30,58.85,945,2100,1,None
2026-06-02 06:18:59.525599,11.401,33.07,27.81,60.88,1005,2100,1,None
2026-06-02 06:18:59.715856,11.576,33.96,28.13,62.09,1005,2100,1,None
2026-06-02 06:18:59.892332,11.766,30.48,27.95,58.44,1005,2100,1,None
2026-06-02 06:19:00.066155,11.943,30.53,28.09,58.62,1005,2100,1,None
2026-06-02 06:19:00.239390,12.116,30.47,27.89,58.36,1005,2100,1,None
2026-06-02 06:19:00.429016,12.290,30.80,27.88,58.67,1005,2100,1,None
2026-06-02 06:19:00.604372,12.479,52.17,27.79,79.96,1005,2100,1,None
2026-06-02 06:19:00.783800,12.655,42.60,28.01,70.61,1005,2100,1,None
2026-06-02 06:19:00.961933,12.834,31.84,27.89,59.72,1005,2100,1,None
2026-06-02 06:19:01.134084,13.012,30.55,27.88,58.43,1005,2100,1,None
2026-06-02 06:19:01.306930,13.184,31.82,27.79,59.60,975,2100,1,None
2026-06-02 06:19:01.483349,13.357,33.88,27.77,61.66,975,2100,1,None
2026-06-02 06:19:01.656481,13.534,39.98,27.45,67.43,945,2100,1,None
2026-06-02 06:19:01.833644,13.707,47.72,27.30,75.02,945,2100,1,None
2026-06-02 06:19:02.023489,13.884,46.03,27.40,73.43,945,2100,1,None
2026-06-02 06:19:02.205055,14.074,31.27,27.21,58.48,915,2100,1,None
2026-06-02 06:19:02.378335,14.255,30.57,27.02,57.59,915,2100,1,None
2026-06-02 06:19:02.554682,14.429,38.69,28.18,66.86,1005,2100,1,None
2026-06-02 06:19:02.726320,14.605,49.84,27.90,77.74,1005,2100,1,None
2026-06-02 06:19:02.900994,14.777,51.27,28.16,79.43,1005,2100,1,None
2026-06-02 06:19:03.076354,14.951,53.92,27.91,81.83,1005,2100,1,None
2026-06-02 06:19:03.249389,15.127,54.52,27.81,82.32,1005,2100,1,None
2026-06-02 06:19:03.422399,15.300,98.01,28.19,126.20,1005,2100,1,None
2026-06-02 06:19:03.598803,15.473,111.88,27.95,139.83,1005,2100,1,None
2026-06-02 06:19:03.785149,15.649,69.00,28.19,97.19,1005,2100,1,None
2026-06-02 06:19:03.971493,15.835,111.02,28.00,139.02,1005,2100,1,None
2026-06-02 06:19:04.143464,16.022,83.48,28.19,111.67,1005,2100,1,None
2026-06-02 06:19:04.319712,16.194,65.60,28.24,93.84,975,2100,1,None
2026-06-02 06:19:04.493910,16.370,75.92,27.96,103.88,975,2100,1,None
2026-06-02 06:19:04.669736,16.544,59.43,28.30,87.73,945,2100,1,None
2026-06-02 06:19:04.861894,16.720,58.38,27.42,85.80,945,2100,1,None
2026-06-02 06:19:05.039797,16.912,59.15,27.64,86.79,945,2100,1,None
2026-06-02 06:19:05.212437,17.090,56.18,27.17,83.35,945,2100,1,None
2026-06-02 06:19:05.388967,17.263,57.28,27.26,84.54,945,2100,1,None
2026-06-02 06:19:05.582540,17.439,60.60,27.69,88.29,945,2100,1,None
2026-06-02 06:19:05.767058,17.633,76.17,27.36,103.53,915,2100,1,None
2026-06-02 06:19:05.939440,17.817,89.35,26.71,116.06,915,2100,1,None
2026-06-02 06:19:06.116618,17.990,85.52,26.85,112.36,915,2100,1,None
2026-06-02 06:19:06.291679,18.167,84.76,27.21,111.98,915,2100,1,None
2026-06-02 06:19:06.490715,18.342,93.53,27.14,120.67,885,2100,1,None
2026-06-02 06:19:06.663667,18.541,88.12,26.70,114.82,885,2100,1,None
2026-06-02 06:19:06.858744,18.714,88.56,26.65,115.21,885,2100,1,None
2026-06-02 06:19:07.068761,18.909,67.38,27.12,94.50,975,2100,1,None
2026-06-02 06:19:07.261561,19.119,35.55,28.20,63.75,1440,2100,0,None
2026-06-02 06:19:07.433314,19.312,36.60,62.09,98.69,1440,2100,0,None
2026-06-02 06:19:07.603144,19.484,53.86,68.94,122.80,1620,2100,0,None
2026-06-02 06:19:07.768892,19.653,60.45,70.03,130.48,1620,2100,0,None
2026-06-02 06:19:07.935596,19.819,47.06,70.10,117.15,1620,2100,0,None
2026-06-02 06:19:08.102852,19.986,43.98,70.12,114.10,1620,2100,0,None
2026-06-02 06:19:08.270895,20.153,40.90,70.17,111.07,1620,2100,0,None
