[2026-06-02 06:34:31.116441] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:34:31.116510] ID                                                                                                                                 
[2026-06-02 06:34:31.267853] GPU 0     0.000        0.000        0.000        615          2100         1                           607288734274816             
[2026-06-02 06:34:31.326264] GPU 0     0.000        0.000        0.000        615          2100         1                           607288785131648             
[2026-06-02 06:34:31.378833] GPU 0     0.000        0.000        0.000        615          2100         1                           607288835918112             
[2026-06-02 06:34:31.431052] GPU 0     0.000        0.000        0.000        615          2100         1                           607288886840032             
[2026-06-02 06:34:31.483733] GPU 0     0.000        0.000        0.000        675          2100         1                           607288937905504             
[2026-06-02 06:34:31.536561] GPU 0     0.000        0.000        0.000        675          2100         1                           607288988504896             
[2026-06-02 06:34:31.589419] GPU 0     0.000        0.000        0.000        675          2100         1                           607289039085376             
[2026-06-02 06:34:31.642292] GPU 0     0.000        0.000        0.000        675          2100         1                           607289089676064             
[2026-06-02 06:34:31.695168] GPU 0     0.000        0.000        0.000        675          2100         1                           607289190869504             
[2026-06-02 06:34:31.747730] GPU 0     0.000        0.000        0.000        675          2100         1                           607289241473888             
[2026-06-02 06:34:31.800282] GPU 0     0.000        0.000        0.000        675          2100         1                           607289292066720             
[2026-06-02 06:34:31.852952] GPU 0     0.000        0.000        0.000        675          2100         1                           607289342624448             
[2026-06-02 06:34:31.905647] GPU 0     0.000        0.000        0.000        675          2100         1                           607289393248032             
[2026-06-02 06:34:31.958379] GPU 0     0.000        0.000        0.000        675          2100         1                           607289443904256             
[2026-06-02 06:34:32.010895] GPU 0     0.000        0.000        0.000        675          2100         1                           607289494630048             
[2026-06-02 06:34:32.061051] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:34:32.061199] ID                                                                                                                                 
[2026-06-02 06:34:32.063489] GPU 0     0.000        0.000        0.000        675          2100         1                           607289545327872             
[2026-06-02 06:34:32.116296] GPU 0     0.000        0.000        0.000        675          2100         1                           607289596064224             
[2026-06-02 06:34:32.169298] GPU 0     0.000        0.000        0.000        675          2100         1                           607289646761600             
[2026-06-02 06:34:32.222395] GPU 0     0.000        0.000        0.000        675          2100         1                           607289697714784             
[2026-06-02 06:34:32.274934] GPU 0     0.000        0.000        0.000        675          2100         1                           607289748372640             
[2026-06-02 06:34:32.327511] GPU 0     0.000        0.000        0.000        675          2100         1                           607289799054592             
[2026-06-02 06:34:32.379962] GPU 0     0.000        0.000        0.000        675          2100         1                           607289850425120             
[2026-06-02 06:34:32.432227] GPU 0     0.000        0.000        0.000        675          2100         1                           607289901157440             
[2026-06-02 06:34:32.484542] GPU 0     0.000        0.000        0.000        675          2100         1                           607289961545024             
[2026-06-02 06:34:32.536971] GPU 0     0.000        0.000        0.000        675          2100         1                           607290012132672             
[2026-06-02 06:34:32.590620] GPU 0     0.000        0.000        0.000        675          2100         1                           607290062749216             
[2026-06-02 06:34:32.643655] GPU 0     0.000        0.000        0.000        675          2100         1                           607290114578368             
[2026-06-02 06:34:32.697079] GPU 0     0.000        0.000        0.000        705          2100         1                           607290167634592             
[2026-06-02 06:34:32.749252] GPU 0     0.000        0.000        0.000        705          2100         1                           607290218324192             
[2026-06-02 06:34:32.799439] #Entity   SMACT        SMOCC        DRAMA        SMCLK        SMMAX        DVCCTR                      TAPCV                       
[2026-06-02 06:34:32.799579] ID                                                                                                                                 
[2026-06-02 06:34:32.802340] GPU 0     0.000        0.000        0.000        705          2100         1                           607290268928064             
[2026-06-02 06:34:32.854820] GPU 0     0.000        0.000        0.000        705          2100         1                           607290328509312             
[2026-06-02 06:34:32.907873] GPU 0     0.000        0.000        0.000        795          2100         1                           607290379109312             
[2026-06-02 06:34:32.960293] GPU 0     0.000        0.000        0.000        795          2100         1                           607290429673408             
[2026-06-02 06:34:33.013091] GPU 0     0.000        0.000        0.000        795          2100         1                           607290481386144             
[2026-06-02 06:34:33.065439] GPU 0     0.000        0.000        0.000        795          2100         1                           607290531941728             
