,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-06-02,06:34:31.141,   54.74,   33.43,   54.85,   33.59,   55.00,   33.74,   52.01,   32.19,   51.60,   32.20,   52.02,   32.34,  320.22,  197.48,     18880,  517.71,   43.67,   40.30,   43.55,   40.83,   43.53,   40.30,   38.75,   38.93,   39.46,   39.39,   38.76,   39.41,  247.73,  239.16,     18880,  486.89,    567.95,    436.65,   1004.60
2026-06-02,06:34:31.190,    7.55,    6.67,    7.62,    6.63,    7.52,    6.91,    6.49,    6.02,    6.51,    6.17,    6.47,    6.09,   42.17,   38.49,     18996,   80.65,   11.53,   13.08,   11.76,   13.30,   11.50,   13.18,    9.64,   12.19,   10.29,   13.00,    9.44,   12.24,   64.16,   76.99,     18976,  141.15,    106.33,    115.48,    221.80
2026-06-02,06:34:31.240,   10.06,    5.79,   10.23,    5.68,   10.26,    5.84,    9.72,    5.37,    9.91,    5.56,    9.59,    5.42,   59.77,   33.67,     18680,   93.44,    8.98,    9.67,    9.44,    9.98,    9.13,    9.72,    7.95,    9.03,    8.21,    9.55,    7.86,    9.11,   51.56,   57.06,     18680,  108.62,    111.33,     90.73,    202.06
2026-06-02,06:34:31.291,   24.74,   20.02,   25.02,   20.09,   25.32,   20.51,   23.18,   19.66,   23.64,   19.91,   23.80,   19.66,  145.70,  119.86,     18700,  265.56,   17.09,   24.45,   17.66,   24.82,   17.45,   24.73,   14.82,   23.28,   15.19,   23.70,   14.97,   23.77,   97.18,  144.74,     19080,  241.92,    242.88,    264.60,    507.48
2026-06-02,06:34:31.340,   74.62,   31.00,   75.52,   30.72,   75.54,   31.08,   71.64,   29.82,   70.94,   29.90,   71.42,   29.59,  439.68,  182.11,     18800,  621.80,   15.78,   21.58,   15.87,   21.53,   15.99,   21.66,   13.05,   20.63,   13.85,   21.31,   13.36,   20.79,   87.90,  127.49,     18480,  215.39,    527.58,    309.61,    837.19
2026-06-02,06:34:31.391,   30.35,   23.02,   30.55,   23.19,   31.24,   23.60,   29.29,   22.66,   29.03,   22.53,   28.86,   22.44,  179.33,  137.44,     18740,  316.77,   17.79,   20.66,   17.81,   20.66,   17.68,   20.68,   15.91,   19.70,   16.33,   20.18,   15.84,   19.75,  101.36,  121.63,     18740,  222.99,    280.68,    259.07,    539.76
2026-06-02,06:34:31.441,   11.80,    9.23,   11.84,    8.96,   11.74,    9.04,   11.12,    8.92,   11.13,    8.86,   11.21,    8.78,   68.85,   53.79,     18740,  122.64,    4.01,    6.51,    3.89,    6.45,    3.86,    6.32,    3.44,    5.89,    3.54,    6.08,    3.38,    5.96,   22.13,   37.22,     18760,   59.35,     90.98,     91.01,    181.99
2026-06-02,06:34:31.491,   78.53,   31.04,   78.99,   30.87,   78.91,   31.19,   74.01,   29.34,   72.96,   29.49,   73.95,   29.29,  457.34,  181.22,     18380,  638.56,   15.66,   16.01,   15.77,   15.96,   15.54,   15.83,   13.91,   14.77,   13.97,   15.15,   13.83,   14.92,   88.68,   92.64,     18380,  181.32,    546.02,    273.85,    819.87
2026-06-02,06:34:31.541,   67.30,   32.61,   67.65,   32.68,   67.60,   33.00,   65.21,   31.90,   64.76,   31.75,   65.39,   32.00,  397.91,  193.93,     18704,  591.84,   29.96,   39.77,   30.24,   40.36,   30.58,   40.28,   28.08,   39.59,   27.87,   39.43,   27.61,   39.64,  174.35,  239.08,     18743,  413.42,    572.25,    433.01,   1005.26
2026-06-02,06:34:31.592,   67.15,   37.92,   68.03,   38.02,   67.85,   38.34,   63.46,   37.22,   62.82,   37.13,   62.88,   37.06,  392.18,  225.69,     18840,  617.88,   28.56,   28.70,   28.72,   29.42,   28.64,   29.12,   26.50,   27.65,   26.93,   27.72,   26.39,   27.60,  165.74,  170.21,     18760,  335.95,    557.93,    395.90,    953.83
2026-06-02,06:34:31.642,   45.68,   23.94,   45.61,   23.97,   45.98,   24.37,   42.24,   23.37,   42.19,   23.39,   42.45,   23.40,  264.15,  142.44,     18760,  406.59,   17.11,   16.02,   17.70,   16.55,   17.39,   16.00,   16.27,   15.45,   16.49,   15.77,   15.89,   15.27,  100.86,   95.07,     18760,  195.92,    365.00,    237.51,    602.51
2026-06-02,06:34:31.692,   53.77,   25.88,   54.24,   25.89,   54.00,   25.66,   50.42,   24.61,   49.69,   24.36,   50.30,   24.36,  312.42,  150.76,     18780,  463.19,   15.56,   13.67,   15.96,   14.05,   15.82,   13.95,   13.85,   12.92,   14.52,   13.74,   13.89,   12.94,   89.60,   81.28,     18820,  170.88,    402.03,    232.04,    634.07
2026-06-02,06:34:31.743,   62.83,   42.75,   63.72,   42.43,   63.39,   42.68,   57.95,   41.35,   57.81,   41.43,   58.16,   41.73,  363.87,  252.37,     18526,  616.24,   20.74,   21.41,   20.31,   21.12,   20.56,   21.15,   19.16,   20.03,   19.54,   20.61,   19.20,   20.14,  119.51,  124.46,     18507,  243.97,    483.38,    376.83,    860.21
2026-06-02,06:34:31.792,   67.04,   31.54,   67.91,   31.77,   67.22,   31.76,   62.49,   30.13,   62.04,   30.27,   62.50,   29.96,  389.20,  185.43,     18794,  574.64,   11.10,    8.40,   11.25,    8.70,   11.04,    8.49,   10.24,    7.87,   10.63,    8.34,   10.43,    8.25,   64.70,   50.04,     18752,  114.74,    453.90,    235.48,    689.38
2026-06-02,06:34:31.842,   29.94,   21.46,   30.27,   21.36,   30.17,   21.35,   26.77,   19.86,   27.04,   20.05,   27.24,   20.09,  171.43,  124.17,     18760,  295.59,    9.99,   13.41,   10.47,   13.83,   10.12,   13.47,    8.24,   12.54,    8.32,   12.71,    8.15,   12.42,   55.29,   78.36,     18760,  133.66,    226.72,    202.53,    429.25
2026-06-02,06:34:31.892,   53.64,   33.72,   54.45,   33.76,   54.39,   34.20,   51.00,   33.23,   50.77,   33.51,   51.12,   33.46,  315.36,  201.88,     18780,  517.25,   22.35,   23.38,   22.85,   24.12,   22.47,   23.86,   20.56,   22.72,   20.91,   22.88,   20.44,   22.71,  129.58,  139.67,     18760,  269.25,    444.95,    341.55,    786.49
2026-06-02,06:34:31.943,   39.61,   20.32,   40.17,   20.34,   39.70,   20.51,   36.82,   19.25,   37.10,   19.44,   37.13,   19.39,  230.53,  119.24,     18800,  349.77,   12.33,   16.75,   12.36,   17.06,   12.47,   16.90,   10.68,   15.81,   11.02,   16.06,   10.47,   15.67,   69.33,   98.26,     18760,  167.59,    299.86,    217.50,    517.36
2026-06-02,06:34:31.993,   32.38,   20.28,   32.81,   20.44,   32.62,   20.33,   30.30,   19.46,   30.30,   19.51,   29.81,   19.38,  188.20,  119.39,     18820,  307.60,    8.01,   10.49,    8.07,   10.56,    8.03,   10.27,    7.10,    9.70,    7.60,   10.05,    7.15,    9.80,   45.94,   60.87,     18760,  106.81,    234.15,    180.26,    414.41
2026-06-02,06:34:32.043,   15.13,   13.68,   14.86,   13.38,   15.20,   13.62,   14.00,   13.00,   14.33,   13.07,   14.24,   13.31,   87.76,   80.06,     18800,  167.82,   11.80,   15.30,   11.94,   15.67,   11.82,   15.29,   10.35,   14.53,   10.65,   14.69,   10.43,   14.43,   66.99,   89.91,     18760,  156.90,    154.75,    169.97,    324.72
