timestamp,elapsed_time,cpu_power,gpu_power,total_power,sm_clock_mhz,max_sm_clock_mhz,throttle_bitmask,throttle_reasons
2026-06-02 06:34:32.463521,4.300,50.57,23.78,74.34,675,2100,1,None
2026-06-02 06:34:32.653085,4.514,53.08,23.74,76.82,675,2100,1,None
2026-06-02 06:34:32.830580,4.703,56.58,24.09,80.67,705,2100,1,None
2026-06-02 06:34:33.010261,4.881,48.77,24.54,73.31,795,2100,1,None
2026-06-02 06:34:33.187545,5.060,56.04,24.57,80.61,795,2100,1,None
2026-06-02 06:34:33.369167,5.238,48.55,24.53,73.08,795,2100,1,None
2026-06-02 06:34:33.543898,5.419,48.72,24.58,73.29,795,2100,1,None
2026-06-02 06:34:33.724699,5.594,48.61,24.63,73.24,795,2100,1,None
2026-06-02 06:34:33.900760,5.775,47.80,24.68,72.48,795,2100,1,None
2026-06-02 06:34:34.080677,5.951,48.43,24.76,73.19,795,2100,1,None
2026-06-02 06:34:34.255682,6.131,48.23,24.81,73.04,795,2100,1,None
2026-06-02 06:34:34.432840,6.306,47.67,26.55,74.22,855,2100,1,None
2026-06-02 06:34:34.608167,6.483,47.38,26.66,74.03,855,2100,1,None
2026-06-02 06:34:34.784417,6.658,46.67,26.58,73.26,855,2100,1,None
2026-06-02 06:34:34.979916,6.835,46.60,25.91,72.52,855,2100,1,None
2026-06-02 06:34:35.157085,7.030,47.92,26.28,74.20,855,2100,1,None
2026-06-02 06:34:35.330632,7.207,46.86,26.25,73.11,855,2100,1,None
2026-06-02 06:34:35.506652,7.381,46.67,26.30,72.96,855,2100,1,None
2026-06-02 06:34:35.699718,7.557,46.78,26.14,72.92,855,2100,1,None
2026-06-02 06:34:35.880943,7.750,47.61,26.31,73.92,855,2100,1,None
2026-06-02 06:34:36.055312,7.931,48.77,26.46,75.22,855,2100,1,None
2026-06-02 06:34:36.231390,8.106,47.93,27.49,75.42,945,2100,1,None
2026-06-02 06:34:36.407843,8.282,50.91,27.49,78.39,945,2100,1,None
2026-06-02 06:34:36.602332,8.464,60.24,27.33,87.57,945,2100,1,None
2026-06-02 06:34:36.776487,8.653,48.15,27.72,75.87,945,2100,1,None
2026-06-02 06:34:36.952423,8.827,45.60,27.74,73.34,945,2100,1,None
2026-06-02 06:34:37.127756,9.003,47.23,27.47,74.70,945,2100,1,None
2026-06-02 06:34:37.303081,9.178,49.51,27.51,77.02,945,2100,1,None
2026-06-02 06:34:37.493668,9.353,47.78,27.43,75.20,945,2100,1,None
2026-06-02 06:34:37.667971,9.544,49.23,27.78,77.01,945,2100,1,None
2026-06-02 06:34:37.844413,9.718,49.24,27.76,77.00,945,2100,1,None
2026-06-02 06:34:38.023474,9.895,47.26,27.30,74.56,915,2100,1,None
2026-06-02 06:34:38.218780,10.074,47.51,27.30,74.81,885,2100,1,None
2026-06-02 06:34:38.395662,10.269,50.23,27.08,77.31,885,2100,1,None
2026-06-02 06:34:38.569590,10.446,48.08,26.77,74.85,855,2100,1,None
2026-06-02 06:34:38.747485,10.620,48.30,26.10,74.40,855,2100,1,None
2026-06-02 06:34:38.947747,10.798,47.30,26.25,73.56,855,2100,1,None
2026-06-02 06:34:39.143816,10.998,47.59,26.12,73.71,855,2100,1,None
2026-06-02 06:34:39.345814,11.194,50.54,26.31,76.86,855,2100,1,None
2026-06-02 06:34:39.546828,11.396,47.67,25.55,73.21,825,2100,1,None
2026-06-02 06:34:39.729504,11.597,47.15,25.60,72.75,825,2100,1,None
2026-06-02 06:34:39.922874,11.781,41.69,25.46,67.15,825,2100,1,None
2026-06-02 06:34:40.102138,11.973,29.12,25.11,54.22,825,2100,1,None
2026-06-02 06:34:40.276502,12.152,33.16,25.40,58.56,825,2100,1,None
2026-06-02 06:34:40.456300,12.327,30.68,26.53,57.21,855,2100,1,None
2026-06-02 06:34:40.630306,12.507,29.71,26.39,56.10,855,2100,1,None
2026-06-02 06:34:40.806387,12.681,33.05,26.30,59.35,855,2100,1,None
2026-06-02 06:34:41.002439,12.857,31.82,26.45,58.26,855,2100,1,None
2026-06-02 06:34:41.181136,13.053,37.99,26.12,64.11,855,2100,1,None
2026-06-02 06:34:41.355117,13.231,34.28,26.48,60.76,855,2100,1,None
2026-06-02 06:34:41.533603,13.405,31.09,26.23,57.32,855,2100,1,None
2026-06-02 06:34:41.709770,13.584,30.62,26.54,57.17,855,2100,1,None
2026-06-02 06:34:41.884498,13.760,30.93,27.34,58.28,945,2100,1,None
2026-06-02 06:34:42.057819,13.935,31.35,26.94,58.29,945,2100,1,None
2026-06-02 06:34:42.232683,14.108,33.88,27.27,61.15,945,2100,1,None
2026-06-02 06:34:42.408513,14.283,46.76,27.58,74.34,945,2100,1,None
2026-06-02 06:34:42.581497,14.459,31.61,27.58,59.19,945,2100,1,None
2026-06-02 06:34:42.757171,14.632,30.88,27.38,58.26,945,2100,1,None
2026-06-02 06:34:42.934937,14.807,29.14,27.88,57.02,945,2100,1,None
2026-06-02 06:34:43.106698,14.985,30.23,27.74,57.97,945,2100,1,None
2026-06-02 06:34:43.284196,15.157,30.93,27.88,58.81,945,2100,1,None
2026-06-02 06:34:43.474537,15.334,29.58,27.97,57.55,945,2100,1,None
2026-06-02 06:34:43.653684,15.525,30.03,27.88,57.91,885,2100,1,None
2026-06-02 06:34:43.827372,15.704,31.66,26.91,58.57,885,2100,1,None
2026-06-02 06:34:44.008876,15.880,32.28,26.83,59.11,855,2100,1,None
2026-06-02 06:34:44.201113,16.059,35.91,26.51,62.42,855,2100,1,None
2026-06-02 06:34:44.380524,16.251,33.92,26.37,60.29,855,2100,1,None
2026-06-02 06:34:44.555851,16.431,33.59,26.57,60.16,855,2100,1,None
2026-06-02 06:34:44.735933,16.606,35.84,27.07,62.91,915,2100,1,None
2026-06-02 06:34:44.908807,16.786,32.86,27.13,59.99,915,2100,1,None
2026-06-02 06:34:45.086148,16.959,30.68,26.90,57.57,915,2100,1,None
2026-06-02 06:34:45.260290,17.136,29.51,27.01,56.53,915,2100,1,None
2026-06-02 06:34:45.433288,17.311,35.28,27.22,62.50,915,2100,1,None
2026-06-02 06:34:45.610744,17.484,48.87,27.32,76.20,915,2100,1,None
2026-06-02 06:34:45.786015,17.661,56.24,27.23,83.47,915,2100,1,None
2026-06-02 06:34:45.959534,17.836,55.13,27.24,82.38,915,2100,1,None
2026-06-02 06:34:46.149787,18.010,102.64,26.86,129.51,915,2100,1,None
2026-06-02 06:34:46.326493,18.200,49.02,26.91,75.93,915,2100,1,None
2026-06-02 06:34:46.503548,18.377,48.45,26.76,75.21,855,2100,1,None
2026-06-02 06:34:46.681652,18.554,49.02,26.49,75.52,855,2100,1,None
2026-06-02 06:34:46.859768,18.732,45.82,26.44,72.26,855,2100,1,None
2026-06-02 06:34:47.036770,18.910,48.22,26.02,74.23,855,2100,1,None
2026-06-02 06:34:47.228530,19.087,48.40,26.60,75.00,855,2100,1,None
2026-06-02 06:34:47.406701,19.279,48.50,26.56,75.06,825,2100,1,None
2026-06-02 06:34:47.583910,19.457,48.21,25.54,73.75,825,2100,1,None
2026-06-02 06:34:47.763068,19.634,48.36,26.91,75.26,915,2100,1,None
2026-06-02 06:34:47.935709,19.813,48.84,27.36,76.20,915,2100,1,None
2026-06-02 06:34:48.109634,19.986,37.57,27.26,64.82,915,2100,1,None
2026-06-02 06:34:48.295815,20.160,31.04,27.39,58.43,915,2100,1,None
2026-06-02 06:34:48.484533,20.346,33.70,42.15,75.84,1440,2100,0,None
2026-06-02 06:34:48.649755,20.535,34.05,62.86,96.90,1800,2100,0,None
2026-06-02 06:34:48.817286,20.700,33.11,81.29,114.40,1800,2100,0,None
2026-06-02 06:34:48.982327,20.868,35.45,81.43,116.88,1800,2100,0,None
2026-06-02 06:34:49.149876,21.033,41.03,81.49,122.52,1800,2100,0,None
2026-06-02 06:34:49.316652,21.200,46.97,81.58,128.54,1800,2100,0,None
2026-06-02 06:34:49.494973,21.367,40.91,81.55,122.46,1800,2100,0,None
2026-06-02 06:34:49.660033,21.545,42.62,81.58,124.20,1800,2100,0,None
2026-06-02 06:34:49.826570,21.710,43.35,81.59,124.93,1800,2100,0,None
2026-06-02 06:34:49.995679,21.877,40.01,81.58,121.59,1800,2100,0,None
2026-06-02 06:34:50.161618,22.046,40.26,81.59,121.84,1800,2100,0,None
2026-06-02 06:34:50.328184,22.212,45.75,81.60,127.35,1800,2100,0,None
2026-06-02 06:34:50.506919,22.378,45.70,81.60,127.30,1440,2100,0,None
2026-06-02 06:34:50.673516,22.557,37.85,63.37,101.22,1440,2100,0,None
2026-06-02 06:34:50.858004,22.724,39.67,63.38,103.05,1440,2100,0,None
2026-06-02 06:34:51.026905,22.908,43.55,63.24,106.78,1440,2100,0,None
2026-06-02 06:34:51.196126,23.077,39.14,63.36,102.50,1440,2100,0,None
2026-06-02 06:34:51.363190,23.246,46.65,63.37,110.02,1440,2100,0,None
2026-06-02 06:34:51.530770,23.413,44.95,63.34,108.30,1440,2100,0,None
2026-06-02 06:34:51.713159,23.581,44.69,63.42,108.10,1440,2100,0,None
2026-06-02 06:34:51.880169,23.763,45.95,63.32,109.27,1440,2100,0,None
2026-06-02 06:34:52.049720,23.930,39.68,63.32,103.00,1440,2100,0,None
2026-06-02 06:34:52.233150,24.100,38.76,63.40,102.16,1440,2100,0,None
2026-06-02 06:34:52.400339,24.283,38.97,63.40,102.37,1440,2100,0,None
2026-06-02 06:34:52.569313,24.451,37.41,63.36,100.76,1440,2100,0,None
2026-06-02 06:34:52.739260,24.620,38.13,63.25,101.38,1440,2100,0,None
2026-06-02 06:34:52.908273,24.790,39.15,63.82,102.97,1440,2100,0,None
2026-06-02 06:34:53.078252,24.959,47.87,64.49,112.36,1440,2100,0,None
2026-06-02 06:34:53.247627,25.129,47.62,64.18,111.80,1440,2100,0,None
2026-06-02 06:34:53.415052,25.298,49.81,64.07,113.88,1440,2100,0,None
2026-06-02 06:34:53.586622,25.465,45.85,63.92,109.77,1440,2100,0,None
2026-06-02 06:34:53.753479,25.637,46.28,63.48,109.77,1440,2100,0,None
2026-06-02 06:34:53.921243,25.804,109.09,63.42,172.51,1440,2100,0,None
2026-06-02 06:34:54.092901,25.971,47.14,63.28,110.42,1440,2100,0,None
2026-06-02 06:34:54.260189,26.143,48.33,63.24,111.57,1440,2100,0,None
2026-06-02 06:34:54.426881,26.311,47.47,63.34,110.80,1440,2100,0,None
2026-06-02 06:34:54.595999,26.477,44.28,63.56,107.84,1440,2100,0,None
2026-06-02 06:34:54.762765,26.646,48.58,63.40,111.98,1440,2100,0,None
2026-06-02 06:34:54.929571,26.813,47.11,63.51,110.62,1440,2100,0,None
2026-06-02 06:34:55.100783,26.980,47.30,63.47,110.77,1440,2100,0,None
2026-06-02 06:34:55.281328,27.151,46.60,63.46,110.06,1440,2100,0,None
2026-06-02 06:34:55.447938,27.332,50.43,63.53,113.96,1440,2100,0,None
2026-06-02 06:34:55.617480,27.498,45.22,63.35,108.57,1440,2100,0,None
2026-06-02 06:34:55.784393,27.668,44.11,63.37,107.49,1440,2100,0,None
2026-06-02 06:34:55.951043,27.835,48.58,63.55,112.12,1440,2100,0,None
2026-06-02 06:34:56.119701,28.001,55.85,63.64,119.49,1440,2100,0,None
2026-06-02 06:34:56.292854,28.170,47.80,64.08,111.88,1440,2100,0,None
2026-06-02 06:34:56.453618,28.343,48.49,89.32,137.82,1995,2100,4,SwPowerCap
2026-06-02 06:34:56.609246,28.504,48.41,242.36,290.78,1995,2100,0,None
2026-06-02 06:34:56.765020,28.660,50.96,185.55,236.51,1995,2100,0,None
2026-06-02 06:34:56.920027,28.815,48.52,188.97,237.49,1995,2100,0,None
2026-06-02 06:34:57.076327,28.970,48.32,182.42,230.74,1995,2100,0,None
2026-06-02 06:34:57.232811,29.127,48.02,206.43,254.46,1995,2100,0,None
2026-06-02 06:34:57.389286,29.283,48.43,210.60,259.04,1995,2100,0,None
2026-06-02 06:34:57.544577,29.440,48.04,199.39,247.43,1995,2100,0,None
2026-06-02 06:34:57.701726,29.595,48.18,212.14,260.33,1995,2100,0,None
2026-06-02 06:34:57.858810,29.752,49.47,183.99,233.45,1995,2100,0,None
2026-06-02 06:34:58.014842,29.909,48.65,173.59,222.24,1935,2100,4,SwPowerCap
2026-06-02 06:34:58.168885,30.065,50.05,100.91,150.96,1995,2100,0,None
2026-06-02 06:34:58.322888,30.219,37.47,118.84,156.31,1995,2100,0,None
2026-06-02 06:34:58.476779,30.373,30.84,106.67,137.51,1995,2100,0,None
2026-06-02 06:34:58.630926,30.527,30.13,106.46,136.59,1995,2100,0,None
2026-06-02 06:34:58.784728,30.681,31.63,106.58,138.21,1995,2100,0,None
2026-06-02 06:34:58.939194,30.835,30.94,106.44,137.38,1995,2100,0,None
2026-06-02 06:34:59.094401,30.989,37.43,106.63,144.06,1995,2100,0,None
2026-06-02 06:34:59.250479,31.145,56.30,106.68,162.98,1950,2100,4,SwPowerCap
2026-06-02 06:34:59.408552,31.301,50.45,251.80,302.25,1980,2100,4,SwPowerCap
2026-06-02 06:34:59.569846,31.459,48.53,212.97,261.50,1995,2100,4,SwPowerCap
2026-06-02 06:34:59.725111,31.620,34.99,110.93,145.92,1995,2100,0,None
2026-06-02 06:34:59.879209,31.775,32.26,106.75,139.01,1995,2100,0,None
2026-06-02 06:35:00.033253,31.929,31.39,106.79,138.18,1995,2100,0,None
2026-06-02 06:35:00.187331,32.084,31.00,106.71,137.70,1995,2100,0,None
2026-06-02 06:35:00.341336,32.238,33.01,106.73,139.74,1995,2100,0,None
2026-06-02 06:35:00.495477,32.392,30.43,106.42,136.85,1995,2100,0,None
2026-06-02 06:35:00.649556,32.546,31.10,106.56,137.66,1995,2100,0,None
2026-06-02 06:35:00.805478,32.700,31.71,106.72,138.43,1995,2100,0,None
2026-06-02 06:35:00.959740,32.856,31.52,106.62,138.15,1995,2100,0,None
2026-06-02 06:35:01.114085,33.010,30.85,106.62,137.47,1995,2100,0,None
2026-06-02 06:35:01.270019,33.164,65.27,106.67,171.94,1965,2100,4,SwPowerCap
2026-06-02 06:35:01.440115,33.320,48.54,177.78,226.32,1755,2100,0,None
2026-06-02 06:35:01.597729,33.490,48.78,209.27,258.05,1950,2100,4,SwPowerCap
2026-06-02 06:35:01.752416,33.648,44.50,192.72,237.22,1995,2100,0,None
2026-06-02 06:35:01.906970,33.803,31.51,107.26,138.77,1995,2100,0,None
2026-06-02 06:35:02.061368,33.957,30.09,107.15,137.23,1995,2100,0,None
2026-06-02 06:35:02.219548,34.112,30.51,106.95,137.46,1995,2100,0,None
2026-06-02 06:35:02.374042,34.270,33.06,107.00,140.06,1995,2100,0,None
2026-06-02 06:35:02.528441,34.424,30.71,106.91,137.62,1995,2100,0,None
2026-06-02 06:35:02.684500,34.579,29.98,106.95,136.92,1995,2100,0,None
2026-06-02 06:35:02.839718,34.735,31.08,106.67,137.75,1995,2100,0,None
2026-06-02 06:35:02.994240,34.890,30.68,106.67,137.35,1995,2100,0,None
2026-06-02 06:35:03.148547,35.044,31.81,106.90,138.71,1995,2100,0,None
2026-06-02 06:35:03.304069,35.199,80.65,227.31,307.96,1950,2100,4,SwPowerCap
2026-06-02 06:35:03.458718,35.354,48.19,247.00,295.19,1995,2100,4,SwPowerCap
2026-06-02 06:35:03.613175,35.509,38.47,111.70,150.17,1995,2100,0,None
2026-06-02 06:35:03.767427,35.663,31.28,107.47,138.75,1995,2100,0,None
2026-06-02 06:35:03.921966,35.818,31.37,107.15,138.52,1995,2100,0,None
2026-06-02 06:35:04.076327,35.972,30.06,107.20,137.26,1995,2100,0,None
2026-06-02 06:35:04.232160,36.127,29.22,107.42,136.64,1995,2100,0,None
2026-06-02 06:35:04.387486,36.282,32.10,107.55,139.65,1995,2100,0,None
2026-06-02 06:35:04.542193,36.438,30.93,107.49,138.43,1995,2100,0,None
2026-06-02 06:35:04.696805,36.592,31.40,107.34,138.74,1995,2100,0,None
2026-06-02 06:35:04.851638,36.747,31.40,107.36,138.75,1995,2100,0,None
2026-06-02 06:35:05.006066,36.902,30.15,107.24,137.40,1995,2100,0,None
2026-06-02 06:35:05.160729,37.056,31.75,107.31,139.06,1995,2100,0,None
2026-06-02 06:35:05.327402,37.211,93.92,219.86,313.78,1815,2100,0,None
2026-06-02 06:35:05.494301,37.378,42.45,172.37,214.82,1815,2100,0,None
