subject,accuracy,correct,total
high_school_world_history,0.9375,15,16
professional_psychology,0.9375,15,16
high_school_geography,0.875,14,16
college_biology,0.875,14,16
medical_genetics,0.875,14,16
high_school_psychology,0.875,14,16
international_law,0.875,14,16
high_school_computer_science,0.875,14,16
astronomy,0.875,14,16
human_sexuality,0.875,14,16
philosophy,0.875,14,16
us_foreign_policy,0.875,14,16
clinical_knowledge,0.8125,13,16
high_school_government_and_politics,0.8125,13,16
marketing,0.8125,13,16
logical_fallacies,0.8125,13,16
prehistory,0.8125,13,16
high_school_statistics,0.75,12,16
security_studies,0.75,12,16
nutrition,0.75,12,16
jurisprudence,0.75,12,16
professional_medicine,0.75,12,16
computer_security,0.75,12,16
high_school_chemistry,0.75,12,16
high_school_biology,0.75,12,16
sociology,0.75,12,16
world_religions,0.75,12,16
virology,0.6875,11,16
moral_scenarios,0.6875,11,16
management,0.6875,11,16
conceptual_physics,0.6875,11,16
business_ethics,0.6875,11,16
high_school_macroeconomics,0.6875,11,16
college_medicine,0.6875,11,16
global_facts,0.625,10,16
college_physics,0.625,10,16
anatomy,0.625,10,16
public_relations,0.625,10,16
high_school_microeconomics,0.625,10,16
human_aging,0.625,10,16
miscellaneous,0.625,10,16
electrical_engineering,0.5625,9,16
professional_law,0.5,8,16
moral_disputes,0.5,8,16
professional_accounting,0.5,8,16
high_school_european_history,0.5,8,16
abstract_algebra,0.5,8,16
econometrics,0.5,8,16
college_chemistry,0.4375,7,16
machine_learning,0.4375,7,16
high_school_physics,0.4375,7,16
college_mathematics,0.4375,7,16
elementary_mathematics,0.4375,7,16
formal_logic,0.375,6,16
college_computer_science,0.3125,5,16
high_school_mathematics,0.3125,5,16
high_school_us_history,0.125,2,16
