2025-11-18_19:58:00.291077654 | CPU: 0
2025-11-18_19:58:00.397409421 | CPU: 1
2025-11-18_19:58:00.500203331 | CPU: 1
2025-11-18_19:58:00.597127608 | CPU: 0
2025-11-18_19:58:00.687324865 | CPU: 1
2025-11-18_19:58:00.784059969 | CPU: 1
2025-11-18_19:58:00.884003980 | CPU: 0
2025-11-18_19:58:00.989090727 | CPU: 1
2025-11-18_19:58:01.092327901 | CPU: 2
2025-11-18_19:58:01.202119518 | CPU: 0
2025-11-18_19:58:01.292488730 | CPU: 3
2025-11-18_19:58:01.380759263 | CPU: 1
2025-11-18_19:58:01.480674666 | CPU: 0
2025-11-18_19:58:01.580040576 | CPU: 2
2025-11-18_19:58:01.682535279 | CPU: 1
2025-11-18_19:58:01.775779845 | CPU: 2
2025-11-18_19:58:01.877840274 | CPU: 1
2025-11-18_19:58:01.980432186 | CPU: 1
2025-11-18_19:58:02.070028271 | CPU: 1
2025-11-18_19:58:02.163707109 | CPU: 2
2025-11-18_19:58:02.255696352 | CPU: 3
2025-11-18_19:58:02.347977099 | CPU: 4
2025-11-18_19:58:02.440889539 | CPU: 2
2025-11-18_19:58:02.542139930 | CPU: 3
2025-11-18_19:58:02.656154062 | CPU: 3
2025-11-18_19:58:02.768020345 | CPU: 65
2025-11-18_19:58:02.863487051 | CPU: 4
2025-11-18_19:58:02.954617485 | CPU: 3
2025-11-18_19:58:03.049324676 | CPU: 5
2025-11-18_19:58:03.146033667 | CPU: 2
2025-11-18_19:58:03.241766713 | CPU: 4
2025-11-18_19:58:03.339823722 | CPU: 4
2025-11-18_19:58:03.433015458 | CPU: 4
2025-11-18_19:58:03.524309182 | CPU: 3
2025-11-18_19:58:03.616562429 | CPU: 4
2025-11-18_19:58:03.712460479 | CPU: 4
2025-11-18_19:58:03.804331886 | CPU: 4
2025-11-18_19:58:03.947169263 | CPU: 5
2025-11-18_19:58:04.043525699 | CPU: 3
2025-11-18_19:58:04.133504453 | CPU: 3
2025-11-18_19:58:04.228041929 | CPU: 3
2025-11-18_19:58:04.319171064 | CPU: 2
2025-11-18_19:58:04.413447826 | CPU: 5
2025-11-18_19:58:04.508927569 | CPU: 2
2025-11-18_19:58:04.604643256 | CPU: 2
2025-11-18_19:58:04.701638389 | CPU: 5
2025-11-18_19:58:04.795057811 | CPU: 5
2025-11-18_19:58:04.963199918 | CPU: 3
2025-11-18_19:58:05.059001954 | CPU: 48
2025-11-18_19:58:05.150905416 | CPU: 3
2025-11-18_19:58:05.251214797 | CPU: 3
2025-11-18_19:58:05.347301991 | CPU: 4
2025-11-18_19:58:05.444467931 | CPU: 6
2025-11-18_19:58:05.534426946 | CPU: 4
2025-11-18_19:58:05.631668916 | CPU: 2
2025-11-18_19:58:05.725729839 | CPU: 3
2025-11-18_19:58:05.818177498 | CPU: 4
2025-11-18_19:58:05.916062478 | CPU: 3
2025-11-18_19:58:06.014086776 | CPU: 1
2025-11-18_19:58:06.106992831 | CPU: 1
2025-11-18_19:58:06.199565829 | CPU: 4
2025-11-18_19:58:06.290816375 | CPU: 3
2025-11-18_19:58:06.384109310 | CPU: 3
2025-11-18_19:58:06.477986291 | CPU: 3
2025-11-18_19:58:06.578124730 | CPU: 2
2025-11-18_19:58:06.673296971 | CPU: 4
2025-11-18_19:58:06.769689628 | CPU: 1
2025-11-18_19:58:06.863728011 | CPU: 1
2025-11-18_19:58:06.955245738 | CPU: 4
2025-11-18_19:58:07.050361229 | CPU: 3
2025-11-18_19:58:07.148410204 | CPU: 4
2025-11-18_19:58:07.239428028 | CPU: 4
2025-11-18_19:58:07.337834465 | CPU: 0
2025-11-18_19:58:07.443216806 | CPU: 2
2025-11-18_19:58:07.534232063 | CPU: 3
2025-11-18_19:58:07.635945442 | CPU: 1
