2025-11-18_18:37:25.381924949 | CPU: 1
2025-11-18_18:37:25.483603900 | CPU: 0
2025-11-18_18:37:25.585094277 | CPU: 2
2025-11-18_18:37:25.692874276 | CPU: 0
2025-11-18_18:37:25.787991248 | CPU: 0
2025-11-18_18:37:25.880875944 | CPU: 0
2025-11-18_18:37:25.980507891 | CPU: 2
2025-11-18_18:37:26.087159207 | CPU: 2
2025-11-18_18:37:26.200660872 | CPU: 0
2025-11-18_18:37:26.309937402 | CPU: 2
2025-11-18_18:37:26.404823766 | CPU: 2
2025-11-18_18:37:26.498991828 | CPU: 2
2025-11-18_18:37:26.678323522 | CPU: 0
2025-11-18_18:37:26.786281298 | CPU: 0
2025-11-18_18:37:26.883409553 | CPU: 1
2025-11-18_18:37:26.982991966 | CPU: 0
2025-11-18_18:37:27.074845372 | CPU: 1
2025-11-18_18:37:27.165371308 | CPU: 3
2025-11-18_18:37:27.263861911 | CPU: 0
2025-11-18_18:37:27.360098229 | CPU: 3
2025-11-18_18:37:27.454389090 | CPU: 4
2025-11-18_18:37:27.549007242 | CPU: 3
2025-11-18_18:37:27.647532511 | CPU: 2
2025-11-18_18:37:27.758795233 | CPU: 2
2025-11-18_18:37:27.880643099 | CPU: 62
2025-11-18_18:37:27.976192541 | CPU: 1
2025-11-18_18:37:28.070550998 | CPU: 2
2025-11-18_18:37:28.169744368 | CPU: 3
2025-11-18_18:37:28.263219597 | CPU: 3
2025-11-18_18:37:28.359284636 | CPU: 3
2025-11-18_18:37:28.457410806 | CPU: 4
2025-11-18_18:37:28.554537148 | CPU: 4
2025-11-18_18:37:28.647336417 | CPU: 4
2025-11-18_18:37:28.741013756 | CPU: 4
2025-11-18_18:37:28.839154682 | CPU: 3
2025-11-18_18:37:28.932171906 | CPU: 5
2025-11-18_18:37:29.026188615 | CPU: 3
2025-11-18_18:37:29.126297206 | CPU: 3
2025-11-18_18:37:29.222505810 | CPU: 4
2025-11-18_18:37:29.317738210 | CPU: 3
2025-11-18_18:37:29.418752945 | CPU: 4
2025-11-18_18:37:29.511891614 | CPU: 3
2025-11-18_18:37:29.607662656 | CPU: 4
2025-11-18_18:37:29.706656023 | CPU: 3
2025-11-18_18:37:29.805225138 | CPU: 2
2025-11-18_18:37:29.903643681 | CPU: 4
2025-11-18_18:37:29.995833180 | CPU: 2
2025-11-18_18:37:30.088525162 | CPU: 3
2025-11-18_18:37:30.180527206 | CPU: 4
2025-11-18_18:37:30.281017357 | CPU: 4
2025-11-18_18:37:30.379312446 | CPU: 2
2025-11-18_18:37:30.512091077 | CPU: 63
2025-11-18_18:37:30.610039414 | CPU: 4
2025-11-18_18:37:30.705787539 | CPU: 5
2025-11-18_18:37:30.800266599 | CPU: 2
2025-11-18_18:37:30.895192954 | CPU: 2
2025-11-18_18:37:30.990046652 | CPU: 3
2025-11-18_18:37:31.085607858 | CPU: 3
2025-11-18_18:37:31.182979414 | CPU: 3
2025-11-18_18:37:31.281607721 | CPU: 3
2025-11-18_18:37:31.383676478 | CPU: 4
2025-11-18_18:37:31.480895917 | CPU: 5
2025-11-18_18:37:31.580063223 | CPU: 3
2025-11-18_18:37:31.679181261 | CPU: 1
2025-11-18_18:37:31.774086513 | CPU: 1
2025-11-18_18:37:31.882369335 | CPU: 3
2025-11-18_18:37:31.980852133 | CPU: 3
2025-11-18_18:37:32.076227992 | CPU: 2
2025-11-18_18:37:32.173641238 | CPU: 1
2025-11-18_18:37:32.270651833 | CPU: 3
2025-11-18_18:37:32.367464971 | CPU: 3
2025-11-18_18:37:32.468118697 | CPU: 1
2025-11-18_18:37:32.562522269 | CPU: 2
2025-11-18_18:37:32.650480071 | CPU: 1
2025-11-18_18:37:32.743600819 | CPU: 5
2025-11-18_18:37:32.839960374 | CPU: 4
2025-11-18_18:37:32.945210254 | CPU: 4
2025-11-18_18:37:33.044415307 | CPU: 1
2025-11-18_18:37:33.134248570 | CPU: 2
2025-11-18_18:37:33.236808375 | CPU: 1
2025-11-18_18:37:33.339036087 | CPU: 1
2025-11-18_18:37:33.429863017 | CPU: 1
2025-11-18_18:37:33.525924258 | CPU: 1
2025-11-18_18:37:33.629319561 | CPU: 0
2025-11-18_18:37:33.719646069 | CPU: 2
2025-11-18_18:37:33.814311723 | CPU: 0
2025-11-18_18:37:33.904983632 | CPU: 2
2025-11-18_18:37:34.006696955 | CPU: 0
2025-11-18_18:37:34.107740978 | CPU: 1
2025-11-18_18:37:34.211399337 | CPU: 2
2025-11-18_18:37:34.301384613 | CPU: 1
2025-11-18_18:37:34.404395016 | CPU: 3
2025-11-18_18:37:34.495622799 | CPU: 1
2025-11-18_18:37:34.598545080 | CPU: 1
2025-11-18_18:37:34.703538063 | CPU: 2
2025-11-18_18:37:34.803734968 | CPU: 1
2025-11-18_18:37:34.903276200 | CPU: 0
2025-11-18_18:37:34.998653603 | CPU: 1
2025-11-18_18:37:35.097600386 | CPU: 1
2025-11-18_18:37:35.191921994 | CPU: 1
2025-11-18_18:37:35.288868241 | CPU: 0
2025-11-18_18:37:35.390977314 | CPU: 2
2025-11-18_18:37:35.486199322 | CPU: 2
2025-11-18_18:37:35.585135312 | CPU: 3
2025-11-18_18:37:35.681386060 | CPU: 1
2025-11-18_18:37:35.775330162 | CPU: 1
2025-11-18_18:37:35.874718796 | CPU: 1
2025-11-18_18:37:35.974716112 | CPU: 1
2025-11-18_18:37:36.074338723 | CPU: 2
2025-11-18_18:37:36.165670640 | CPU: 2
2025-11-18_18:37:36.257669831 | CPU: 1
2025-11-18_18:37:36.353871970 | CPU: 0
2025-11-18_18:37:36.450524466 | CPU: 1
2025-11-18_18:37:36.545363633 | CPU: 1
2025-11-18_18:37:36.647306033 | CPU: 1
2025-11-18_18:37:36.848594618 | CPU: 1
2025-11-18_18:37:36.956074736 | CPU: 0
2025-11-18_18:37:37.057139278 | CPU: 1
2025-11-18_18:37:37.150443422 | CPU: 1
2025-11-18_18:37:37.243129889 | CPU: 1
2025-11-18_18:37:37.344045736 | CPU: 1
2025-11-18_18:37:37.451188449 | CPU: 1
2025-11-18_18:37:37.555643620 | CPU: 4
2025-11-18_18:37:37.662112076 | CPU: 4
2025-11-18_18:37:37.771257496 | CPU: 5
2025-11-18_18:37:37.876028833 | CPU: 2
2025-11-18_18:37:37.981037715 | CPU: 3
2025-11-18_18:37:38.089027403 | CPU: 1
2025-11-18_18:37:38.191408349 | CPU: 2
2025-11-18_18:37:38.309576546 | CPU: 4
2025-11-18_18:37:38.414589950 | CPU: 3
2025-11-18_18:37:38.518958160 | CPU: 3
