2025-11-18_20:08:48.911140425 | CPU: 0
2025-11-18_20:08:49.007714088 | CPU: 2
2025-11-18_20:08:49.101827596 | CPU: 2
2025-11-18_20:08:49.193424784 | CPU: 1
2025-11-18_20:08:49.292274021 | CPU: 1
2025-11-18_20:08:49.393333373 | CPU: 2
2025-11-18_20:08:49.489929353 | CPU: 1
2025-11-18_20:08:49.596761580 | CPU: 1
2025-11-18_20:08:49.694733643 | CPU: 0
2025-11-18_20:08:49.790895596 | CPU: 1
2025-11-18_20:08:49.881010501 | CPU: 3
2025-11-18_20:08:50.000308834 | CPU: 0
2025-11-18_20:08:50.104261890 | CPU: 2
2025-11-18_20:08:50.210291922 | CPU: 0
2025-11-18_20:08:50.306334160 | CPU: 2
2025-11-18_20:08:50.411043890 | CPU: 1
2025-11-18_20:08:50.506628313 | CPU: 1
2025-11-18_20:08:50.597517937 | CPU: 3
2025-11-18_20:08:50.705040126 | CPU: 0
2025-11-18_20:08:50.831921608 | CPU: 1
2025-11-18_20:08:50.925574676 | CPU: 1
2025-11-18_20:08:51.020402595 | CPU: 3
2025-11-18_20:08:51.116281545 | CPU: 2
2025-11-18_20:08:51.211759022 | CPU: 4
2025-11-18_20:08:51.368011916 | CPU: 12
2025-11-18_20:08:51.458878028 | CPU: 45
2025-11-18_20:08:51.553298856 | CPU: 3
2025-11-18_20:08:51.664291212 | CPU: 4
2025-11-18_20:08:51.769786978 | CPU: 1
2025-11-18_20:08:51.867005000 | CPU: 5
2025-11-18_20:08:51.958181876 | CPU: 3
2025-11-18_20:08:52.050200824 | CPU: 3
2025-11-18_20:08:52.141676586 | CPU: 3
2025-11-18_20:08:52.234332924 | CPU: 6
2025-11-18_20:08:52.328498275 | CPU: 3
2025-11-18_20:08:52.424279919 | CPU: 2
2025-11-18_20:08:52.523136094 | CPU: 5
2025-11-18_20:08:52.617079570 | CPU: 4
2025-11-18_20:08:52.715379393 | CPU: 4
2025-11-18_20:08:52.806807816 | CPU: 3
2025-11-18_20:08:52.903745159 | CPU: 2
2025-11-18_20:08:52.996249411 | CPU: 2
2025-11-18_20:08:53.099377150 | CPU: 3
2025-11-18_20:08:53.195268912 | CPU: 4
2025-11-18_20:08:53.290208896 | CPU: 5
2025-11-18_20:08:53.380346545 | CPU: 3
2025-11-18_20:08:53.473871286 | CPU: 5
2025-11-18_20:08:53.597613918 | CPU: 4
2025-11-18_20:08:53.700314455 | CPU: 63
2025-11-18_20:08:53.796723048 | CPU: 3
2025-11-18_20:08:53.891984751 | CPU: 4
2025-11-18_20:08:53.984437466 | CPU: 5
2025-11-18_20:08:54.081313075 | CPU: 3
2025-11-18_20:08:54.174776306 | CPU: 3
2025-11-18_20:08:54.270171973 | CPU: 3
2025-11-18_20:08:54.363662259 | CPU: 4
2025-11-18_20:08:54.458630401 | CPU: 3
2025-11-18_20:08:54.555654119 | CPU: 6
2025-11-18_20:08:54.652580607 | CPU: 4
2025-11-18_20:08:54.746826794 | CPU: 2
2025-11-18_20:08:54.841653385 | CPU: 4
2025-11-18_20:08:54.938838474 | CPU: 2
2025-11-18_20:08:55.033032094 | CPU: 2
2025-11-18_20:08:55.140324236 | CPU: 3
2025-11-18_20:08:55.237021058 | CPU: 3
2025-11-18_20:08:55.337408472 | CPU: 2
2025-11-18_20:08:55.433302899 | CPU: 1
2025-11-18_20:08:55.523911817 | CPU: 1
2025-11-18_20:08:55.617977924 | CPU: 4
2025-11-18_20:08:55.715738780 | CPU: 4
2025-11-18_20:08:55.811232328 | CPU: 5
2025-11-18_20:08:55.904780617 | CPU: 2
2025-11-18_20:08:56.002207918 | CPU: 0
2025-11-18_20:08:56.099095174 | CPU: 1
2025-11-18_20:08:56.199856627 | CPU: 1
2025-11-18_20:08:56.291572820 | CPU: 1
2025-11-18_20:08:56.385079979 | CPU: 1
2025-11-18_20:08:56.479535834 | CPU: 1
2025-11-18_20:08:56.568455969 | CPU: 0
2025-11-18_20:08:56.668015549 | CPU: 2
2025-11-18_20:08:56.769015551 | CPU: 1
2025-11-18_20:08:56.868079002 | CPU: 2
2025-11-18_20:08:56.962460832 | CPU: 1
2025-11-18_20:08:57.066840879 | CPU: 1
2025-11-18_20:08:57.172372703 | CPU: 2
2025-11-18_20:08:57.271431671 | CPU: 2
2025-11-18_20:08:57.363365030 | CPU: 1
2025-11-18_20:08:57.474338791 | CPU: 1
2025-11-18_20:08:57.570640913 | CPU: 2
2025-11-18_20:08:57.670900020 | CPU: 1
2025-11-18_20:08:57.766643976 | CPU: 1
2025-11-18_20:08:57.866132241 | CPU: 2
2025-11-18_20:08:57.962287821 | CPU: 1
2025-11-18_20:08:58.061892295 | CPU: 1
2025-11-18_20:08:58.157615557 | CPU: 1
2025-11-18_20:08:58.255763109 | CPU: 1
2025-11-18_20:08:58.350887289 | CPU: 0
2025-11-18_20:08:58.440098197 | CPU: 1
2025-11-18_20:08:58.539339672 | CPU: 2
2025-11-18_20:08:58.642727891 | CPU: 2
2025-11-18_20:08:58.732681899 | CPU: 1
2025-11-18_20:08:58.835057296 | CPU: 2
2025-11-18_20:08:58.937789315 | CPU: 1
2025-11-18_20:08:59.044635859 | CPU: 1
2025-11-18_20:08:59.144602404 | CPU: 0
2025-11-18_20:08:59.248899973 | CPU: 1
2025-11-18_20:08:59.339650195 | CPU: 0
2025-11-18_20:08:59.440165238 | CPU: 1
2025-11-18_20:08:59.538776879 | CPU: 1
2025-11-18_20:08:59.660452202 | CPU: 1
2025-11-18_20:08:59.774885717 | CPU: 2
2025-11-18_20:08:59.894991022 | CPU: 5
2025-11-18_20:09:00.005871097 | CPU: 4
2025-11-18_20:09:00.117487783 | CPU: 2
2025-11-18_20:09:00.230296603 | CPU: 3
2025-11-18_20:09:00.340751477 | CPU: 5
2025-11-18_20:09:00.454687545 | CPU: 5
2025-11-18_20:09:00.565802206 | CPU: 4
2025-11-18_20:09:00.676307568 | CPU: 5
2025-11-18_20:09:00.785864340 | CPU: 6
2025-11-18_20:09:00.884548438 | CPU: 2
2025-11-18_20:09:00.984758984 | CPU: 2
2025-11-18_20:09:01.081446196 | CPU: 2
2025-11-18_20:09:01.181793635 | CPU: 2
2025-11-18_20:09:01.284031134 | CPU: 1
2025-11-18_20:09:01.381095584 | CPU: 1
2025-11-18_20:09:01.480095578 | CPU: 1
2025-11-18_20:09:01.577559048 | CPU: 1
2025-11-18_20:09:01.671467736 | CPU: 2
2025-11-18_20:09:01.853427904 | CPU: 1
2025-11-18_20:09:01.951396413 | CPU: 0
2025-11-18_20:09:02.047300063 | CPU: 1
2025-11-18_20:09:02.149402232 | CPU: 1
2025-11-18_20:09:02.243510365 | CPU: 5
2025-11-18_20:09:02.337948089 | CPU: 4
2025-11-18_20:09:02.468934055 | CPU: 7
2025-11-18_20:09:02.582259067 | CPU: 27
2025-11-18_20:09:02.732561119 | CPU: 1
2025-11-18_20:09:02.961484969 | CPU: 2
2025-11-18_20:09:03.196855443 | CPU: 0
2025-11-18_20:09:03.364682767 | CPU: 1
2025-11-18_20:09:03.554625271 | CPU: 0
2025-11-18_20:09:03.657699668 | CPU: 0
2025-11-18_20:09:03.756382380 | CPU: 0
2025-11-18_20:09:03.859229710 | CPU: 2
2025-11-18_20:09:03.962602497 | CPU: 2
2025-11-18_20:09:04.060936722 | CPU: 3
2025-11-18_20:09:04.161114572 | CPU: 1
2025-11-18_20:09:04.264274579 | CPU: 1
2025-11-18_20:09:04.371639844 | CPU: 2
2025-11-18_20:09:04.472415034 | CPU: 2
2025-11-18_20:09:04.575057585 | CPU: 1
2025-11-18_20:09:04.675355723 | CPU: 3
2025-11-18_20:09:04.775014841 | CPU: 2
2025-11-18_20:09:04.876602530 | CPU: 1
2025-11-18_20:09:04.977044661 | CPU: 2
2025-11-18_20:09:05.078860317 | CPU: 2
2025-11-18_20:09:05.180437203 | CPU: 1
2025-11-18_20:09:05.289073960 | CPU: 2
2025-11-18_20:09:05.392713775 | CPU: 2
2025-11-18_20:09:05.494991658 | CPU: 4
2025-11-18_20:09:05.603226528 | CPU: 5
2025-11-18_20:09:05.712337892 | CPU: 1
2025-11-18_20:09:05.823136083 | CPU: 4
2025-11-18_20:09:05.929153380 | CPU: 5
2025-11-18_20:09:06.030341756 | CPU: 3
2025-11-18_20:09:06.129523960 | CPU: 1
2025-11-18_20:09:06.231712001 | CPU: 2
2025-11-18_20:09:06.331796990 | CPU: 3
2025-11-18_20:09:06.424829263 | CPU: 1
2025-11-18_20:09:06.520491818 | CPU: 3
2025-11-18_20:09:06.619357197 | CPU: 0
2025-11-18_20:09:06.714624324 | CPU: 0
2025-11-18_20:09:06.813417437 | CPU: 1
2025-11-18_20:09:06.911360472 | CPU: 2
2025-11-18_20:09:07.005455485 | CPU: 1
2025-11-18_20:09:07.099859982 | CPU: 0
2025-11-18_20:09:07.197125252 | CPU: 2
2025-11-18_20:09:07.293371509 | CPU: 0
2025-11-18_20:09:07.392677663 | CPU: 1
2025-11-18_20:09:07.490885293 | CPU: 0
2025-11-18_20:09:07.584625881 | CPU: 3
2025-11-18_20:09:07.677847512 | CPU: 1
2025-11-18_20:09:07.775318785 | CPU: 0
2025-11-18_20:09:07.870483452 | CPU: 0
2025-11-18_20:09:07.967952944 | CPU: 1
2025-11-18_20:09:08.068367991 | CPU: 1
2025-11-18_20:09:08.164890106 | CPU: 1
2025-11-18_20:09:08.259967750 | CPU: 2
2025-11-18_20:09:08.361418159 | CPU: 1
2025-11-18_20:09:08.455722116 | CPU: 2
2025-11-18_20:09:08.549787904 | CPU: 1
2025-11-18_20:09:08.649042470 | CPU: 1
2025-11-18_20:09:08.743567274 | CPU: 2
2025-11-18_20:09:08.838538432 | CPU: 1
2025-11-18_20:09:08.937258883 | CPU: 1
2025-11-18_20:09:09.032179248 | CPU: 1
2025-11-18_20:09:09.129703856 | CPU: 2
2025-11-18_20:09:09.226948641 | CPU: 1
2025-11-18_20:09:09.324816871 | CPU: 0
2025-11-18_20:09:09.419865525 | CPU: 0
2025-11-18_20:09:09.517869559 | CPU: 1
2025-11-18_20:09:09.612497540 | CPU: 1
2025-11-18_20:09:09.712308550 | CPU: 1
2025-11-18_20:09:09.811574303 | CPU: 2
2025-11-18_20:09:09.905778067 | CPU: 1
2025-11-18_20:09:10.000134127 | CPU: 1
2025-11-18_20:09:10.096128360 | CPU: 1
2025-11-18_20:09:10.190108609 | CPU: 2
2025-11-18_20:09:10.285225748 | CPU: 1
2025-11-18_20:09:10.385051128 | CPU: 1
2025-11-18_20:09:10.479742057 | CPU: 1
2025-11-18_20:09:10.575393448 | CPU: 2
2025-11-18_20:09:10.674681356 | CPU: 1
2025-11-18_20:09:10.773650001 | CPU: 1
2025-11-18_20:09:10.935393335 | CPU: 2
2025-11-18_20:09:11.079937155 | CPU: 2
2025-11-18_20:09:11.179119295 | CPU: 0
2025-11-18_20:09:11.276891921 | CPU: 1
2025-11-18_20:09:11.371555916 | CPU: 0
2025-11-18_20:09:11.468237716 | CPU: 2
2025-11-18_20:09:11.566870235 | CPU: 0
2025-11-18_20:09:11.661614468 | CPU: 3
2025-11-18_20:09:11.755137979 | CPU: 1
2025-11-18_20:09:11.853165636 | CPU: 2
2025-11-18_20:09:12.048416378 | CPU: 1
2025-11-18_20:09:12.145357178 | CPU: 0
2025-11-18_20:09:12.239010241 | CPU: 2
2025-11-18_20:09:12.332239413 | CPU: 1
2025-11-18_20:09:12.426503904 | CPU: 1
2025-11-18_20:09:12.527697094 | CPU: 1
2025-11-18_20:09:12.639707031 | CPU: 2
2025-11-18_20:09:12.737584643 | CPU: 2
2025-11-18_20:09:12.831830692 | CPU: 1
2025-11-18_20:09:12.926951481 | CPU: 2
2025-11-18_20:09:13.024252599 | CPU: 1
2025-11-18_20:09:13.119330226 | CPU: 1
2025-11-18_20:09:13.215464322 | CPU: 2
2025-11-18_20:09:13.315393305 | CPU: 2
2025-11-18_20:09:13.411680269 | CPU: 3
2025-11-18_20:09:13.504834359 | CPU: 1
2025-11-18_20:09:13.599084735 | CPU: 1
2025-11-18_20:09:13.697575978 | CPU: 1
2025-11-18_20:09:13.793261808 | CPU: 0
2025-11-18_20:09:13.898847273 | CPU: 0
2025-11-18_20:09:13.992658288 | CPU: 1
2025-11-18_20:09:14.088110772 | CPU: 1
2025-11-18_20:09:14.188553324 | CPU: 1
2025-11-18_20:09:14.286595600 | CPU: 2
2025-11-18_20:09:14.381850775 | CPU: 1
2025-11-18_20:09:14.487865371 | CPU: 2
2025-11-18_20:09:14.581822447 | CPU: 1
2025-11-18_20:09:14.678542674 | CPU: 3
2025-11-18_20:09:14.774598541 | CPU: 1
2025-11-18_20:09:14.869083046 | CPU: 2
2025-11-18_20:09:14.968876024 | CPU: 1
2025-11-18_20:09:15.070753168 | CPU: 1
2025-11-18_20:09:15.165181778 | CPU: 3
2025-11-18_20:09:15.261373121 | CPU: 1
2025-11-18_20:09:15.357596862 | CPU: 3
2025-11-18_20:09:15.452669905 | CPU: 0
2025-11-18_20:09:15.550460852 | CPU: 1
2025-11-18_20:09:15.650648111 | CPU: 0
2025-11-18_20:09:15.744416310 | CPU: 2
2025-11-18_20:09:15.838858473 | CPU: 1
2025-11-18_20:09:15.937678039 | CPU: 0
2025-11-18_20:09:16.033354859 | CPU: 1
2025-11-18_20:09:16.132913643 | CPU: 0
2025-11-18_20:09:16.233272270 | CPU: 0
2025-11-18_20:09:16.327788398 | CPU: 1
2025-11-18_20:09:16.422860503 | CPU: 1
2025-11-18_20:09:16.519207848 | CPU: 2
2025-11-18_20:09:16.612511175 | CPU: 2
2025-11-18_20:09:16.713082195 | CPU: 1
2025-11-18_20:09:16.813177525 | CPU: 1
2025-11-18_20:09:16.907111082 | CPU: 3
2025-11-18_20:09:17.002708892 | CPU: 1
2025-11-18_20:09:17.108292446 | CPU: 1
2025-11-18_20:09:17.218599966 | CPU: 1
2025-11-18_20:09:17.318239843 | CPU: 0
2025-11-18_20:09:17.416824624 | CPU: 1
2025-11-18_20:09:17.511543864 | CPU: 1
2025-11-18_20:09:17.606271834 | CPU: 2
2025-11-18_20:09:17.703741944 | CPU: 2
2025-11-18_20:09:17.801474918 | CPU: 1
2025-11-18_20:09:17.896422722 | CPU: 1
2025-11-18_20:09:18.000656777 | CPU: 1
2025-11-18_20:09:18.094673691 | CPU: 1
2025-11-18_20:09:18.189791570 | CPU: 0
2025-11-18_20:09:18.285031979 | CPU: 0
2025-11-18_20:09:18.383748255 | CPU: 3
2025-11-18_20:09:18.479137473 | CPU: 1
2025-11-18_20:09:18.588687026 | CPU: 1
2025-11-18_20:09:18.683621082 | CPU: 2
2025-11-18_20:09:18.778459123 | CPU: 1
2025-11-18_20:09:18.876109007 | CPU: 0
2025-11-18_20:09:18.971876324 | CPU: 1
2025-11-18_20:09:19.069911071 | CPU: 1
2025-11-18_20:09:19.169394271 | CPU: 1
2025-11-18_20:09:19.264855429 | CPU: 2
2025-11-18_20:09:19.360715515 | CPU: 1
2025-11-18_20:09:19.454057652 | CPU: 1
2025-11-18_20:09:19.550808086 | CPU: 1
2025-11-18_20:09:19.649495477 | CPU: 1
2025-11-18_20:09:19.751373849 | CPU: 0
2025-11-18_20:09:19.845276960 | CPU: 1
2025-11-18_20:09:19.939993876 | CPU: 1
2025-11-18_20:09:20.036572501 | CPU: 1
2025-11-18_20:09:20.132188088 | CPU: 2
2025-11-18_20:09:20.232637833 | CPU: 1
2025-11-18_20:09:20.332414543 | CPU: 2
2025-11-18_20:09:20.426914755 | CPU: 1
2025-11-18_20:09:20.520546137 | CPU: 1
2025-11-18_20:09:20.623029192 | CPU: 0
2025-11-18_20:09:20.740621076 | CPU: 0
2025-11-18_20:09:20.853187603 | CPU: 0
2025-11-18_20:09:20.951872367 | CPU: 0
2025-11-18_20:09:21.050689601 | CPU: 2
2025-11-18_20:09:21.145014279 | CPU: 1
2025-11-18_20:09:21.242841368 | CPU: 2
2025-11-18_20:09:21.336978135 | CPU: 1
2025-11-18_20:09:21.434008192 | CPU: 2
2025-11-18_20:09:21.534678336 | CPU: 1
2025-11-18_20:09:21.629038236 | CPU: 2
2025-11-18_20:09:21.725846347 | CPU: 1
2025-11-18_20:09:21.826073450 | CPU: 1
2025-11-18_20:09:21.921082612 | CPU: 0
2025-11-18_20:09:22.021049974 | CPU: 1
2025-11-18_20:09:22.157427313 | CPU: 0
2025-11-18_20:09:22.259058216 | CPU: 2
2025-11-18_20:09:22.353163661 | CPU: 1
