time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2025-11-18 15:10:45.553216,1:48:46.090000,9,8,8,8,7,8,0.3020840542398531,0.3528323746834405,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.562,-256,-256,-256,46.875,46.468,45.406,45.187,46.875,1076,1198,4592,OFF,25W
2025-11-18 15:10:45.553823,1:48:46.090000,9,8,8,8,7,8,0.3020840542398531,0.3528323746834405,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.562,-256,-256,-256,46.875,46.468,45.406,45.187,46.875,1076,1198,4592,OFF,25W
2025-11-18 15:10:46.545349,1:48:47.090000,28,44,43,36,58,66,0.304600114114696,0.35079819138137863,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.718,-256,-256,-256,46.937,46.468,45.468,45.156,46.75,761,1201,4326,OFF,25W
2025-11-18 15:10:47.543748,1:48:48.090000,25,19,53,42,19,40,0.30538035925110824,0.34994514677083655,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.906,-256,-256,-256,46.75,46.375,45.406,45.125,46.75,801,1161,4293,OFF,25W
2025-11-18 15:10:48.544500,1:48:49.090000,14,15,71,39,9,9,0.30693264720975216,0.34915772097649,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.968,-256,-256,-256,46.812,46.375,45.468,45.25,46.812,682,1163,4213,OFF,25W
2025-11-18 15:10:49.540286,1:48:50.090000,8,3,8,97,3,2,0.31579012123533,0.34915772097649,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.031,-256,-256,-256,46.937,46.468,45.625,45.125,46.812,838,1200,4320,OFF,25W
2025-11-18 15:10:50.542744,1:48:51.090000,10,53,49,10,3,3,0.3185153401217736,0.34915772097649,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.0,-256,-256,-256,46.812,46.468,45.562,45.125,46.812,878,1198,4353,OFF,25W
2025-11-18 15:10:51.533629,1:48:52.090000,14,44,61,5,4,0,0.3204710794091668,0.34909210216029446,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.156,-256,-256,-256,46.843,46.5,45.406,45.218,46.843,996,1196,4425,OFF,25W
2025-11-18 15:10:52.536015,1:48:53.090000,7,100,2,7,8,6,0.32228174026449385,0.34850153281453455,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.25,-256,-256,-256,47.187,46.593,45.406,45.156,47.187,996,1196,4432,OFF,25W
2025-11-18 15:10:53.546747,1:48:54.100000,6,19,7,5,39,47,0.3247834460895211,0.348435913998339,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.125,-256,-256,-256,47.25,46.437,45.468,45.187,46.906,878,1200,4360,OFF,25W
2025-11-18 15:10:54.549382,1:48:55.100000,8,25,15,5,66,2,0.32674226124473194,0.348435913998339,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.812,-256,-256,-256,46.75,46.531,45.5,45.218,46.75,877,1198,4392,OFF,25W
2025-11-18 15:10:55.551888,1:48:56.100000,7,6,9,6,7,100,0.32923576475557875,0.34804220110116574,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.781,-256,-256,-256,46.875,46.375,45.5,45.312,46.875,995,1196,4505,OFF,25W
2025-11-18 15:10:56.548415,1:48:57.100000,9,4,3,5,21,84,0.3307680595734079,0.3479765822849702,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.093,-256,-256,-256,46.843,46.5,45.468,45.187,46.843,917,1198,4392,OFF,25W
2025-11-18 15:10:57.550444,1:48:58.100000,6,7,51,2,27,25,0.33084803213666697,0.34738601293921034,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.875,-256,-256,-256,46.843,46.593,45.406,45.125,46.843,722,1163,4179,OFF,25W
2025-11-18 15:10:58.552147,1:48:59.100000,6,6,3,4,10,93,0.33107923486762747,0.34738601293921034,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.812,-256,-256,-256,46.781,46.593,45.468,45.281,46.781,683,1165,4106,OFF,25W
2025-11-18 15:10:59.552112,1:49:00.100000,5,4,4,4,5,100,0.33128993181313693,0.34738601293921034,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.843,-256,-256,-256,47.0,46.593,45.625,45.25,47.0,918,1158,4320,OFF,25W
2025-11-18 15:11:00.557609,1:49:01.100000,5,4,5,5,12,91,0.33161084735544577,0.34738601293921034,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.906,-256,-256,-256,47.062,46.531,45.5,45.281,47.062,958,1158,4353,OFF,25W
2025-11-18 15:11:01.551393,1:49:02.100000,14,39,60,10,10,20,0.33342304614468166,0.34738601293921034,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.093,-256,-256,-256,46.906,46.593,45.406,45.218,46.906,878,1198,4360,OFF,25W
2025-11-18 15:11:02.555831,1:49:03.100000,13,30,88,7,26,2,0.33799173514317393,0.34725477530681925,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.406,-256,-256,-256,46.937,46.562,45.437,45.375,46.937,1154,1196,4704,OFF,25W
2025-11-18 15:11:03.554173,1:49:04.100000,36,47,43,14,45,17,0.33838390828992515,0.34725477530681925,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.031,-256,-256,-256,46.875,46.656,45.437,45.281,46.906,1114,1194,4704,OFF,25W
2025-11-18 15:11:04.553243,1:49:05.110000,7,3,2,5,13,92,0.3412649711457966,0.3471891564906237,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,45.937,-256,-256,-256,46.968,46.562,45.531,45.343,46.843,955,1196,4465,OFF,25W
2025-11-18 15:11:05.564407,1:49:06.110000,5,4,2,4,37,66,0.3428874914196104,0.3471891564906237,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.062,-256,-256,-256,46.875,46.5,45.5,45.281,46.875,956,1196,4385,OFF,25W
2025-11-18 15:11:06.566245,1:49:07.110000,8,4,7,3,8,94,0.34416961565493687,0.3471891564906237,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.093,-256,-256,-256,47.062,46.625,45.562,45.218,46.875,877,1196,4353,OFF,25W
2025-11-18 15:11:07.565274,1:49:08.110000,8,6,5,10,2,100,0.3454286708816309,0.3471891564906237,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.187,-256,-256,-256,46.875,46.718,45.531,45.187,46.875,917,1196,4432,OFF,25W
2025-11-18 15:11:08.563090,1:49:09.110000,7,4,5,5,49,54,0.34712962578479484,0.34712353767442816,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,23.92156862745098,46.093,-256,-256,-256,47.156,46.593,45.656,45.375,47.156,955,1196,4465,OFF,25W
