time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2025-11-18 16:13:55.400531,2:51:55.950000,36,29,40,43,14,70,0.24602841384161023,0.2874760337526786,0,3.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.625,-256,-256,-256,46.781,46.0,45.187,44.875,46.781,1472,1196,4864,OFF,25W
2025-11-18 16:13:55.401556,2:51:55.950000,36,29,40,43,14,70,0.24602841384161023,0.2874760337526786,0,3.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.625,-256,-256,-256,46.781,46.0,45.187,44.875,46.781,1472,1196,4864,OFF,25W
2025-11-18 16:13:56.403794,2:51:56.950000,18,18,15,16,13,100,0.2555400224230764,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.593,-256,-256,-256,46.687,46.125,44.937,44.687,46.687,1116,1196,4512,OFF,25W
2025-11-18 16:13:57.401268,2:51:57.950000,15,19,18,15,6,100,0.25989750183142296,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.437,-256,-256,-256,46.343,46.031,45.312,44.812,46.5,1116,1196,4512,OFF,25W
2025-11-18 16:13:58.404357,2:51:58.950000,9,9,5,8,7,100,0.2619321883928027,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.468,-256,-256,-256,46.406,46.062,45.156,44.843,46.375,1116,1196,4425,OFF,25W
2025-11-18 16:13:59.407929,2:51:59.950000,4,6,4,7,7,100,0.26467688777542475,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.5,-256,-256,-256,46.531,46.031,45.156,44.812,46.531,1076,1196,4392,OFF,25W
2025-11-18 16:14:00.405674,2:52:00.950000,6,5,6,7,5,100,0.26758358286311,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.5,-256,-256,-256,46.5,45.937,45.093,44.75,46.375,1036,1196,4392,OFF,25W
2025-11-18 16:14:01.406689,2:52:01.950000,6,8,5,6,6,100,0.27065688745758504,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.468,-256,-256,-256,46.406,46.0,45.125,44.718,46.406,1074,1196,4465,OFF,25W
2025-11-18 16:14:02.405770,2:52:02.960000,8,14,6,12,4,100,0.2707286577066637,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.718,-256,-256,-256,46.625,46.062,45.062,44.718,46.625,1116,1196,4432,OFF,25W
2025-11-18 16:14:03.406535,2:52:03.960000,8,7,4,6,9,100,0.27095473399126146,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.625,-256,-256,-256,46.468,46.031,45.0,44.656,46.468,1116,1196,4392,OFF,25W
2025-11-18 16:14:04.409586,2:52:04.960000,14,11,13,10,13,100,0.27302171716472656,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.718,-256,-256,-256,46.375,46.218,45.093,44.843,46.375,1156,1196,4465,OFF,25W
2025-11-18 16:14:05.413034,2:52:05.960000,8,4,6,12,4,100,0.276186785149095,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.531,-256,-256,-256,46.468,46.187,45.281,44.875,46.468,1036,1198,4392,OFF,25W
2025-11-18 16:14:06.409508,2:52:06.960000,12,10,3,5,6,100,0.27944771768044707,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.5,-256,-256,-256,46.75,46.156,45.281,44.937,46.75,1036,1196,4392,OFF,25W
2025-11-18 16:14:07.411887,2:52:07.960000,9,11,6,9,2,100,0.28193455681102225,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.5,-256,-256,-256,46.562,46.062,45.25,44.906,46.562,1076,1196,4392,OFF,25W
2025-11-18 16:14:08.415013,2:52:08.960000,9,9,5,6,3,100,0.28325871790652335,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.531,-256,-256,-256,46.437,46.125,45.156,44.906,46.625,918,1200,4320,OFF,25W
2025-11-18 16:14:09.416482,2:52:09.960000,8,4,7,11,1,100,0.2854871841404154,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.468,-256,-256,-256,46.593,46.125,45.187,44.937,46.406,1076,1196,4385,OFF,25W
2025-11-18 16:14:10.415707,2:52:10.960000,8,6,10,4,1,100,0.28835645616965255,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.906,-256,-256,-256,46.531,46.125,45.187,44.75,46.531,1076,1196,4385,OFF,25W
2025-11-18 16:14:11.425183,2:52:11.960000,8,7,8,5,2,100,0.29057518215545536,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.593,-256,-256,-256,46.437,46.156,45.187,44.843,46.437,955,1196,4425,OFF,25W
2025-11-18 16:14:12.417226,2:52:12.970000,9,10,9,19,2,57,0.29112422456090703,0.2874760337526786,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,22.745098039215687,45.531,-256,-256,-256,46.593,46.093,45.156,44.812,46.593,722,1163,4012,OFF,25W
