2025-11-20_09:21:10.220286366 | CPU: 1
2025-11-20_09:21:10.388992988 | CPU: 2
2025-11-20_09:21:10.566792655 | CPU: 3
2025-11-20_09:21:10.742416742 | CPU: 3
2025-11-20_09:21:10.916106393 | CPU: 3
2025-11-20_09:21:11.083682172 | CPU: 3
2025-11-20_09:21:11.259077379 | CPU: 4
2025-11-20_09:21:11.431870100 | CPU: 7
2025-11-20_09:21:11.604595278 | CPU: 7
2025-11-20_09:21:11.776690795 | CPU: 4
2025-11-20_09:21:11.949116013 | CPU: 4
2025-11-20_09:21:12.121651890 | CPU: 4
2025-11-20_09:21:12.295204031 | CPU: 5
2025-11-20_09:21:12.472118574 | CPU: 3
2025-11-20_09:21:12.650285947 | CPU: 2
2025-11-20_09:21:12.828400806 | CPU: 3
2025-11-20_09:21:13.006046801 | CPU: 2
2025-11-20_09:21:13.183138298 | CPU: 2
2025-11-20_09:21:13.358882746 | CPU: 4
2025-11-20_09:21:13.531907925 | CPU: 6
2025-11-20_09:21:13.738732028 | CPU: 5
2025-11-20_09:21:13.910814899 | CPU: 52
2025-11-20_09:21:14.082810941 | CPU: 4
2025-11-20_09:21:14.254880428 | CPU: 4
2025-11-20_09:21:14.428429537 | CPU: 4
2025-11-20_09:21:14.600712501 | CPU: 4
2025-11-20_09:21:14.772802207 | CPU: 4
2025-11-20_09:21:14.944581202 | CPU: 4
2025-11-20_09:21:15.117246832 | CPU: 4
2025-11-20_09:21:15.290711688 | CPU: 4
2025-11-20_09:21:15.464508350 | CPU: 5
2025-11-20_09:21:15.627785711 | CPU: 7
2025-11-20_09:21:15.800961093 | CPU: 5
2025-11-20_09:21:15.974141003 | CPU: 4
2025-11-20_09:21:16.146460457 | CPU: 5
2025-11-20_09:21:16.319353327 | CPU: 5
2025-11-20_09:21:16.492338704 | CPU: 4
2025-11-20_09:21:16.661699209 | CPU: 4
2025-11-20_09:21:16.807430163 | CPU: 57
2025-11-20_09:21:16.979933364 | CPU: 5
2025-11-20_09:21:17.151866372 | CPU: 4
2025-11-20_09:21:17.324325103 | CPU: 3
2025-11-20_09:21:17.496732730 | CPU: 3
2025-11-20_09:21:17.669561159 | CPU: 3
2025-11-20_09:21:17.842134137 | CPU: 4
2025-11-20_09:21:18.013896907 | CPU: 4
2025-11-20_09:21:18.186573976 | CPU: 4
2025-11-20_09:21:18.359522283 | CPU: 4
2025-11-20_09:21:18.531866284 | CPU: 4
2025-11-20_09:21:18.704589428 | CPU: 4
2025-11-20_09:21:18.877307426 | CPU: 4
2025-11-20_09:21:19.050613545 | CPU: 5
2025-11-20_09:21:19.223490985 | CPU: 4
2025-11-20_09:21:19.396147221 | CPU: 4
2025-11-20_09:21:19.568591137 | CPU: 5
2025-11-20_09:21:19.741878752 | CPU: 6
2025-11-20_09:21:19.915278373 | CPU: 5
2025-11-20_09:21:20.087191312 | CPU: 5
2025-11-20_09:21:20.259784444 | CPU: 5
2025-11-20_09:21:20.431160933 | CPU: 4
2025-11-20_09:21:20.609378321 | CPU: 3
2025-11-20_09:21:20.785636486 | CPU: 3
2025-11-20_09:21:20.962193485 | CPU: 3
2025-11-20_09:21:21.138782069 | CPU: 2
2025-11-20_09:21:21.312150542 | CPU: 4
2025-11-20_09:21:21.486325207 | CPU: 4
2025-11-20_09:21:21.664016794 | CPU: 4
2025-11-20_09:21:21.839889840 | CPU: 3
2025-11-20_09:21:22.016491315 | CPU: 3
2025-11-20_09:21:22.192679397 | CPU: 4
2025-11-20_09:21:22.370238897 | CPU: 2
2025-11-20_09:21:22.547006376 | CPU: 3
2025-11-20_09:21:22.724577166 | CPU: 3
2025-11-20_09:21:22.902029037 | CPU: 4
2025-11-20_09:21:23.080413397 | CPU: 3
2025-11-20_09:21:23.249803307 | CPU: 3
2025-11-20_09:21:23.423223634 | CPU: 3
2025-11-20_09:21:23.595671302 | CPU: 3
2025-11-20_09:21:23.767959203 | CPU: 6
2025-11-20_09:21:23.941443065 | CPU: 6
2025-11-20_09:21:24.113863192 | CPU: 5
2025-11-20_09:21:24.287136148 | CPU: 4
2025-11-20_09:21:24.461745785 | CPU: 5
2025-11-20_09:21:24.635734899 | CPU: 23
2025-11-20_09:21:24.809822240 | CPU: 14
2025-11-20_09:21:24.982614018 | CPU: 4
2025-11-20_09:21:25.154323220 | CPU: 5
2025-11-20_09:21:25.337196668 | CPU: 8
2025-11-20_09:21:25.559061652 | CPU: 7
2025-11-20_09:21:25.744767076 | CPU: 13
2025-11-20_09:21:25.915416477 | CPU: 40
2025-11-20_09:21:26.091240123 | CPU: 26
2025-11-20_09:21:26.263613224 | CPU: 21
2025-11-20_09:21:26.424445317 | CPU: 29
2025-11-20_09:21:26.580252889 | CPU: 45
2025-11-20_09:21:26.757158292 | CPU: 25
2025-11-20_09:21:26.926265066 | CPU: 24
2025-11-20_09:21:27.103282680 | CPU: 14
2025-11-20_09:21:27.278840254 | CPU: 23
2025-11-20_09:21:27.449105678 | CPU: 22
2025-11-20_09:21:27.625147215 | CPU: 17
2025-11-20_09:21:27.793243912 | CPU: 29
2025-11-20_09:21:27.965142421 | CPU: 33
2025-11-20_09:21:28.138563814 | CPU: 28
2025-11-20_09:21:28.313234780 | CPU: 16
2025-11-20_09:21:28.493662261 | CPU: 14
2025-11-20_09:21:28.662739438 | CPU: 21
2025-11-20_09:21:28.829034875 | CPU: 16
2025-11-20_09:21:29.002923874 | CPU: 20
2025-11-20_09:21:29.174646484 | CPU: 14
2025-11-20_09:21:29.327693384 | CPU: 17
2025-11-20_09:21:29.500030338 | CPU: 24
2025-11-20_09:21:29.670427860 | CPU: 9
2025-11-20_09:21:29.846211400 | CPU: 7
2025-11-20_09:21:30.019081773 | CPU: 22
2025-11-20_09:21:30.196477363 | CPU: 22
2025-11-20_09:21:30.361830303 | CPU: 14
2025-11-20_09:21:30.534554424 | CPU: 16
2025-11-20_09:21:30.703742109 | CPU: 20
2025-11-20_09:21:30.881107743 | CPU: 13
2025-11-20_09:21:31.054891758 | CPU: 23
2025-11-20_09:21:31.226729915 | CPU: 32
2025-11-20_09:21:31.395709234 | CPU: 30
2025-11-20_09:21:31.558963379 | CPU: 31
2025-11-20_09:21:31.722204998 | CPU: 14
2025-11-20_09:21:31.900859451 | CPU: 9
2025-11-20_09:21:32.058457111 | CPU: 19
2025-11-20_09:21:32.221267381 | CPU: 16
2025-11-20_09:21:32.397693713 | CPU: 27
2025-11-20_09:21:32.571268534 | CPU: 9
2025-11-20_09:21:32.734711473 | CPU: 17
2025-11-20_09:21:32.903852188 | CPU: 9
2025-11-20_09:21:33.079559584 | CPU: 30
2025-11-20_09:21:33.244799663 | CPU: 12
2025-11-20_09:21:33.416495111 | CPU: 10
2025-11-20_09:21:33.584570843 | CPU: 17
2025-11-20_09:21:33.761971267 | CPU: 21
2025-11-20_09:21:33.938756738 | CPU: 22
2025-11-20_09:21:34.115041787 | CPU: 10
2025-11-20_09:21:34.285881256 | CPU: 15
2025-11-20_09:21:34.459151891 | CPU: 27
2025-11-20_09:21:34.629659835 | CPU: 12
2025-11-20_09:21:34.798737957 | CPU: 14
2025-11-20_09:21:34.952713280 | CPU: 24
2025-11-20_09:21:35.113099504 | CPU: 38
2025-11-20_09:21:35.276013226 | CPU: 31
2025-11-20_09:21:35.448084608 | CPU: 11
2025-11-20_09:21:35.616456739 | CPU: 15
2025-11-20_09:21:35.787817575 | CPU: 26
2025-11-20_09:21:35.967571448 | CPU: 9
2025-11-20_09:21:36.142051092 | CPU: 23
2025-11-20_09:21:36.318202526 | CPU: 18
2025-11-20_09:21:36.496436516 | CPU: 16
2025-11-20_09:21:36.667305577 | CPU: 24
2025-11-20_09:21:36.844077367 | CPU: 18
2025-11-20_09:21:37.020884316 | CPU: 21
2025-11-20_09:21:37.195062787 | CPU: 16
2025-11-20_09:21:37.365047495 | CPU: 41
2025-11-20_09:21:37.541963911 | CPU: 25
2025-11-20_09:21:37.721297997 | CPU: 27
2025-11-20_09:21:37.899235060 | CPU: 27
2025-11-20_09:21:38.075719455 | CPU: 25
2025-11-20_09:21:38.248426636 | CPU: 22
2025-11-20_09:21:38.419178707 | CPU: 27
2025-11-20_09:21:38.585839690 | CPU: 36
2025-11-20_09:21:38.757528426 | CPU: 24
2025-11-20_09:21:38.927176741 | CPU: 6
2025-11-20_09:21:39.100625733 | CPU: 5
2025-11-20_09:21:39.262888472 | CPU: 8
2025-11-20_09:21:39.425573345 | CPU: 37
2025-11-20_09:21:39.590561115 | CPU: 29
2025-11-20_09:21:39.759995887 | CPU: 44
2025-11-20_09:21:39.922151058 | CPU: 43
2025-11-20_09:21:40.086071975 | CPU: 33
2025-11-20_09:21:40.257765374 | CPU: 11
2025-11-20_09:21:40.429149699 | CPU: 8
2025-11-20_09:21:40.603773210 | CPU: 11
2025-11-20_09:21:40.780582390 | CPU: 9
2025-11-20_09:21:40.954443254 | CPU: 9
2025-11-20_09:21:41.125587635 | CPU: 17
2025-11-20_09:21:41.302027912 | CPU: 27
2025-11-20_09:21:41.475628848 | CPU: 26
2025-11-20_09:21:41.649138829 | CPU: 22
2025-11-20_09:21:41.816744313 | CPU: 28
2025-11-20_09:21:41.982652981 | CPU: 26
2025-11-20_09:21:42.154412882 | CPU: 25
2025-11-20_09:21:42.326985418 | CPU: 81
2025-11-20_09:21:42.495479076 | CPU: 29
2025-11-20_09:21:42.658632260 | CPU: 26
2025-11-20_09:21:42.833452040 | CPU: 23
2025-11-20_09:21:43.005505271 | CPU: 27
2025-11-20_09:21:43.175791659 | CPU: 29
2025-11-20_09:21:43.346930749 | CPU: 26
2025-11-20_09:21:43.517923477 | CPU: 25
2025-11-20_09:21:43.689664184 | CPU: 29
2025-11-20_09:21:43.855535657 | CPU: 27
2025-11-20_09:21:44.019882723 | CPU: 27
2025-11-20_09:21:44.192581068 | CPU: 23
2025-11-20_09:21:44.361637413 | CPU: 28
2025-11-20_09:21:44.529715101 | CPU: 25
2025-11-20_09:21:44.698344170 | CPU: 28
2025-11-20_09:21:44.857180231 | CPU: 26
2025-11-20_09:21:45.029760348 | CPU: 27
2025-11-20_09:21:45.204786594 | CPU: 25
2025-11-20_09:21:45.370554070 | CPU: 28
2025-11-20_09:21:45.538744386 | CPU: 27
2025-11-20_09:21:45.705574253 | CPU: 28
2025-11-20_09:21:45.874231601 | CPU: 26
2025-11-20_09:21:46.047455171 | CPU: 26
2025-11-20_09:21:46.216505580 | CPU: 26
2025-11-20_09:21:46.390106126 | CPU: 25
2025-11-20_09:21:46.566617794 | CPU: 25
2025-11-20_09:21:46.741237243 | CPU: 28
2025-11-20_09:21:46.908059004 | CPU: 26
2025-11-20_09:21:47.078490289 | CPU: 25
2025-11-20_09:21:47.255834915 | CPU: 26
2025-11-20_09:21:47.433091246 | CPU: 26
2025-11-20_09:21:47.601691261 | CPU: 27
2025-11-20_09:21:47.772954947 | CPU: 27
2025-11-20_09:21:47.947483924 | CPU: 25
2025-11-20_09:21:48.112994706 | CPU: 28
2025-11-20_09:21:48.256982100 | CPU: 28
2025-11-20_09:21:48.427172841 | CPU: 18
2025-11-20_09:21:48.598930959 | CPU: 6
2025-11-20_09:21:48.772381123 | CPU: 6
2025-11-20_09:21:48.945942111 | CPU: 4
2025-11-20_09:21:49.119240691 | CPU: 5
2025-11-20_09:21:49.293156103 | CPU: 4
2025-11-20_09:21:49.467486061 | CPU: 5
2025-11-20_09:21:49.640532645 | CPU: 5
2025-11-20_09:21:49.791613993 | CPU: 5
2025-11-20_09:21:49.962842694 | CPU: 25
2025-11-20_09:21:50.134938557 | CPU: 4
2025-11-20_09:21:50.310113132 | CPU: 5
2025-11-20_09:21:50.481903560 | CPU: 29
2025-11-20_09:21:50.636082708 | CPU: 32
2025-11-20_09:21:50.811483335 | CPU: 24
2025-11-20_09:21:50.981888796 | CPU: 18
2025-11-20_09:21:51.150442467 | CPU: 29
2025-11-20_09:21:51.320756164 | CPU: 26
2025-11-20_09:21:51.488792318 | CPU: 20
2025-11-20_09:21:51.656509590 | CPU: 26
2025-11-20_09:21:51.826749736 | CPU: 27
2025-11-20_09:21:51.998468623 | CPU: 20
