[2025-11-20 09:21:12.200384] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:21:12.200468] ID                                               
[2025-11-20 09:21:12.262676] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.321345] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.373906] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.426632] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.479178] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.531634] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.584349] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.636954] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.689818] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.742493] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.794880] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.847744] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.900287] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:12.952704] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.005534] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.055694] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:21:13.055804] ID                                               
[2025-11-20 09:21:13.058019] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.110685] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.163566] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.216218] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.269175] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.321727] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.374115] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.426359] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.478599] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.530829] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.582836] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.634397] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.685702] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.737676] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.787872] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:21:13.787994] ID                                               
[2025-11-20 09:21:13.790255] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.842584] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.894892] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.947331] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:13.999673] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.051778] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.104043] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.156232] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.208554] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.260870] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.313312] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.365628] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.417774] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.469770] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.519948] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:21:14.520058] ID                                               
[2025-11-20 09:21:14.521745] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.573867] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.625937] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.678034] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.730196] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.782295] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.834394] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.886577] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.938705] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:14.990726] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.042853] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.094914] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.147035] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.199096] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.249273] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:21:15.249379] ID                                               
[2025-11-20 09:21:15.251128] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.303219] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.355315] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.407538] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.459859] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.511918] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.564240] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.616461] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.668496] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.720569] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.772609] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.824707] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.876653] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.928837] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:15.978960] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:21:15.979066] ID                                               
[2025-11-20 09:21:15.980848] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.032660] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.084628] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.136697] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.188700] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.240952] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.293063] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.345320] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.397366] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.449582] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.501702] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.553752] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:21:16.605775] GPU 0     0.000        0.000        0.000        
