,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2025-11-20,09:21:12.210,   43.47,   55.74,   43.05,   56.13,   43.17,   55.69,   36.54,   53.78,   37.20,   53.76,   37.01,   54.36,  240.45,  329.47,     19360,  569.91,   22.00,   12.60,   22.27,   12.91,   22.07,   12.78,   21.89,   12.94,   21.50,   12.41,   21.13,   12.11,  130.86,   75.76,     19360,  206.62,    371.30,    405.22,    776.53
2025-11-20,09:21:12.259,   20.31,   23.00,   19.93,   23.47,   19.79,   23.00,   17.18,   22.65,   17.16,   22.74,   17.47,   23.01,  111.84,  137.87,     18600,  249.71,    3.89,    4.38,    4.17,    4.58,    4.02,    4.32,    3.76,    4.31,    3.87,    4.45,    3.75,    4.34,   23.46,   26.38,     18580,   49.85,    135.30,    164.25,    299.56
2025-11-20,09:21:12.310,   13.33,   35.16,   13.83,   35.29,   13.57,   35.40,   11.48,   35.12,   11.40,   34.28,   11.13,   34.61,   74.74,  209.86,     18720,  284.60,    4.43,    3.48,    4.63,    3.73,    4.51,    3.69,    4.44,    3.65,    4.43,    3.64,    4.44,    3.49,   26.88,   21.69,     18720,   48.57,    101.62,    231.55,    333.17
2025-11-20,09:21:12.360,   10.90,   28.22,   10.72,   28.21,   11.00,   28.52,    8.53,   28.07,    8.66,   28.03,    8.83,   28.21,   58.64,  169.26,     18720,  227.90,    3.76,    2.58,    3.78,    2.66,    3.60,    2.48,    3.63,    2.46,    3.62,    2.48,    3.51,    2.41,   21.91,   15.07,     18720,   36.98,     80.56,    184.32,    264.88
2025-11-20,09:21:12.410,   17.06,   41.41,   17.36,   41.38,   17.18,   41.99,   14.68,   40.87,   14.33,   40.16,   14.66,   40.24,   95.27,  246.06,     18720,  341.33,    4.66,    3.44,    4.89,    3.61,    4.70,    3.40,    4.86,    3.59,    4.80,    3.63,    4.73,    3.32,   28.65,   20.99,     18720,   49.64,    123.92,    267.05,    390.97
2025-11-20,09:21:12.461,   10.76,   30.58,   10.80,   30.46,   11.03,   30.99,    9.42,   29.93,    9.25,   29.51,    9.33,   29.75,   60.58,  181.22,     18740,  241.81,    2.93,    2.15,    3.18,    2.45,    3.13,    2.37,    3.19,    2.46,    3.24,    2.44,    3.03,    2.25,   18.70,   14.12,     18760,   32.81,     79.28,    195.34,    274.62
2025-11-20,09:21:12.511,    9.90,   26.18,    9.71,   26.54,    9.56,   26.41,    8.55,   25.69,    8.57,   25.16,    8.65,   25.52,   54.95,  155.51,     18507,  210.46,    3.73,    2.90,    3.69,    2.89,    3.65,    2.81,    3.41,    2.64,    3.41,    2.68,    3.29,    2.45,   21.18,   16.36,     18565,   37.54,     76.13,    171.86,    247.99
2025-11-20,09:21:12.560,   16.06,   34.49,   16.26,   34.60,   16.11,   34.91,   13.97,   33.53,   13.55,   32.91,   13.81,   33.35,   89.75,  203.79,     18814,  293.54,    4.26,    2.92,    4.61,    3.20,    4.38,    3.05,    4.24,    3.04,    4.36,    3.00,    4.21,    2.90,   26.05,   18.11,     18732,   44.16,    115.80,    221.90,    337.70
2025-11-20,09:21:12.610,   10.62,   28.77,   10.75,   29.04,   10.60,   29.25,    8.98,   28.44,    8.86,   27.88,    9.01,   28.13,   58.83,  171.50,     18720,  230.33,    2.41,    1.86,    2.58,    2.11,    2.63,    2.12,    2.53,    1.98,    2.50,    1.94,    2.38,    1.78,   15.03,   11.79,     18700,   26.82,     73.87,    183.29,    257.16
2025-11-20,09:21:12.660,   20.42,   44.30,   19.81,   44.40,   19.86,   45.04,   17.49,   43.88,   17.42,   43.09,   17.53,   43.73,  112.53,  264.45,     18720,  376.97,   10.28,    3.62,   10.53,    3.92,   10.48,    3.90,   10.20,    3.76,   10.05,    3.67,   10.09,    3.45,   61.64,   22.30,     18760,   83.94,    174.16,    286.75,    460.91
2025-11-20,09:21:12.710,   16.08,   32.87,   16.06,   32.88,   15.94,   33.06,   14.78,   32.42,   14.41,   32.12,   14.54,   32.27,   91.82,  195.62,     18740,  287.44,    4.60,    2.77,    4.72,    3.10,    4.57,    2.99,    4.74,    3.16,    4.71,    3.13,    4.60,    2.80,   27.94,   17.95,     18740,   45.89,    119.76,    213.57,    333.34
2025-11-20,09:21:12.761,   15.51,   37.84,   15.79,   38.16,   15.53,   38.06,   13.34,   37.27,   13.26,   36.59,   13.33,   37.12,   86.76,  225.05,     18740,  311.81,    6.50,    5.11,    6.82,    5.42,    6.65,    5.33,    6.45,    5.39,    6.66,    5.32,    6.33,    5.02,   39.42,   31.58,     18740,   71.00,    126.18,    256.63,    382.81
2025-11-20,09:21:12.811,   15.18,   36.32,   14.92,   36.65,   14.57,   36.67,   12.82,   35.70,   12.95,   35.40,   13.14,   35.94,   83.59,  216.68,     18800,  300.26,    6.94,    3.70,    7.37,    3.84,    6.94,    3.71,    6.91,    3.71,    6.82,    3.89,    6.67,    3.51,   41.65,   22.35,     18740,   64.01,    125.24,    239.03,    364.27
2025-11-20,09:21:12.861,   13.45,   32.70,   13.57,   33.02,   13.45,   32.74,   12.18,   32.44,   11.90,   32.00,   11.97,   32.30,   76.51,  195.21,     18740,  271.72,    3.33,    2.52,    3.53,    2.73,    3.60,    2.60,    3.46,    2.70,    3.53,    2.66,    3.36,    2.53,   20.81,   15.75,     18760,   36.55,     97.32,    210.95,    308.28
2025-11-20,09:21:12.911,   11.82,   28.44,   11.88,   28.44,   12.01,   28.94,   10.02,   27.94,    9.87,   27.45,    9.89,   27.43,   65.50,  168.64,     18760,  234.14,    3.27,    2.22,    3.50,    2.42,    3.44,    2.35,    3.40,    2.32,    3.48,    2.44,    3.31,    2.16,   20.39,   13.91,     18760,   34.30,     85.89,    182.55,    268.44
2025-11-20,09:21:12.962,   11.58,   31.42,   11.24,   31.66,   11.07,   31.84,    9.46,   30.76,    9.44,   30.28,    9.65,   30.48,   62.45,  186.44,     18760,  248.89,    4.80,    2.97,    4.68,    3.05,    4.80,    3.12,    4.45,    2.85,    4.77,    3.05,    4.57,    2.77,   28.07,   17.80,     18840,   45.87,     90.52,    204.24,    294.76
2025-11-20,09:21:13.011,   15.18,   37.25,   15.36,   37.46,   14.91,   37.49,   13.13,   36.90,   12.85,   35.98,   13.13,   36.28,   84.56,  221.36,     18460,  305.92,    3.80,    2.93,    3.94,    3.16,    3.84,    3.04,    3.71,    2.92,    3.83,    2.93,    3.79,    2.80,   22.91,   17.77,     18340,   40.68,    107.47,    239.13,    346.60
2025-11-20,09:21:13.061,    7.13,   18.12,    7.45,   18.52,    7.43,   18.69,    7.01,   18.18,    6.69,   17.90,    6.82,   18.16,   42.53,  109.58,     18700,  152.11,    1.47,    1.11,    1.66,    1.30,    1.69,    1.30,    1.77,    1.36,    1.85,    1.50,    1.54,    1.19,    9.98,    7.76,     18720,   17.74,     52.51,    117.34,    169.85
2025-11-20,09:21:13.111,   11.59,   32.20,   11.71,   32.66,   11.51,   33.07,    9.17,   31.56,    9.19,   31.32,    9.53,   31.51,   62.70,  192.33,     18740,  255.03,    3.88,    2.83,    4.03,    2.96,    4.06,    2.95,    3.68,    2.69,    3.64,    2.65,    3.67,    2.57,   22.97,   16.65,     18760,   39.62,     85.68,    208.98,    294.65
2025-11-20,09:21:13.162,   17.47,   28.63,   17.45,   28.55,   17.03,   28.60,   14.75,   27.47,   14.19,   26.92,   14.52,   27.50,   95.42,  167.68,     18720,  263.10,    4.25,    3.04,    4.33,    3.07,    4.36,    3.08,    4.21,    2.97,    4.22,    3.05,    4.07,    2.81,   25.44,   18.02,     18720,   43.46,    120.86,    185.70,    306.56
2025-11-20,09:21:13.212,   31.76,   47.21,   31.54,   47.02,   31.68,   47.33,   29.43,   46.31,   28.96,   46.09,   29.29,   46.06,  182.66,  280.02,     18780,  462.67,   16.06,    7.44,   15.95,    7.34,   15.90,    7.18,   15.87,    7.60,   15.67,    7.33,   15.33,    7.29,   94.77,   44.17,     18780,  138.94,    277.43,    324.18,    601.61
2025-11-20,09:21:13.262,   45.33,   62.04,   44.65,   62.01,   44.51,   61.98,   40.11,   60.59,   40.50,   59.62,   40.60,   60.40,  255.69,  366.64,     18820,  622.33,   27.92,   12.47,   28.39,   12.81,   28.18,   12.72,   27.32,   12.74,   27.10,   12.53,   26.81,   12.40,  165.73,   75.67,     18840,  241.40,    421.42,    442.31,    863.74
2025-11-20,09:21:13.311,   48.34,   78.27,   47.86,   78.38,   48.88,   79.72,   40.81,   76.82,   40.23,   75.75,   40.28,   75.68,  266.39,  464.62,     18440,  731.02,   21.53,   19.78,   21.49,   19.93,   21.49,   20.22,   19.27,   19.73,   19.51,   19.82,   19.24,   19.18,  122.53,  118.66,     18160,  241.19,    388.92,    583.28,    972.20
