2025-11-20_09:39:39.117580571 | CPU: 4
2025-11-20_09:39:39.293921760 | CPU: 3
2025-11-20_09:39:39.468528993 | CPU: 3
2025-11-20_09:39:39.643645360 | CPU: 2
2025-11-20_09:39:39.818998664 | CPU: 2
2025-11-20_09:39:39.995868824 | CPU: 2
2025-11-20_09:39:40.170020013 | CPU: 4
2025-11-20_09:39:40.340824119 | CPU: 4
2025-11-20_09:39:40.513388824 | CPU: 4
2025-11-20_09:39:40.688245726 | CPU: 3
2025-11-20_09:39:40.859912893 | CPU: 4
2025-11-20_09:39:41.032290974 | CPU: 4
2025-11-20_09:39:41.206141274 | CPU: 6
2025-11-20_09:39:41.381475311 | CPU: 3
2025-11-20_09:39:41.557346830 | CPU: 2
2025-11-20_09:39:41.732805696 | CPU: 2
2025-11-20_09:39:41.908468787 | CPU: 2
2025-11-20_09:39:42.084794178 | CPU: 2
2025-11-20_09:39:42.260605822 | CPU: 4
2025-11-20_09:39:42.432408702 | CPU: 5
2025-11-20_09:39:42.555841191 | CPU: 4
2025-11-20_09:39:42.698301113 | CPU: 89
2025-11-20_09:39:42.871069698 | CPU: 4
2025-11-20_09:39:43.044779177 | CPU: 5
2025-11-20_09:39:43.217278491 | CPU: 6
2025-11-20_09:39:43.391160045 | CPU: 4
2025-11-20_09:39:43.564883503 | CPU: 6
2025-11-20_09:39:43.737210778 | CPU: 4
2025-11-20_09:39:43.909501436 | CPU: 4
2025-11-20_09:39:44.082093998 | CPU: 4
2025-11-20_09:39:44.254788918 | CPU: 6
2025-11-20_09:39:44.426592203 | CPU: 4
2025-11-20_09:39:44.599737503 | CPU: 4
2025-11-20_09:39:44.772251613 | CPU: 4
2025-11-20_09:39:44.946598591 | CPU: 4
2025-11-20_09:39:45.119221586 | CPU: 4
2025-11-20_09:39:45.293196999 | CPU: 4
2025-11-20_09:39:45.466049998 | CPU: 4
2025-11-20_09:39:45.632313763 | CPU: 4
2025-11-20_09:39:45.753766590 | CPU: 62
2025-11-20_09:39:45.927150058 | CPU: 8
2025-11-20_09:39:46.094371159 | CPU: 5
2025-11-20_09:39:46.265638654 | CPU: 4
2025-11-20_09:39:46.438187506 | CPU: 4
2025-11-20_09:39:46.611114350 | CPU: 3
2025-11-20_09:39:46.783387500 | CPU: 4
2025-11-20_09:39:46.956589492 | CPU: 5
2025-11-20_09:39:47.130756768 | CPU: 5
2025-11-20_09:39:47.303741430 | CPU: 6
2025-11-20_09:39:47.476282918 | CPU: 4
2025-11-20_09:39:47.648858453 | CPU: 5
2025-11-20_09:39:47.822172122 | CPU: 4
2025-11-20_09:39:47.995366240 | CPU: 4
2025-11-20_09:39:48.167171119 | CPU: 4
2025-11-20_09:39:48.339175530 | CPU: 4
2025-11-20_09:39:48.512144264 | CPU: 5
2025-11-20_09:39:48.685093464 | CPU: 4
2025-11-20_09:39:48.855988908 | CPU: 4
2025-11-20_09:39:49.027975964 | CPU: 5
2025-11-20_09:39:49.201741988 | CPU: 4
2025-11-20_09:39:49.372534365 | CPU: 4
2025-11-20_09:39:49.548010088 | CPU: 4
2025-11-20_09:39:49.723113120 | CPU: 2
2025-11-20_09:39:49.897927023 | CPU: 2
2025-11-20_09:39:50.074878537 | CPU: 2
2025-11-20_09:39:50.251262883 | CPU: 3
2025-11-20_09:39:50.427181193 | CPU: 4
2025-11-20_09:39:50.602499648 | CPU: 3
2025-11-20_09:39:50.778278906 | CPU: 3
2025-11-20_09:39:50.953371980 | CPU: 3
2025-11-20_09:39:51.132531843 | CPU: 4
2025-11-20_09:39:51.309483707 | CPU: 4
2025-11-20_09:39:51.484902338 | CPU: 3
2025-11-20_09:39:51.660428253 | CPU: 3
2025-11-20_09:39:51.836598245 | CPU: 2
2025-11-20_09:39:52.015340000 | CPU: 3
2025-11-20_09:39:52.193927809 | CPU: 4
2025-11-20_09:39:52.374927308 | CPU: 4
2025-11-20_09:39:52.548935236 | CPU: 4
2025-11-20_09:39:52.724525910 | CPU: 4
2025-11-20_09:39:52.898466141 | CPU: 4
2025-11-20_09:39:53.072038145 | CPU: 3
2025-11-20_09:39:53.243944180 | CPU: 4
2025-11-20_09:39:53.415952478 | CPU: 4
2025-11-20_09:39:53.588289033 | CPU: 4
2025-11-20_09:39:53.759855111 | CPU: 4
2025-11-20_09:39:53.931034704 | CPU: 5
2025-11-20_09:39:54.103711156 | CPU: 5
2025-11-20_09:39:54.275612154 | CPU: 22
2025-11-20_09:39:54.442102068 | CPU: 14
2025-11-20_09:39:54.607863296 | CPU: 5
2025-11-20_09:39:54.778474364 | CPU: 5
2025-11-20_09:39:54.951237990 | CPU: 8
2025-11-20_09:39:55.106773465 | CPU: 18
2025-11-20_09:39:55.270807753 | CPU: 36
2025-11-20_09:39:55.428400283 | CPU: 45
2025-11-20_09:39:55.617129894 | CPU: 46
2025-11-20_09:39:55.803069651 | CPU: 29
2025-11-20_09:39:55.970964852 | CPU: 6
2025-11-20_09:39:56.143037999 | CPU: 6
2025-11-20_09:39:56.315453469 | CPU: 5
2025-11-20_09:39:56.485924490 | CPU: 6
2025-11-20_09:39:56.650592897 | CPU: 20
2025-11-20_09:39:56.802383946 | CPU: 42
2025-11-20_09:39:56.971223567 | CPU: 29
2025-11-20_09:39:57.143016422 | CPU: 26
2025-11-20_09:39:57.314178707 | CPU: 21
2025-11-20_09:39:57.480552689 | CPU: 30
2025-11-20_09:39:57.643204007 | CPU: 32
2025-11-20_09:39:57.809482578 | CPU: 14
2025-11-20_09:39:57.967028762 | CPU: 24
2025-11-20_09:39:58.789184849 | CPU: 23
2025-11-20_09:39:59.002881283 | CPU: 21
2025-11-20_09:39:59.174140362 | CPU: 22
2025-11-20_09:39:59.350100809 | CPU: 17
2025-11-20_09:39:59.519556299 | CPU: 24
2025-11-20_09:39:59.691213881 | CPU: 20
2025-11-20_09:39:59.865315756 | CPU: 18
2025-11-20_09:40:00.040705627 | CPU: 21
2025-11-20_09:40:00.213963847 | CPU: 11
2025-11-20_09:40:00.383517001 | CPU: 15
2025-11-20_09:40:00.558434207 | CPU: 22
2025-11-20_09:40:00.727038266 | CPU: 9
2025-11-20_09:40:00.899046766 | CPU: 26
2025-11-20_09:40:01.080245817 | CPU: 16
2025-11-20_09:40:01.259251324 | CPU: 14
2025-11-20_09:40:01.437784380 | CPU: 19
2025-11-20_09:40:01.615143550 | CPU: 10
2025-11-20_09:40:01.780888891 | CPU: 14
2025-11-20_09:40:01.937747814 | CPU: 32
2025-11-20_09:40:02.099288040 | CPU: 29
2025-11-20_09:40:02.255039917 | CPU: 30
2025-11-20_09:40:02.416546028 | CPU: 27
2025-11-20_09:40:02.592297744 | CPU: 16
2025-11-20_09:40:02.762410143 | CPU: 9
2025-11-20_09:40:02.933578606 | CPU: 17
2025-11-20_09:40:03.106158554 | CPU: 13
2025-11-20_09:40:03.276533655 | CPU: 24
2025-11-20_09:40:03.447314482 | CPU: 9
2025-11-20_09:40:03.607581246 | CPU: 16
