[2025-11-20 09:39:41.089984] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:41.090066] ID                                               
[2025-11-20 09:39:41.150461] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.209136] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.261456] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.313525] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.365508] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.417648] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.469613] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.521491] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.573588] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.625618] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.677583] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.729626] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.781728] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.833661] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.885802] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.935960] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:41.936066] ID                                               
[2025-11-20 09:39:41.937967] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:41.990122] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.042636] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.095121] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.148677] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.201933] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.254918] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.306905] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.358922] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.410915] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.462719] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.514235] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.565132] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.616601] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.666795] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:42.666920] ID                                               
[2025-11-20 09:39:42.669086] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.721210] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.773209] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.825372] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.877808] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.929784] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:42.982025] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.034161] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.086444] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.138462] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.190795] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.243128] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.295918] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.348559] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.398733] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:43.398840] ID                                               
[2025-11-20 09:39:43.401127] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.453648] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.506180] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.558695] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.611272] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.663767] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.716302] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.768701] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.820965] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.873230] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.925643] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:43.977804] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.030254] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.082155] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.132274] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:44.132378] ID                                               
[2025-11-20 09:39:44.134176] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.185903] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.238235] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.290314] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.342509] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.394647] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.446981] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.499068] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.551440] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.603560] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.655797] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.707994] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.760457] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.812534] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.862685] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:44.862801] ID                                               
[2025-11-20 09:39:44.865292] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.917578] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:44.970285] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.022395] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.075045] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.127368] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.180107] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.232297] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.284977] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.337126] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.389485] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.441424] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.493759] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.545780] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.595879] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-20 09:39:45.595983] ID                                               
[2025-11-20 09:39:45.597824] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.648813] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.700016] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.752091] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.804054] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.856223] GPU 0     0.000        0.000        0.000        
[2025-11-20 09:39:45.908310] GPU 0     0.000        0.000        0.000        
