,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2025-11-20,09:39:41.117,   28.76,   26.75,   28.78,   27.39,   28.47,   27.19,   25.58,   25.58,   25.95,   25.54,   26.29,   25.64,  163.82,  158.10,     19320,  321.92,   25.96,   34.97,   25.97,   34.82,   25.78,   35.05,   23.25,   34.70,   22.86,   34.24,   22.80,   34.29,  146.62,  208.07,     19400,  354.68,    310.44,    366.17,    676.61
2025-11-20,09:39:41.167,   14.16,   24.69,   14.22,   25.27,   14.38,   25.11,   11.98,   23.94,   11.82,   23.47,   12.03,   24.04,   78.60,  146.53,     18600,  225.14,    6.84,   11.61,    6.97,   11.76,    6.99,   11.74,    6.26,   11.99,    6.09,   11.78,    5.90,   11.73,   39.05,   70.61,     18580,  109.66,    117.66,    217.14,    334.80
2025-11-20,09:39:41.218,   14.78,   25.73,   14.91,   25.69,   15.05,   26.09,   13.05,   25.57,   13.10,   25.18,   12.89,   25.07,   83.79,  153.33,     18760,  237.11,    9.34,   11.24,    9.19,   11.01,    9.20,   10.98,    8.51,   11.03,    8.71,   11.21,    8.38,   10.75,   53.32,   66.23,     18780,  119.55,    137.11,    219.56,    356.67
2025-11-20,09:39:41.269,    9.56,   17.58,    9.59,   17.47,    9.24,   17.84,    8.56,   17.35,    8.37,   17.07,    8.48,   17.10,   53.79,  104.41,     18820,  158.20,    4.24,    4.76,    4.29,    4.87,    4.24,    4.86,    4.04,    4.99,    3.93,    4.86,    3.83,    4.72,   24.55,   29.06,     18900,   53.61,     78.35,    133.46,    211.81
2025-11-20,09:39:41.317,    6.27,   10.66,    6.56,   10.80,    6.35,   10.84,    5.50,   10.25,    5.42,    9.99,    5.46,   10.12,   35.55,   62.66,     18506,   98.21,    4.81,    7.72,    4.86,    7.98,    4.97,    7.90,    4.44,    7.85,    4.34,    7.95,    4.11,    7.64,   27.53,   47.05,     18428,   74.58,     63.09,    109.71,    172.79
2025-11-20,09:39:41.370,    5.59,    9.90,    5.82,   10.14,    5.46,   10.06,    4.84,    9.39,    4.82,    9.38,    4.94,    9.41,   31.45,   58.28,     18720,   89.73,    4.55,    6.55,    4.67,    6.69,    4.68,    6.64,    4.00,    6.52,    3.82,    6.53,    3.84,    6.31,   25.57,   39.23,     18720,   64.80,     57.03,     97.51,    154.53
2025-11-20,09:39:41.418,    6.27,   11.07,    6.30,   11.31,    6.03,   11.32,    5.39,   10.76,    5.38,   11.01,    5.58,   11.04,   34.95,   66.52,     18900,  101.47,    3.83,    4.85,    3.91,    4.94,    3.83,    4.88,    3.59,    5.06,    3.51,    4.72,    3.49,    4.60,   22.15,   29.05,     18880,   51.20,     57.10,     95.57,    152.67
2025-11-20,09:39:41.468,    4.17,    4.35,    4.24,    4.44,    4.21,    4.24,    3.58,    3.56,    3.60,    3.48,    3.56,    3.46,   23.35,   23.53,     18720,   46.88,    2.80,    4.23,    2.74,    4.19,    2.64,    4.12,    2.42,    4.21,    2.38,    4.14,    2.24,    4.01,   15.22,   24.91,     18740,   40.12,     38.57,     48.43,     87.00
2025-11-20,09:39:41.518,    3.64,    8.47,    3.95,    8.75,    3.86,    8.90,    3.10,    7.83,    3.23,    8.06,    3.07,    7.84,   20.86,   49.86,     18720,   70.72,    3.98,    5.95,    4.15,    6.21,    4.13,    6.10,    3.62,    6.05,    3.54,    6.09,    3.43,    5.82,   22.86,   36.22,     18720,   59.08,     43.72,     86.08,    129.80
