2025-11-19_02:23:07.865465187 | CPU: 2
2025-11-19_02:23:08.038388757 | CPU: 3
2025-11-19_02:23:08.212750957 | CPU: 1
2025-11-19_02:23:08.388059681 | CPU: 2
2025-11-19_02:23:08.563417715 | CPU: 2
2025-11-19_02:23:08.736117385 | CPU: 3
2025-11-19_02:23:08.908041651 | CPU: 4
2025-11-19_02:23:09.079272979 | CPU: 3
2025-11-19_02:23:09.250897142 | CPU: 4
2025-11-19_02:23:09.422456063 | CPU: 4
2025-11-19_02:23:09.592167245 | CPU: 5
2025-11-19_02:23:09.763614502 | CPU: 4
2025-11-19_02:23:09.935674944 | CPU: 4
2025-11-19_02:23:10.109540254 | CPU: 2
2025-11-19_02:23:10.281315134 | CPU: 4
2025-11-19_02:23:10.455708677 | CPU: 2
2025-11-19_02:23:10.630126407 | CPU: 1
2025-11-19_02:23:10.808037245 | CPU: 1
2025-11-19_02:23:10.979878040 | CPU: 5
2025-11-19_02:23:11.151807633 | CPU: 6
2025-11-19_02:23:11.353351802 | CPU: 3
2025-11-19_02:23:11.523822840 | CPU: 53
2025-11-19_02:23:11.692230161 | CPU: 5
2025-11-19_02:23:11.864254389 | CPU: 5
2025-11-19_02:23:12.037302386 | CPU: 4
2025-11-19_02:23:12.210038011 | CPU: 3
2025-11-19_02:23:12.382497300 | CPU: 4
2025-11-19_02:23:12.554144683 | CPU: 5
2025-11-19_02:23:12.725341228 | CPU: 3
2025-11-19_02:23:12.897231876 | CPU: 4
2025-11-19_02:23:13.070350200 | CPU: 4
2025-11-19_02:23:13.237736693 | CPU: 5
2025-11-19_02:23:13.410104781 | CPU: 4
2025-11-19_02:23:13.582234687 | CPU: 3
2025-11-19_02:23:13.756243685 | CPU: 3
2025-11-19_02:23:13.928009627 | CPU: 4
2025-11-19_02:23:14.097323737 | CPU: 5
2025-11-19_02:23:14.268290556 | CPU: 3
2025-11-19_02:23:14.440781325 | CPU: 3
2025-11-19_02:23:14.610471023 | CPU: 4
2025-11-19_02:23:14.782398852 | CPU: 5
2025-11-19_02:23:14.953873210 | CPU: 3
2025-11-19_02:23:15.124513079 | CPU: 3
2025-11-19_02:23:15.257388003 | CPU: 57
2025-11-19_02:23:15.430146753 | CPU: 7
2025-11-19_02:23:15.601796484 | CPU: 5
2025-11-19_02:23:15.775077257 | CPU: 4
2025-11-19_02:23:15.947252650 | CPU: 4
2025-11-19_02:23:16.119787850 | CPU: 4
2025-11-19_02:23:16.290303124 | CPU: 5
2025-11-19_02:23:16.462333462 | CPU: 3
2025-11-19_02:23:16.633995701 | CPU: 3
2025-11-19_02:23:16.806750710 | CPU: 4
2025-11-19_02:23:16.979493060 | CPU: 5
2025-11-19_02:23:17.150944359 | CPU: 5
2025-11-19_02:23:17.321716678 | CPU: 5
2025-11-19_02:23:17.494243510 | CPU: 3
2025-11-19_02:23:17.667172755 | CPU: 3
2025-11-19_02:23:17.840398092 | CPU: 4
2025-11-19_02:23:18.016311660 | CPU: 2
2025-11-19_02:23:18.192244954 | CPU: 2
2025-11-19_02:23:18.370363181 | CPU: 3
2025-11-19_02:23:18.542987457 | CPU: 3
2025-11-19_02:23:18.715780109 | CPU: 3
2025-11-19_02:23:18.891748951 | CPU: 2
2025-11-19_02:23:19.067451765 | CPU: 2
2025-11-19_02:23:19.241005938 | CPU: 3
2025-11-19_02:23:19.415841209 | CPU: 4
2025-11-19_02:23:19.587132365 | CPU: 2
2025-11-19_02:23:19.764210361 | CPU: 2
2025-11-19_02:23:19.924457784 | CPU: 3
2025-11-19_02:23:20.095573629 | CPU: 5
2025-11-19_02:23:20.271421773 | CPU: 2
2025-11-19_02:23:20.445982635 | CPU: 3
2025-11-19_02:23:20.620515830 | CPU: 3
2025-11-19_02:23:20.793094098 | CPU: 4
2025-11-19_02:23:20.965068583 | CPU: 5
2025-11-19_02:23:21.136596976 | CPU: 3
2025-11-19_02:23:21.308457248 | CPU: 4
2025-11-19_02:23:21.480392321 | CPU: 5
2025-11-19_02:23:21.650009884 | CPU: 6
2025-11-19_02:23:21.821167604 | CPU: 4
2025-11-19_02:23:21.993036082 | CPU: 15
2025-11-19_02:23:22.153368567 | CPU: 23
2025-11-19_02:23:22.321262238 | CPU: 9
2025-11-19_02:23:22.486915817 | CPU: 4
2025-11-19_02:23:22.660597790 | CPU: 5
2025-11-19_02:23:22.852728292 | CPU: 40
2025-11-19_02:23:23.012885516 | CPU: 72
2025-11-19_02:23:23.167332471 | CPU: 50
2025-11-19_02:23:23.338768272 | CPU: 31
2025-11-19_02:23:23.500548759 | CPU: 44
2025-11-19_02:23:23.667873039 | CPU: 35
2025-11-19_02:23:23.841644766 | CPU: 11
2025-11-19_02:23:24.016124359 | CPU: 6
2025-11-19_02:23:24.188716597 | CPU: 5
2025-11-19_02:23:24.356385721 | CPU: 5
2025-11-19_02:23:24.534000760 | CPU: 8
2025-11-19_02:23:24.766275840 | CPU: 5
2025-11-19_02:23:24.940677777 | CPU: 3
2025-11-19_02:23:25.112584328 | CPU: 6
2025-11-19_02:23:25.283116260 | CPU: 7
2025-11-19_02:23:25.441892980 | CPU: 5
2025-11-19_02:23:25.613004150 | CPU: 5
2025-11-19_02:23:25.783409037 | CPU: 7
2025-11-19_02:23:25.953841433 | CPU: 5
2025-11-19_02:23:26.124994038 | CPU: 5
2025-11-19_02:23:26.297952265 | CPU: 4
2025-11-19_02:23:26.469225281 | CPU: 12
2025-11-19_02:23:26.641738395 | CPU: 36
2025-11-19_02:23:26.814082320 | CPU: 42
2025-11-19_02:23:26.980385288 | CPU: 32
2025-11-19_02:23:27.149272552 | CPU: 8
2025-11-19_02:23:27.322953462 | CPU: 7
2025-11-19_02:23:27.495003341 | CPU: 4
2025-11-19_02:23:27.667992148 | CPU: 4
2025-11-19_02:23:27.840207261 | CPU: 6
2025-11-19_02:23:28.012640620 | CPU: 4
2025-11-19_02:23:28.183360752 | CPU: 4
2025-11-19_02:23:28.357723524 | CPU: 5
2025-11-19_02:23:28.524232211 | CPU: 5
2025-11-19_02:23:28.698159790 | CPU: 4
2025-11-19_02:23:28.871416193 | CPU: 4
2025-11-19_02:23:29.045158957 | CPU: 3
2025-11-19_02:23:29.217686949 | CPU: 6
2025-11-19_02:23:29.390115727 | CPU: 4
2025-11-19_02:23:29.562906246 | CPU: 4
2025-11-19_02:23:29.734934964 | CPU: 5
2025-11-19_02:23:29.907238676 | CPU: 5
2025-11-19_02:23:30.078054020 | CPU: 5
2025-11-19_02:23:30.250631384 | CPU: 4
2025-11-19_02:23:30.421944107 | CPU: 5
2025-11-19_02:23:30.594702372 | CPU: 6
2025-11-19_02:23:30.767573296 | CPU: 5
2025-11-19_02:23:30.940630586 | CPU: 4
2025-11-19_02:23:31.110174119 | CPU: 5
2025-11-19_02:23:31.282968618 | CPU: 6
2025-11-19_02:23:31.456415190 | CPU: 4
2025-11-19_02:23:31.630433563 | CPU: 4
2025-11-19_02:23:31.806148135 | CPU: 6
2025-11-19_02:23:31.979411578 | CPU: 5
2025-11-19_02:23:32.151179496 | CPU: 5
2025-11-19_02:23:32.323873017 | CPU: 5
2025-11-19_02:23:32.495006795 | CPU: 5
2025-11-19_02:23:32.667329510 | CPU: 4
2025-11-19_02:23:32.834489268 | CPU: 3
2025-11-19_02:23:33.007371072 | CPU: 4
2025-11-19_02:23:33.179046880 | CPU: 6
2025-11-19_02:23:33.351179208 | CPU: 5
2025-11-19_02:23:33.523792230 | CPU: 4
2025-11-19_02:23:33.698623739 | CPU: 5
2025-11-19_02:23:33.860382517 | CPU: 6
2025-11-19_02:23:34.033674920 | CPU: 4
2025-11-19_02:23:34.208890752 | CPU: 5
2025-11-19_02:23:34.386269427 | CPU: 4
2025-11-19_02:23:34.560133218 | CPU: 6
2025-11-19_02:23:34.732832432 | CPU: 4
2025-11-19_02:23:34.906201869 | CPU: 4
2025-11-19_02:23:35.080593199 | CPU: 5
2025-11-19_02:23:35.251686441 | CPU: 5
2025-11-19_02:23:35.424170931 | CPU: 4
2025-11-19_02:23:35.597971889 | CPU: 4
2025-11-19_02:23:35.771409873 | CPU: 5
2025-11-19_02:23:35.945657429 | CPU: 5
2025-11-19_02:23:36.120854180 | CPU: 4
2025-11-19_02:23:36.296263546 | CPU: 6
2025-11-19_02:23:36.471702028 | CPU: 7
2025-11-19_02:23:36.648827553 | CPU: 5
