[2025-11-19 02:23:09.820338] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:23:09.820412] ID                                               
[2025-11-19 02:23:09.860446] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:09.918571] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:09.970599] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.022590] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.074550] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.126248] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.178052] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.229730] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.281580] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.333597] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.385635] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.437645] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.489538] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.541625] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.593556] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.643645] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:23:10.643763] ID                                               
[2025-11-19 02:23:10.645534] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.697428] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.749773] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.802607] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.855092] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.907381] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:10.959541] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.011993] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.064240] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.116582] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.168745] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.220925] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.271989] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.322947] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.373152] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:23:11.373265] ID                                               
[2025-11-19 02:23:11.374912] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:23:11.426887] GPU 0     0.000        0.000        0.000        
