timestamp,elapsed_time,cpu_power,gpu_power,total_power
2025-11-19 02:23:11.098658,3.986,47.19,35.74,82.93
2025-11-19 02:23:11.252059,4.150,52.53,35.91,88.45
2025-11-19 02:23:11.404745,4.302,62.08,35.90,97.98
2025-11-19 02:23:11.558138,4.455,45.96,35.91,81.87
2025-11-19 02:23:11.710982,4.608,45.94,36.06,82.00
2025-11-19 02:23:11.864194,4.761,45.62,35.82,81.44
2025-11-19 02:23:12.018583,4.914,39.71,35.83,75.54
2025-11-19 02:23:12.171894,5.069,46.67,33.46,80.13
2025-11-19 02:23:12.434952,5.222,45.42,30.51,75.93
2025-11-19 02:23:12.587786,5.485,45.44,35.45,80.89
2025-11-19 02:23:12.742003,5.638,45.54,36.15,81.69
2025-11-19 02:23:12.894583,5.792,45.45,36.51,81.97
2025-11-19 02:23:13.047551,5.945,45.57,36.43,82.00
2025-11-19 02:23:13.200238,6.098,45.84,36.49,82.33
2025-11-19 02:23:13.352938,6.250,45.09,36.34,81.43
2025-11-19 02:23:13.505722,6.403,45.52,36.12,81.64
2025-11-19 02:23:13.658374,6.556,45.48,36.22,81.70
2025-11-19 02:23:13.811416,6.709,46.45,36.22,82.66
2025-11-19 02:23:13.963973,6.862,46.86,36.22,83.08
2025-11-19 02:23:14.116514,7.014,46.89,36.26,83.15
2025-11-19 02:23:14.277079,7.167,47.22,36.44,83.66
2025-11-19 02:23:14.432583,7.327,47.02,30.80,77.82
2025-11-19 02:23:14.688090,7.483,46.69,30.23,76.91
2025-11-19 02:23:14.841132,7.738,46.16,34.91,81.07
2025-11-19 02:23:14.996762,7.891,46.60,35.45,82.05
2025-11-19 02:23:15.149450,8.047,65.43,35.50,100.93
2025-11-19 02:23:15.302381,8.200,50.66,35.49,86.14
2025-11-19 02:23:15.455786,8.353,46.48,35.31,81.79
2025-11-19 02:23:15.608543,8.506,47.25,35.82,83.07
2025-11-19 02:23:15.761317,8.659,46.82,35.79,82.62
2025-11-19 02:23:15.913970,8.812,45.56,35.93,81.50
2025-11-19 02:23:16.170830,8.964,46.55,35.86,82.41
2025-11-19 02:23:16.323762,9.221,45.56,35.85,81.41
2025-11-19 02:23:16.477038,9.374,44.78,35.90,80.68
2025-11-19 02:23:16.629723,9.527,45.47,35.82,81.29
2025-11-19 02:23:16.782793,9.680,45.20,35.94,81.14
2025-11-19 02:23:16.935709,9.833,46.64,35.99,82.63
2025-11-19 02:23:17.089766,9.986,46.57,35.94,82.51
2025-11-19 02:23:17.242658,10.140,46.36,36.05,82.41
2025-11-19 02:23:17.396053,10.293,46.10,30.70,76.80
2025-11-19 02:23:17.549719,10.446,29.61,30.15,59.76
2025-11-19 02:23:17.718927,10.600,43.10,30.16,73.26
2025-11-19 02:23:17.872095,10.769,27.55,34.90,62.45
