2025-11-19_02:05:41.116497330 | CPU: 1
2025-11-19_02:05:41.290748010 | CPU: 1
2025-11-19_02:05:41.464947179 | CPU: 1
2025-11-19_02:05:41.639078724 | CPU: 1
2025-11-19_02:05:41.812300478 | CPU: 2
2025-11-19_02:05:41.984018724 | CPU: 1
2025-11-19_02:05:42.157924993 | CPU: 3
2025-11-19_02:05:42.328544785 | CPU: 3
2025-11-19_02:05:42.498233639 | CPU: 3
2025-11-19_02:05:42.669443340 | CPU: 3
2025-11-19_02:05:42.839764866 | CPU: 4
2025-11-19_02:05:43.010929647 | CPU: 3
2025-11-19_02:05:43.182503253 | CPU: 4
2025-11-19_02:05:43.357076797 | CPU: 2
2025-11-19_02:05:43.534078986 | CPU: 2
2025-11-19_02:05:43.708578491 | CPU: 2
2025-11-19_02:05:43.884510826 | CPU: 2
2025-11-19_02:05:44.059832683 | CPU: 2
2025-11-19_02:05:44.234806494 | CPU: 3
2025-11-19_02:05:44.405624319 | CPU: 5
2025-11-19_02:05:44.564694401 | CPU: 3
2025-11-19_02:05:44.701374047 | CPU: 64
2025-11-19_02:05:44.870579545 | CPU: 2
2025-11-19_02:05:45.041575718 | CPU: 4
2025-11-19_02:05:45.212083449 | CPU: 4
2025-11-19_02:05:45.384459039 | CPU: 3
2025-11-19_02:05:45.556388507 | CPU: 3
2025-11-19_02:05:45.727498606 | CPU: 4
2025-11-19_02:05:45.898160734 | CPU: 4
2025-11-19_02:05:46.069367688 | CPU: 4
2025-11-19_02:05:46.240606471 | CPU: 4
2025-11-19_02:05:46.411463606 | CPU: 4
2025-11-19_02:05:46.582853899 | CPU: 3
2025-11-19_02:05:46.753405978 | CPU: 4
2025-11-19_02:05:46.924444510 | CPU: 3
2025-11-19_02:05:47.095644447 | CPU: 3
2025-11-19_02:05:47.267009446 | CPU: 3
2025-11-19_02:05:47.438202922 | CPU: 4
2025-11-19_02:05:47.609744942 | CPU: 3
2025-11-19_02:05:47.781187581 | CPU: 4
2025-11-19_02:05:47.952235283 | CPU: 3
2025-11-19_02:05:48.124204036 | CPU: 3
2025-11-19_02:05:48.294996826 | CPU: 3
2025-11-19_02:05:48.465669443 | CPU: 3
2025-11-19_02:05:48.595298190 | CPU: 6
2025-11-19_02:05:48.761894646 | CPU: 78
2025-11-19_02:05:48.932673377 | CPU: 3
2025-11-19_02:05:49.105383793 | CPU: 4
2025-11-19_02:05:49.272748076 | CPU: 4
2025-11-19_02:05:49.437973666 | CPU: 3
2025-11-19_02:05:49.609171744 | CPU: 3
2025-11-19_02:05:49.779160713 | CPU: 3
2025-11-19_02:05:49.949935067 | CPU: 3
2025-11-19_02:05:50.121657035 | CPU: 3
2025-11-19_02:05:50.294123372 | CPU: 4
2025-11-19_02:05:50.465306454 | CPU: 4
2025-11-19_02:05:50.638177060 | CPU: 3
2025-11-19_02:05:50.809444017 | CPU: 3
2025-11-19_02:05:50.979611632 | CPU: 4
2025-11-19_02:05:51.151414604 | CPU: 3
