[2025-11-19 02:05:43.070536] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:43.070602] ID                                               
[2025-11-19 02:05:43.122125] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.180278] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.232441] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.284562] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.336790] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.389340] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.441972] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.494541] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.547351] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.600038] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.652732] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.705236] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.757859] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.810709] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.863423] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.913644] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:43.913767] ID                                               
[2025-11-19 02:05:43.916048] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:43.968480] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.020982] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.073718] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.126845] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.179511] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.231984] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.284268] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.336504] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.388677] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.440773] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.492866] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.544645] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.595927] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.646056] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:44.646121] ID                                               
[2025-11-19 02:05:44.647474] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.699669] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.751578] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.803876] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.856155] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.908401] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:44.960583] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.012671] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.064756] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.116904] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.169104] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.221390] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.273369] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.324807] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.374944] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:45.375054] ID                                               
[2025-11-19 02:05:45.376286] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.427714] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.479188] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.531024] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.582902] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.634860] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.686812] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.738826] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.790725] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.842703] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.894527] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.946422] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:45.998446] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.050417] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.100592] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:46.100704] ID                                               
[2025-11-19 02:05:46.102319] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.154238] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.206228] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.258245] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.310169] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.362131] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.414169] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.465902] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.517884] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.569860] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.622104] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.674218] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.726253] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.778261] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.828435] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:46.828551] ID                                               
[2025-11-19 02:05:46.830230] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.882207] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.934244] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:46.985992] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.038068] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.090130] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.142017] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.194013] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.246063] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.298023] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.350016] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.402096] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.454082] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.506022] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.556195] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:47.556309] ID                                               
[2025-11-19 02:05:47.557947] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.610016] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.661977] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.713953] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.765945] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.817845] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.869703] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.921676] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:47.973660] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.025538] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.077525] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.129495] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.181255] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.233072] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.283199] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:48.283331] ID                                               
[2025-11-19 02:05:48.285019] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.336997] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.389104] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.441251] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.493329] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.544986] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.596480] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.648452] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.700653] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.752810] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.804845] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.856822] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.908860] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:48.960866] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.011010] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:49.011126] ID                                               
[2025-11-19 02:05:49.013039] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.065304] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.117500] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.169450] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.221510] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.273475] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.325454] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.377337] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.429150] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.480925] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.532809] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.584513] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.636356] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.688185] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.738366] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:49.738476] ID                                               
[2025-11-19 02:05:49.740131] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.791882] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.843733] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.895417] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.947260] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:49.998945] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.050794] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.102493] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.154337] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.205968] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.257894] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.309914] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.362019] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.414078] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.464252] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:50.464366] ID                                               
[2025-11-19 02:05:50.466125] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.518036] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.570166] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.622586] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.674752] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.727012] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.779116] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.831170] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.883404] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.935541] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:50.987616] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.039489] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.091749] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.144269] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.194461] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:51.194582] ID                                               
[2025-11-19 02:05:51.196935] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.249539] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.302048] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.354318] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.406649] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.458756] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.511011] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.563154] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.615382] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.667487] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.719666] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.772117] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.824570] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.876810] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.926944] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:51.927062] ID                                               
[2025-11-19 02:05:51.928954] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:51.981126] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.033230] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.085911] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.138457] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.190838] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.243051] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.295262] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.347433] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.399649] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.451859] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.503992] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.556099] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.608425] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.658568] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:52.658684] ID                                               
[2025-11-19 02:05:52.660521] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.712965] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.765353] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.817643] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.869840] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.922011] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:52.974199] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.026588] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.078888] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.131380] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.183676] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.236361] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.288773] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.341300] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.391338] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:53.391473] ID                                               
[2025-11-19 02:05:53.393916] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.446488] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.499065] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.551498] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.604380] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.657132] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.709839] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.762545] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.815118] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.867667] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.920304] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:53.972813] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.025329] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.077897] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.128084] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:54.128208] ID                                               
[2025-11-19 02:05:54.130604] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.183519] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.236220] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.289077] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.341859] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.394426] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.447303] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.500042] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.552717] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.605454] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.658218] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.710758] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.763580] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.816116] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.866296] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:54.866407] ID                                               
[2025-11-19 02:05:54.868190] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.920321] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:54.972377] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.024487] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.076595] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.128628] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.180654] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.232751] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.284824] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.336962] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.388868] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.440924] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.493192] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.545351] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.595485] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:55.595607] ID                                               
[2025-11-19 02:05:55.597349] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.648929] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.700506] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.752774] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.804766] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.856668] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.908448] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:55.960154] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.011664] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.063587] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.115044] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.166998] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.219090] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.270943] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.321122] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:56.321242] ID                                               
[2025-11-19 02:05:56.323010] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.375229] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.427189] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.479365] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.531489] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.583467] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.635513] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.687671] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.739915] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.792043] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.844347] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.896317] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.947472] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:56.998967] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.049144] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:57.049288] ID                                               
[2025-11-19 02:05:57.051126] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.103291] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.155444] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.207508] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.259656] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.311845] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.364000] GPU 0     0.000        0.000        0.001        
[2025-11-19 02:05:57.416181] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.468506] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.520288] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.572446] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.624592] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.676830] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.729090] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.779296] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:57.779423] ID                                               
[2025-11-19 02:05:57.781200] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.833392] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.885478] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.937732] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:57.990064] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.042555] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.094850] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.147234] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.199715] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.252152] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.304602] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.356674] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.409056] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.461483] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.511686] #Entity   SMACT        SMOCC        DRAMA        
[2025-11-19 02:05:58.511834] ID                                               
[2025-11-19 02:05:58.514480] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.567420] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.620273] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.673133] GPU 0     0.000        0.000        0.000        
[2025-11-19 02:05:58.725917] GPU 0     0.000        0.000        0.000        
