timestamp,elapsed_time,cpu_power,gpu_power,total_power
2025-11-19 02:05:44.373216,4.259,53.83,29.87,83.70
2025-11-19 02:05:44.526753,4.423,55.69,29.84,85.52
2025-11-19 02:05:44.680066,4.577,92.94,29.82,122.76
2025-11-19 02:05:44.833559,4.730,44.48,29.74,74.22
2025-11-19 02:05:44.987028,4.884,55.15,29.85,85.00
2025-11-19 02:05:45.140568,5.037,55.43,29.68,85.10
2025-11-19 02:05:45.295543,5.191,46.56,29.83,76.39
2025-11-19 02:05:45.449235,5.346,45.44,29.70,75.14
2025-11-19 02:05:45.602919,5.500,46.13,29.80,75.93
2025-11-19 02:05:45.756620,5.653,46.97,29.88,76.85
2025-11-19 02:05:45.910194,5.807,46.68,29.78,76.46
2025-11-19 02:05:46.063817,5.960,47.04,29.89,76.93
2025-11-19 02:05:46.220929,6.114,46.93,29.56,76.50
2025-11-19 02:05:46.374439,6.271,46.68,29.79,76.47
2025-11-19 02:05:46.528164,6.425,46.18,29.90,76.07
2025-11-19 02:05:46.683019,6.578,46.44,29.92,76.35
2025-11-19 02:05:46.836707,6.733,46.37,29.76,76.12
2025-11-19 02:05:46.990174,6.887,46.28,29.91,76.19
2025-11-19 02:05:47.143799,7.040,46.58,29.94,76.52
2025-11-19 02:05:47.297441,7.194,46.41,29.79,76.19
2025-11-19 02:05:47.451751,7.348,41.87,29.91,71.78
2025-11-19 02:05:47.605466,7.502,47.19,29.97,77.16
2025-11-19 02:05:47.759014,7.656,46.57,29.82,76.39
2025-11-19 02:05:47.912605,7.809,45.43,29.72,75.15
2025-11-19 02:05:48.067687,7.963,46.33,29.75,76.07
2025-11-19 02:05:48.222858,8.118,45.66,29.54,75.19
2025-11-19 02:05:48.376154,8.273,45.44,29.82,75.26
2025-11-19 02:05:48.530020,8.426,43.46,29.71,73.17
2025-11-19 02:05:48.683268,8.580,84.27,29.76,114.03
2025-11-19 02:05:48.836943,8.734,45.33,29.74,75.07
2025-11-19 02:05:48.992230,8.887,45.73,29.91,75.64
2025-11-19 02:05:49.146065,9.043,46.26,29.90,76.16
2025-11-19 02:05:49.299920,9.196,44.72,29.86,74.58
2025-11-19 02:05:49.456713,9.350,45.25,29.80,75.05
2025-11-19 02:05:49.610440,9.507,45.19,29.64,74.83
2025-11-19 02:05:49.764247,9.661,45.18,29.79,74.97
2025-11-19 02:05:49.917937,9.815,45.64,29.85,75.49
2025-11-19 02:05:50.071618,9.968,45.08,29.88,74.96
2025-11-19 02:05:50.225361,10.122,45.20,30.05,75.25
2025-11-19 02:05:50.378919,10.276,46.01,29.96,75.97
2025-11-19 02:05:50.532489,10.429,46.09,29.98,76.07
2025-11-19 02:05:50.685994,10.583,46.10,29.90,76.00
2025-11-19 02:05:50.840585,10.736,46.44,30.15,76.59
2025-11-19 02:05:50.994010,10.891,46.63,30.03,76.66
2025-11-19 02:05:51.147785,11.044,38.13,29.89,68.02
2025-11-19 02:05:51.304347,11.198,26.68,29.75,56.44
2025-11-19 02:05:51.458770,11.355,24.79,29.66,54.44
2025-11-19 02:05:51.612389,11.509,22.26,29.69,51.95
2025-11-19 02:05:51.767195,11.663,20.17,29.76,49.93
2025-11-19 02:05:51.920805,11.817,21.28,29.84,51.11
2025-11-19 02:05:52.074545,11.971,26.51,29.80,56.31
2025-11-19 02:05:52.229800,12.125,23.87,29.64,53.52
2025-11-19 02:05:52.383516,12.280,26.56,29.61,56.16
2025-11-19 02:05:52.537360,12.434,26.52,29.63,56.14
2025-11-19 02:05:52.690894,12.588,25.49,29.76,55.25
2025-11-19 02:05:52.844964,12.741,23.01,29.65,52.66
2025-11-19 02:05:52.998437,12.895,21.36,29.70,51.06
