request_idx,time
1,1.10255
2,3.708413
3,4.410252
4,7.016189
5,21.449044
6,23.754019
7,25.958844
8,62.542523
9,63.444186
10,64.747442
11,66.351058
12,68.355829
13,70.760976
14,73.366828
15,76.173457
16,79.681033
17,83.489439
18,87.79915
19,93.111344
20,94.71572
21,96.620897
22,99.126106
23,99.939976
24,101.344415
25,103.549531
26,103.750392
27,104.552601
28,106.256239
29,107.959586
30,109.162443
31,144.040026
32,144.249305
33,144.951355
34,145.954264
35,147.358326
36,149.576273
37,151.88155
38,154.499057
39,157.305868
40,158.408665
41,159.911892
42,161.913838
43,164.416632
44,167.220106
45,170.428254
46,174.237556
47,178.848703
48,183.45948
49,189.173206
50,189.3739
51,189.774796
52,190.48764
53,191.490319
54,192.597963
55,194.313701
56,196.418289
57,196.318034
58,196.618719
59,197.319997
60,198.421979
61,199.924814
62,201.727994
63,201.426942
64,201.626949
65,202.027487
66,202.828458
67,204.231096
68,206.23497
69,208.439578
70,208.439324
71,208.839979
72,209.841913
73,211.232352
74,212.835536
75,215.239009
76,217.84444
77,220.750215
78,226.557565
79,226.255658
80,226.856466
81,227.357365
82,228.05846
83,229.360868
84,231.164835
85,233.269041
86,234.671926
87,233.870048
88,233.168539
89,233.368654
90,233.267016
91,233.467155
92,233.667083
93,234.368146
94,235.169345
95,236.371055
96,237.873927
97,239.777844
98,242.283044
99,241.28069
100,240.779559
101,240.880052
102,240.980529
103,241.280836
104,241.772846
105,242.574137
106,243.876532
107,245.177963
108,245.778229
109,246.378709
110,246.678821
111,247.265709
112,247.866242
113,247.765555
114,247.965884
115,248.366199
116,248.755226
117,249.556243
118,249.254903
119,249.054983
120,249.154488
121,249.455165
122,250.057433
123,251.862038
124,251.061352
125,250.46091
126,250.261393
127,250.062014
128,250.26252
129,250.562775
130,251.363784
131,252.465611
132,251.863446
133,251.661923
134,251.561389
135,251.961978
136,251.66075
137,252.361844
138,253.564481
139,253.162966
140,252.761621
141,252.659916
142,252.858729
143,253.057591
144,252.354829
145,252.053516
146,252.053216
147,251.240118
148,249.636195
149,248.132563
150,246.529081
